Official Reg. No. (ORN),Lactation Number,Days In Milk,Last Calving Date,Concentrates Cons. % Yest,Concentrates Ration Yesterday,Giva {Feed1},Giva {Feed2},Giva {Feed3},Giva {Feed4},Giva {Feed5},Giva {Feed6},Giva {Feed7},Giva {Feed8},% konsumerat igår {Feed1},% konsumerat igår {Feed2},% konsumerat igår {Feed3},% konsumerat igår {Feed4},% konsumerat igår {Feed5},% konsumerat igår {Feed6},% konsumerat igår {Feed7},% konsumerat igår {Feed8}
48,3,3,11/4/2020,101,3.53,0.5,1.59,1.76,2.47,,,,,,82,,92,0,0,0,0
128,4,8,10/30/2020,107,5.5,0.43,2.8,1.4,3.2,,,,,,95,,101,0,0,0,0
24,4,10,10/28/2020,101,10.81,0.75,3.1,0.25,7.99,,,,,67.0,105,,90,0,0,0,0
28,4,10,10/28/2020,83,10.27,0.75,4.06,1.18,6.24,,,,,89.0,86,,71,0,0,0,0
100,1,16,10/22/2020,106,8.46,1.07,4.03,1.0,3.71,,,,,93.0,101,,106,0,0,0,0
103,1,18,10/20/2020,105,8.97,1.56,4.05,1.0,3.49,,,,,149.0,86,,104,0,0,0,0
42,3,19,10/19/2020,107,9.52,1.57,4.73,1.0,3.31,,,,,125.0,100,,105,0,0,0,0
9,4,20,10/18/2020,95,14.43,1.43,7.0,0.0,6.79,,,,,131.0,77,0.0,95,0,0,0,0
27,4,20,10/18/2020,86,13.47,1.79,5.8,0.25,6.36,,,,,130.0,75,,77,0,0,0,0
98,1,28,10/10/2020,69,10.22,0.69,5.8,0.0,4.19,,,,,118.0,39,0.0,94,0,0,0,0
25,4,29,10/9/2020,109,12.19,1.68,6.1,2.0,5.16,,,,,113.0,113,,88,0,0,0,0
99,1,30,10/8/2020,104,9.44,0.69,2.0,0.0,7.08,,,,,111.0,137,0.0,89,0,0,0,0
77,2,45,9/23/2020,83,11.25,0.0,6.29,0.0,5.45,,,,,0.0,83,0.0,77,0,0,0,0
97,1,45,9/23/2020,86,10.28,0.0,5.17,0.0,5.11,,,,,0.0,64,0.0,109,0,0,0,0
0,7,46,9/22/2020,106,14.76,1.71,7.0,3.0,6.22,,,,,128.0,106,,98,0,0,0,0
75,2,47,9/21/2020,94,11.37,0.0,5.51,0.0,6.31,,,,,0.0,94,0.0,89,0,0,0,0
63,2,50,9/18/2020,73,7.83,0.0,4.3,1.61,3.76,,,,,0.0,67,,74,0,0,0,0
92,1,54,9/14/2020,89,13.92,0.86,6.41,0.0,7.43,,,,,105.0,81,0.0,84,0,0,0,0
96,1,54,9/14/2020,102,11.03,0.34,5.32,0.0,5.69,,,,,124.0,92,0.0,103,0,0,0,0
95,1,58,9/10/2020,83,17.13,2.25,7.0,0.0,8.17,,,,,100.0,81,0.0,78,0,0,0,0
43,3,63,9/5/2020,89,17.34,2.25,7.0,0.0,8.5,,,,,111.0,80,0.0,86,0,0,0,0
6,5,64,9/4/2020,80,16.17,1.62,7.0,0.0,8.0,,,,,109.0,65,0.0,83,0,0,0,0
44,3,64,9/4/2020,79,15.01,1.88,6.18,0.78,7.58,,,,,100.0,66,,78,0,0,0,0
47,3,67,9/1/2020,105,18.37,2.67,7.0,0.0,9.13,,,,,135.0,97,0.0,97,0,0,0,0
74,2,67,9/1/2020,95,18.22,2.63,7.0,0.0,8.92,,,,,124.0,80,0.0,95,0,0,0,0
60,2,71,8/28/2020,93,17.93,2.63,7.0,0.0,8.58,,,,,114.0,88,0.0,87,0,0,0,0
93,1,76,8/23/2020,94,14.88,1.71,5.33,1.08,8.69,,,,,117.0,89,,82,0,0,0,0
64,2,82,8/17/2020,89,10.9,1.37,3.54,1.87,6.58,,,,,106.0,83,,82,0,0,0,0
36,3,83,8/16/2020,88,17.77,3.84,7.0,0.0,7.58,,,,,88.0,84,0.0,84,0,0,0,0
69,2,92,8/7/2020,83,18.21,2.33,7.0,0.0,9.4,,,,,124.0,51,0.0,93,0,0,0,0
91,1,92,8/7/2020,78,15.74,2.06,6.19,0.0,7.78,,,,,106.0,60,0.0,83,0,0,0,0
94,1,93,8/6/2020,94,14.88,1.71,5.75,1.07,8.11,,,,,121.0,81,,89,0,0,0,0
66,2,103,7/27/2020,98,15.48,2.25,5.75,1.18,8.08,,,,,122.0,95,,86,0,0,0,0
1,8,106,7/24/2020,115,13.81,2.2,4.3,0.76,7.95,,,,,139.0,105,,104,0,0,0,0
13,4,106,7/24/2020,85,13.33,1.88,5.61,0.52,6.28,,,,,102.0,78,,81,0,0,0,0
