Animal Number,Group Name,Date/Time,Previous Area,Time in Area (hh:mm),Device Name,Result,Gate Decision,Milking Interval,Incompletely Milked Teats
177,VMS 1,11/11/2020 12:07:37 AM,VMS2,00:07,VMS2,Pass through to Foderbord,,,
103,VMS 1,11/11/2020 12:02:34 AM,VMS 1,00:09,VMS 1,Pass through to Foderbord,,,
177,VMS 1,11/10/2020 11:59:55 PM,Mjolkfalla,00:02,VMS2,Milking 11.07 kg,,06:58,
60,VMS 1,11/10/2020 11:59:41 PM,VMS2,00:08,VMS2,Pass through to Foderbord,,,
86,VMS 1,11/10/2020 11:58:08 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
86,VMS 1,11/10/2020 11:57:47 PM,Grovfoder,07:04,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
177,VMS 1,11/10/2020 11:56:59 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
8,VMS 1,11/10/2020 11:56:35 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
177,VMS 1,11/10/2020 11:56:34 PM,Grovfoder,02:37,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
8,VMS 1,11/10/2020 11:56:14 PM,Grovfoder,00:45,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
103,VMS 1,11/10/2020 11:53:20 PM,Mjolkfalla,01:11,VMS 1,Milking 11.18 kg,,09:13,
20,VMS 1,11/10/2020 11:53:18 PM,VMS 1,00:06,VMS 1,Pass through to Foderbord,,,
24,VMS 1,11/10/2020 11:52:27 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
24,VMS 1,11/10/2020 11:51:42 PM,Grovfoder,03:46,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
10,VMS 1,11/10/2020 11:51:29 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
60,VMS 1,11/10/2020 11:51:20 PM,Mjolkfalla,00:42,VMS2,Milking 12.02 kg,,06:42,
15,VMS 1,11/10/2020 11:51:20 PM,VMS2,00:09,VMS2,Pass through to Foderbord,,,
10,VMS 1,11/10/2020 11:51:14 PM,Grovfoder,01:58,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
68,VMS 1,11/10/2020 11:47:49 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
18,VMS 1,11/10/2020 11:47:39 PM,Koridor till Sorteringsgrind 2,00:01,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
68,VMS 1,11/10/2020 11:46:55 PM,Grovfoder,00:43,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
20,VMS 1,11/10/2020 11:46:19 PM,Mjolkfalla,00:05,VMS 1,Milking 9.77 kg,,04:46,
93,VMS 1,11/10/2020 11:46:15 PM,VMS 1,00:05,VMS 1,Pass through to Foderbord,,,
34,VMS 1,11/10/2020 11:46:13 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
18,VMS 1,11/10/2020 11:46:03 PM,Grovfoder,00:45,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
69,VMS 1,11/10/2020 11:46:01 PM,Koridor till Sorteringsgrind 2,00:02,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
34,VMS 1,11/10/2020 11:45:38 PM,Grovfoder,00:05,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
69,VMS 1,11/10/2020 11:44:22 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,"Did not pass, still in Koridor till Sorteringsgrind 2",,,
69,VMS 1,11/10/2020 11:43:37 PM,Grovfoder,00:38,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
28,VMS 1,11/10/2020 11:42:02 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
28,VMS 1,11/10/2020 11:41:46 PM,Grovfoder,00:38,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
15,VMS 1,11/10/2020 11:41:35 PM,Mjolkfalla,00:10,VMS2,Milking 10.42 kg,,04:51,
79,VMS 1,11/10/2020 11:41:32 PM,VMS2,00:11,VMS2,Pass through to Foderbord,,,
20,VMS 1,11/10/2020 11:41:07 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
20,VMS 1,11/10/2020 11:40:37 PM,Grovfoder,04:04,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
