Official Reg. No. (ORN),Lactation Number,Days In Milk,Last Calving Date,Concentrates Cons. % Yest,Concentrates Ration Yesterday,Giva {Feed1},Giva {Feed2},Giva {Feed3},Giva {Feed4},Giva {Feed5},Giva {Feed6},Giva {Feed7},Giva {Feed8},% konsumerat igår {Feed1},% konsumerat igår {Feed2},% konsumerat igår {Feed3},% konsumerat igår {Feed4},% konsumerat igår {Feed5},% konsumerat igår {Feed6},% konsumerat igår {Feed7},% konsumerat igår {Feed8}
48,3,7,11/4/2020,106,5.65,0.25,2.76,1.29,3.41,,,,,,95.0,,99,0,0,0,0
128,4,12,10/30/2020,98,7.86,0.36,4.0,1.0,4.0,,,,,50.0,93.0,,96,0,0,0,0
24,4,14,10/28/2020,91,13.48,0.63,4.3,0.0,8.85,,,,,99.0,66.0,0.0,99,0,0,0,0
28,4,14,10/28/2020,106,12.41,0.63,5.24,0.71,6.84,,,,,82.0,116.0,,96,0,0,0,0
100,1,20,10/22/2020,107,9.48,0.89,5.16,0.43,3.71,,,,,110.0,98.0,,112,0,0,0,0
103,1,22,10/20/2020,97,10.18,1.3,5.16,0.43,3.71,,,,,104.0,95.0,,98,0,0,0,0
42,3,23,10/19/2020,95,10.3,1.31,5.94,0.43,3.35,,,,,107.0,84.0,,102,0,0,0,0
9,4,24,10/18/2020,104,14.98,1.19,7.0,0.0,6.79,,,,,99.0,107.0,0.0,103,0,0,0,0
27,4,24,10/18/2020,88,15.04,1.5,7.0,0.0,6.84,,,,,104.0,68.0,0.0,100,0,0,0,0
98,1,32,10/10/2020,59,10.56,0.57,5.8,0.0,4.19,,,,,88.0,38.0,0.0,83,0,0,0,0
25,4,33,10/9/2020,86,15.78,1.4,7.0,2.0,8.11,,,,,106.0,63.0,,94,0,0,0,0
99,1,34,10/8/2020,101,8.79,0.57,0.86,0.0,7.08,,,,,89.0,151.0,0.0,100,0,0,0,0
77,2,49,9/23/2020,107,13.22,0.0,6.86,0.0,6.85,,,,,0.0,104.0,0.0,102,0,0,0,0
97,1,49,9/23/2020,100,10.28,0.0,5.17,1.0,5.11,,,,,0.0,83.0,,118,0,0,0,0
0,7,50,9/22/2020,105,13.93,0.71,7.0,3.0,6.22,,,,,114.0,98.0,,111,0,0,0,0
75,2,51,9/21/2020,94,12.27,0.0,5.51,0.0,6.76,,,,,0.0,100.0,0.0,89,0,0,0,0
63,2,54,9/18/2020,65,8.3,0.0,4.3,1.84,4.0,,,,,0.0,64.0,,66,0,0,0,0
92,1,58,9/14/2020,92,15.14,0.71,7.0,0.0,7.43,,,,,112.0,65.0,0.0,114,0,0,0,0
96,1,58,9/14/2020,101,11.3,0.29,5.32,0.0,5.69,,,,,88.0,100.0,0.0,103,0,0,0,0
95,1,62,9/10/2020,105,17.72,1.88,7.0,0.0,8.84,,,,,112.0,96.0,0.0,111,0,0,0,0
43,3,67,9/5/2020,91,18.17,1.88,7.0,0.0,9.29,,,,,93.0,88.0,0.0,93,0,0,0,0
6,5,68,9/4/2020,90,17.06,1.35,7.0,0.0,8.71,,,,,103.0,71.0,0.0,103,0,0,0,0
44,3,68,9/4/2020,90,16.79,1.56,7.0,0.0,8.23,,,,,107.0,66.0,0.0,108,0,0,0,0
47,3,71,9/1/2020,104,19.23,2.23,7.0,0.0,10.0,,,,,108.0,98.0,0.0,108,0,0,0,0
74,2,71,9/1/2020,85,18.87,2.19,7.0,0.0,9.68,,,,,95.0,66.0,0.0,97,0,0,0,0
60,2,75,8/28/2020,95,18.48,2.19,7.0,0.0,9.29,,,,,88.0,91.0,0.0,99,0,0,0,0
93,1,80,8/23/2020,107,16.45,1.43,6.67,0.22,8.69,,,,,98.0,112.0,,102,0,0,0,0
64,2,86,8/17/2020,104,12.16,1.14,4.73,0.8,6.58,,,,,103.0,98.0,,103,0,0,0,0
36,3,87,8/16/2020,86,19.07,3.84,7.0,0.0,8.23,,,,,99.0,70.0,0.0,93,0,0,0,0
69,2,96,8/7/2020,94,18.34,1.94,7.0,0.0,9.4,,,,,97.0,63.0,0.0,116,0,0,0,0
91,1,96,8/7/2020,90,15.68,1.71,6.19,0.0,7.78,,,,,94.0,79.0,0.0,98,0,0,0,0
94,1,97,8/6/2020,92,16.04,1.43,6.75,0.21,8.11,,,,,99.0,70.0,,107,0,0,0,0
66,2,107,7/27/2020,90,17.18,1.88,6.75,0.24,8.8,,,,,92.0,82.0,,92,0,0,0,0
1,8,110,7/24/2020,84,16.39,1.83,5.5,0.0,9.36,,,,,78.0,80.0,0.0,86,0,0,0,0
13,4,110,7/24/2020,102,14.76,1.56,6.72,0.0,6.75,,,,,90.0,103.0,0.0,99,0,0,0,0
15,4,114,7/20/2020,122,15.95,2.19,7.0,0.0,6.76,,,,,114.0,129.0,0.0,118,0,0,0,0
20,4,115,7/19/2020,94,16.54,2.41,7.0,0.0,7.13,,,,,95.0,89.0,0.0,99,0,0,0,0
41,3,116,7/18/2020,100,9.35,1.25,3.72,1.99,4.68,,,,,90.0,90.0,,105,0,0,0,0
2,6,118,7/16/2020,80,15.59,2.26,7.0,0.0,6.33,,,,,98.0,63.0,0.0,92,0,0,0,0
5,4,118,7/16/2020,90,16.18,1.88,8.0,0.0,6.3,,,,,126.0,70.0,0.0,104,0,0,0,0
65,2,120,7/14/2020,75,15.91,2.19,7.0,0.0,6.72,,,,,98.0,49.0,0.0,95,0,0,0,0
40,3,122,7/12/2020,64,14.37,2.19,7.0,0.0,5.18,,,,,66.0,56.0,0.0,75,0,0,0,0
58,2,122,7/12/2020,90,18.41,2.28,7.0,0.0,9.13,,,,,99.0,68.0,0.0,104,0,0,0,0
19,4,125,7/9/2020,96,16.19,2.48,7.0,0.0,6.71,,,,,84.0,100.0,0.0,96,0,0,0,0
14,4,126,7/8/2020,85,16.3,2.36,7.0,0.0,6.94,,,,,95.0,73.0,0.0,94,0,0,0,0
70,2,127,7/7/2020,90,12.52,1.88,5.75,0.25,5.14,,,,,110.0,75.0,,96,0,0,0,0
34,3,128,7/6/2020,89,17.24,3.88,7.0,0.0,6.93,,,,,76.0,74.0,0.0,105,0,0,0,0
35,3,135,6/29/2020,69,12.55,0.34,5.04,0.0,7.0,,,,,132.0,58.0,0.0,76,0,0,0,0
3,6,136,6/28/2020,95,9.74,1.88,3.11,2.0,4.75,,,,,75.0,110.0,,94,0,0,0,0
