Animal Number,Group Name,Date/Time,Previous Area,Time in Area (hh:mm),Device Name,Result,Gate Decision,Milking Interval,Incompletely Milked Teats
1396,VMS 1,11/4/2020 12:09:17 AM,VMS2,00:08,VMS2,Pass through to Foderbord,,,
1219,VMS 1,11/4/2020 12:06:42 AM,VMS 1,00:06,VMS 1,Pass through to Foderbord,,,
1396,VMS 1,11/4/2020 12:00:17 AM,Mjolkfalla,00:00,VMS2,Milking 13.03 kg,,06:27,
1249,VMS 1,11/4/2020 12:00:17 AM,VMS2,00:07,VMS2,Pass through to Foderbord,,,
1396,VMS 1,11/4/2020 12:00:03 AM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
1219,VMS 1,11/3/2020 11:59:50 PM,Mjolkfalla,00:00,VMS 1,Milking 7.72 kg,,10:20,RR
1219,VMS 1,11/3/2020 11:59:37 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Obskor med tillstånd,,
1396,VMS 1,11/3/2020 11:59:36 PM,Grovfoder,06:16,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1219,VMS 1,11/3/2020 11:59:27 PM,Grovfoder,10:16,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1236,VMS 1,11/3/2020 11:58:13 PM,Grovfoder,00:40,Sorteringsgrind 1 Tvåvägsgrind,Separated Right to OBS Avdelning,OBS Avdelningen,,
602,VMS 1,11/3/2020 11:52:45 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
1249,VMS 1,11/3/2020 11:52:31 PM,Mjolkfalla,00:01,VMS2,Milking 12.16 kg,,08:46,
1354,VMS 1,11/3/2020 11:52:30 PM,VMS2,00:06,VMS2,Pass through to Foderbord,,,
602,VMS 1,11/3/2020 11:52:24 PM,Grovfoder,00:50,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1249,VMS 1,11/3/2020 11:51:28 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
1249,VMS 1,11/3/2020 11:51:14 PM,Grovfoder,03:24,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1203,VMS 1,11/3/2020 11:48:30 PM,VMS 1,00:05,VMS 1,Pass through to Foderbord,,,
1266,VMS 1,11/3/2020 11:46:31 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
1266,VMS 1,11/3/2020 11:46:18 PM,Grovfoder,01:12,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1178,VMS 1,11/3/2020 11:45:52 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
1354,VMS 1,11/3/2020 11:45:40 PM,Mjolkfalla,00:00,VMS2,Milking 5.13 kg,,06:48,
1354,VMS 1,11/3/2020 11:45:21 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
1178,VMS 1,11/3/2020 11:45:09 PM,Grovfoder,02:10,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1354,VMS 1,11/3/2020 11:44:50 PM,Grovfoder,01:31,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1184,VMS 1,11/3/2020 11:43:07 PM,Grovfoder,00:58,Sorteringsgrind 1 Tvåvägsgrind,Separated Right to OBS Avdelning,OBS Avdelningen,,
1211,VMS 1,11/3/2020 11:42:54 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
1211,VMS 1,11/3/2020 11:42:39 PM,Grovfoder,00:30,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1203,VMS 1,11/3/2020 11:42:39 PM,Mjolkfalla,00:05,VMS 1,Milking 8.18 kg,,05:12,
1200,VMS 1,11/3/2020 11:42:39 PM,VMS 1,00:08,VMS 1,Pass through to Foderbord,,,
1197,VMS 1,11/3/2020 11:41:51 PM,VMS2,00:13,VMS2,Pass through to Foderbord,,,
1187,VMS 1,11/3/2020 11:39:27 PM,Grovfoder,01:06,Sorteringsgrind 1 Tvåvägsgrind,Separated Right to OBS Avdelning,OBS Avdelningen,,
1203,VMS 1,11/3/2020 11:37:10 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
1203,VMS 1,11/3/2020 11:36:59 PM,Grovfoder,04:21,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1238,VMS 1,11/3/2020 11:35:08 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
1238,VMS 1,11/3/2020 11:34:53 PM,Grovfoder,00:17,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1200,VMS 1,11/3/2020 11:34:38 PM,Mjolkfalla,00:00,VMS 1,Milking 7.64 kg,,11:15,
1200,VMS 1,11/3/2020 11:34:07 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
1200,VMS 1,11/3/2020 11:33:55 PM,Grovfoder,02:41,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1264,VMS 1,11/3/2020 11:31:57 PM,VMS 1,00:07,VMS 1,Pass through to Foderbord,,,
1339,VMS 1,11/3/2020 11:29:40 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
1339,VMS 1,11/3/2020 11:29:25 PM,Grovfoder,00:06,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1267,VMS 1,11/3/2020 11:29:14 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
1267,VMS 1,11/3/2020 11:29:03 PM,Grovfoder,00:46,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1197,VMS 1,11/3/2020 11:28:45 PM,Mjolkfalla,00:02,VMS2,Milking 15.37 kg,,07:25,
1261,VMS 1,11/3/2020 11:28:44 PM,VMS2,00:05,VMS2,Pass through to Foderbord,,,
1287,VMS 1,11/3/2020 11:27:49 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
1287,VMS 1,11/3/2020 11:27:35 PM,Grovfoder,00:49,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1197,VMS 1,11/3/2020 11:26:21 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
1197,VMS 1,11/3/2020 11:26:10 PM,Grovfoder,07:03,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1264,VMS 1,11/3/2020 11:24:05 PM,Mjolkfalla,00:02,VMS 1,Milking 11.63 kg,,06:48,
1343,VMS 1,11/3/2020 11:24:05 PM,VMS 1,00:05,VMS 1,Pass through to Foderbord,,,
1261,VMS 1,11/3/2020 11:23:07 PM,Mjolkfalla,00:00,VMS2,Milking 9.60 kg,,07:41,
1339,VMS 1,11/3/2020 11:23:06 PM,VMS2,00:05,VMS2,Pass through to Foderbord,,,
1261,VMS 1,11/3/2020 11:22:58 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
1261,VMS 1,11/3/2020 11:22:43 PM,Grovfoder,02:40,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1264,VMS 1,11/3/2020 11:21:25 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
1264,VMS 1,11/3/2020 11:21:13 PM,Grovfoder,02:39,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1357,VMS 1,11/3/2020 11:19:56 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
1357,VMS 1,11/3/2020 11:19:42 PM,Grovfoder,00:15,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1198,VMS 1,11/3/2020 11:19:38 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
1198,VMS 1,11/3/2020 11:19:28 PM,Grovfoder,00:47,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1343,VMS 1,11/3/2020 11:18:56 PM,Mjolkfalla,00:20,VMS 1,Milking 7.77 kg,,05:13,
1236,VMS 1,11/3/2020 11:18:00 PM,Grovfoder,00:02,Sorteringsgrind 1 Tvåvägsgrind,Separated Right to OBS Avdelning,OBS Avdelningen,,
1339,VMS 1,11/3/2020 11:17:52 PM,Mjolkfalla,00:14,VMS2,Milking 8.66 kg,,05:41,
1402,VMS 1,11/3/2020 11:17:42 PM,Grovfoder,02:57,Sorteringsgrind 1 Tvåvägsgrind,Separated Right to OBS Avdelning,OBS Avdelningen,,
1238,VMS 1,11/3/2020 11:17:21 PM,VMS 1,00:06,VMS 1,Pass through to Foderbord,,,
1274,VMS 1,11/3/2020 11:16:25 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
