Official Reg. No. (ORN),Reproduction Status,Cull Reason 1,Cull Reason 2,Cull Decision Reason 1,Cull Decision Reason 2,Cull Date
-1376,Pregnant,,,,,
-1377,Culled,32 Slakt,,,,9/7/2020
-1378,Pregnant,,,,,
-1379,Culled,32 Slakt,,,,9/7/2020
-1380,Bred,,,,,
-1381,Bred,,,,,
-1381-1,Culled,,,,,
-1382,Culled,32 Slakt,,32 Slakt,,9/7/2020
-1383,Pregnant,,,,,
-1383-1,Culled,Death,,,,7/1/2019
-1384,Culled,,,,,
-1385,Bred,,,,,
-1386,Culled,,,,,
-1387,Culled,,,,,
-1388,Bred,,,,,
-1390,Culled,,,,,
-1391,Heifer,,,,,
-1392,Culled,,,,,
-1393,Bred,,,,,
-1394,Bred,,,,,
-1395,Bred,,,,,
-1397,Heifer,,,,,
-1399,Heifer,,,,,
-1400,Heifer,,,,,
-1401,Heifer,,,,,
-1403,Heifer,,,,,
-1404,Heifer,,,,,
-1405,Heifer,,,,,
-1406,Heifer,,,,,
-1407,Heifer,,,,,
-1408,Heifer,,,,,
-1409,Culled,01 Såld till liv,,,,1/20/2020
-1410,Heifer,,,,,
-1411,Heifer,,,,,
-1412,Heifer,,,,,
-1413,Heifer,,,,,
-1414,Heifer,,,,,
-1415,Heifer,,,,,
-1416,Heifer,,,,,
-1417,Culled,,,,,
-1418,Heifer,,,,,
-1419,Heifer,,,,,
-1420,Culled,,,,,
-1421,Culled,,,,,
-1422,Heifer,,,,,
-1423,Heifer,,,,,
-1424,Heifer,,,,,
-1425,Heifer,,,,,
-1426,Heifer,,,,,
-1427,Heifer,,,,,
-1428,Heifer,,,,,
-1429,Heifer,,,,,
-1430,Heifer,,,,,
-1431,Heifer,,,,,
-1432,Heifer,,,,,
-1433,Heifer,,,,,
-1434,Heifer,,,,,
-1435,Heifer,,,,,
-1436,Heifer,,,,,
-1437,Heifer,,,,,
-1438,Culled,,,,,
-1439,Heifer,,,,,
-1440,Heifer,,,,,
-1441,Heifer,,,,,
-1442,Culled,01 Såld till liv,,,,9/15/2020
-1443,Heifer,,,,,
-1444,Culled,,,,,
-1445,Culled,01 Såld till liv,,,,9/15/2020
-1446,Culled,01 Såld till liv,,,,9/15/2020
-1447,Culled,01 Såld till liv,,,,9/15/2020
-1448,Heifer,,,,,
-1449,Heifer,,,,,
-1450,Culled,,,,,
-1451,Heifer,,,,,
-1452,Heifer,,,,,
-1452-1,Culled,,,,,
-1453,Heifer,,,,,
-1454,Heifer,,,,,
-1455,Heifer,,,,,
-1456,Calf,,,,,
-1457,Calf,,,,,
-1458,Calf,,,,,
-1459,Calf,,,,,
-1460,Calf,,,,,
-1461,Calf,,,,,
-1462,Calf,,,,,
-6226,,,,,,
-6424,,,,,,
-6575,,,,,,
-6576,,,,,,
-6577,,,,,,
-6578,,,,,,
-6579,,,,,,
-6580,,,,,,
-6581,,,,,,
-6582,,,,,,
-6583,,,,,,
-6584,,,,,,
-6585,,,,,,
-6586,,,,,,
-6587,,,,,,
-6588,,,,,,
-6589,,,,,,
-6590,,,,,,
-6591,,,,,,
-6592,,,,,,
-6594,,,,,,
-6595,,,,,,
-6596,,,,,,
-6597,,,,,,
-6598,,,,,,
-6599,,,,,,
-6600,,,,,,
-6601,,,,,,
-6602,,,,,,
-6603,,,,,,
-6604,,,,,,
-6605,,,,,,
-6606,,,,,,
-6607,,,,,,
-6608,,,,,,
-6609,,,,,,
-6610,,,,,,
-6611,,,,,,
-6612,,,,,,
-6613,,,,,,
-6613,,Death,,,,7/28/2015
-6614,,,,,,
-6615,,,,,,
-6616,,,,,,
-6617,,,,,,
-6618,,,,,,
-6619,,,,,,
-6620,,,,,,
-6621,,01 Såld till liv,,,,3/14/2013
-6622,,,,,,
-6623,,,,,,
-6624,,,,,,
-6625,,,,,,
-6626,,,,,,
-6627,,,,,,
-6628,,,,,,
-6629,,01 Såld till liv,,,,5/20/2013
-6630,,01 Såld till liv,,,,5/20/2013
-6631,,01 Såld till liv,,,,5/20/2013
-6632,,,,,,
-6633,,01 Såld till liv,,,,7/12/2013
-6634,,01 Såld till liv,,,,7/12/2013
-6635,,,,,,
-6636,,,,,,
-6637,,,,,,
-6638,,,,,,
-6639,,,,,,
-6640,,01 Såld till liv,,,,9/17/2013
-6641,,01 Såld till liv,,,,9/17/2013
-6642,,,,,,
-6643,,,,,,
-6644,,01 Såld till liv,,,,12/7/2013
-6645,,,,,,
-6646,,01 Såld till liv,,,,12/27/2013
-6647,,01 Såld till liv,,,,12/27/2013
-6648,,01 Såld till liv,,,,12/27/2013
-6649,,01 Såld till liv,,,,12/27/2013
-6650,,,,,,
-6651,,,,,,
-6652,,,,,,
-6653,,,,,,
-6654,,,,,,
-6655,,,,,,
-6656,,,,,,
-6657,,,,,,
-6658,,,,,,
-6659,,,,,,
-6660,,,,,,
-6661,,,,,,
-6662,,01 Såld till liv,,,,5/19/2014
-6663,,01 Såld till liv,,,,5/21/2014
-6664,,01 Såld till liv,,,,5/21/2014
-6665,,01 Såld till liv,,,,5/19/2014
-6666,,01 Såld till liv,,,,8/1/2014
-6667,,01 Såld till liv,,,,8/3/2014
-6668,,,,,,
-6669,,,,,,
-6670,,,,,,
-6670,,50 Övrig utgångsorsak,,,,4/11/2015
-6671,,,,,,
-6672,,,,,,
-6673,,,,,,
-6674,,01 Såld till liv,,,,12/4/2014
-6675,,01 Såld till liv,,,,12/4/2014
-6676,,,,,,
-6677,,Death,,,,11/4/2014
-6677,,,,,,
-6678,,,,,,
-6679,,,,,,
-6680,,,,,,
-6681,,,,,,
-6682,,,,,,
-6683,,,,,,
-6684,,,,,,
-6685,,,,,,
-6686,,,,,,
-6687,,,,,,
-6688,,,,,,
-6689,,,,,,
-6690,,,,,,
-6691,,,,,,
-6692,,,,,,
-6693,,,,,,
-6694,,01 Såld till liv,,,,4/16/2015
-6695,,,,,,
-6696,,,,,,
-6697,,,,,,
-6698,,,,,,
-6699,,,,,,
-6700,,,,,,
-6701,,,,,,
-6702,,,,,,
-6703,,,,,,
-6704,,,,,,
-6705,,,,,,
-6706,,,,,,
-6707,,,,,,
-6708,,,,,,
-6709,,,,,,
-6710,,,,,,
-6711,,Death,,,,7/11/2015
-6711,,,,,,
-6712,,,,,,
-6713,,01 Såld till liv,,,,10/9/2015
-6714,,,,,,
-6715,,,,,,
-6716,,,,,,
-6717,,,,,,
-6718,,,,,,
-6719,,,,,,
-6720,,,,,,
-6721,,,,,,
-6722,,,,,,
-6723,,,,,,
-6724,,,,,,
-6725,,,,,,
-6726,,,,,,
-6727,,,,,,
-6728,,,,,,
-6729,,,,,,
-6730,,,,,,
-6731,,,,,,
-6732,,,,,,
-6733,,,,,,
-6734,,,,,,
-6735,,,,,,
-6736,,,,,,
-6737,,,,,,
-6738,,,,,,
-6739,,,,,,
-6740,,,,,,
-6741,,,,,,
-6742,,,,,,
-6743,,,,,,
-6744,,,,,,
-6745,,,,,,
-6746,,,,,,
-6747,,,,,,
-6748,,,,,,
-6749,,,,,,
-6750,,,,,,
-6751,,,,,,
-6752,,,,,,
-6753,,,,,,
-6754,,,,,,
-6755,,,,,,
-6756,,,,,,
-6757,,,,,,
-6758,,,,,,
-6759,,,,,,
-6760,,,,,,
-6761,,,,,,
-6762,,,,,,
-6763,,,,,,
-6764,,,,,,
-6765,,,,,,
-6766,,,,,,
-6767,,01 Såld till liv,,,,12/19/2016
-6768,,01 Såld till liv,,,,12/19/2016
-6769,,01 Såld till liv,,,,12/19/2016
-6770,,01 Såld till liv,,,,12/19/2016
-6771,,01 Såld till liv,,,,12/19/2016
-6772,,01 Såld till liv,,,,1/8/2017
-6773,,01 Såld till liv,,,,1/8/2017
-6774,,,,,,
-6775,,,,,,
-6776,,,,,,
-6777,,01 Såld till liv,,,,2/27/2017
-6778,,01 Såld till liv,,,,2/27/2017
-6779,,01 Såld till liv,,,,2/27/2017
-6780,,,,,,
-6781,,,,,,
-6782,,,,,,
-6783,,,,,,
-6784,,,,,,
-6785,,,,,,
-6786,,,,,,
-6787,,01 Såld till liv,,,,5/16/2017
-6788,,01 Såld till liv,,,,5/16/2017
-6789,,01 Såld till liv,,,,5/16/2017
-6790,,01 Såld till liv,,,,5/16/2017
-6791,,01 Såld till liv,,,,5/16/2017
-6792,,,,,,
-6793,,,,,,
-6794,,,,,,
-6795,,,,,,
-6796,,,,,,
-6797,,,,,,
-6798,,,,,,
-6799,,,,,,
-6800,,,,,,
-6801,,,,,,
-6802,,,,,,
-6803,,,,,,
-6804,,,,,,
-6805,,,,,,
-6806,,01 Såld till liv,,,,12/19/2017
-6809,,01 Såld till liv,,,,12/19/2017
-6811,,,,,,
-6812,,,,,,
-6813,,,,,,
-6814,,01 Såld till liv,,,,1/29/2018
-6815,,01 Såld till liv,,,,1/29/2018
-6816,,01 Såld till liv,,,,1/29/2018
-6817,,01 Såld till liv,,,,1/29/2018
-6818,,01 Såld till liv,,,,3/16/2018
-6819,,01 Såld till liv,,,,3/16/2018
-6820,,,,,,
-6821,,,,,,
-6822,,,,,,
-6823,,,,,,
-6824,,,,,,
-6825,,,,,,
-6826,,,,,,
-6827,,,,,,
-6828,,,,,,
-6829,,,,,,
-6830,,,,,,
-6831,,,,,,
-6832,,,,,,
-6833,,,,,,
-6834,,,,,,
-6835,,,,,,
-6836,,,,,,
-6837,,,,,,
-6838,,,,,,
-6839,,,,,,
-6840,,,,,,
-6841,,,,,,
-6842,,,,,,
-6843,,,,,,
-6844,,,,,,
-6845,,,,,,
-6846,,,,,,
-6847,,,,,,
-6848,,,,,,
-6849,,,,,,
-6850,,,,,,
-6851,,01 Såld till liv,,,,1/30/2019
-6852,,01 Såld till liv,,,,1/30/2019
-6853,,01 Såld till liv,,,,1/30/2019
-6854,,,,,,
-6855,,,,,,
-6856,,,,,,
-6857,,,,,,
-6858,,,,,,
-6859,,,,,,
-6860,,,,,,
-6861,,,,,,
-6862,,,,,,
-6863,,,,,,
-6864,,,,,,
-6865,,,,,,
-6866,,,,,,
-6867,,,,,,
-6868,,,,,,
-6869,,,,,,
-6870,,,,,,
-6871,,,,,,
-6872,,,,,,
-6873,,,,,,
-6874,,,,,,
-6875,,,,,,
-6876,,,,,,
-6877,,,,,,
-6878,,,,,,
-6879,,,,,,
-6880,,,,,,
-6881,,,,,,
-6882,,,,,,
-6883,,,,,,
-6884,,,,,,
-6885,,,,,,
-6886,,,,,,
-6887,,01 Såld till liv,,,,9/30/2019
-6889,,01 Såld till liv,,,,9/30/2019
-6890,,01 Såld till liv,,,,9/30/2019
-6891,,01 Såld till liv,,,,9/30/2019
-6892,,,,,,
-6893,,,,,,
-6894,,,,,,
-6895,,,,,,
-6896,,,,,,
-6897,,,,,,
-6898,,,,,,
-6899,,,,,,
-6900,,,,,,
-6901,,,,,,
-6902,,,,,,
-6903,,,,,,
-6904,,01 Såld till liv,,,,1/20/2020
-6905,,01 Såld till liv,,,,1/20/2020
-6906,,,,,,
-6907,,,,,,
-6908,,,,,,
-6909,,,,,,
-6910,,,,,,
-6911,,,,,,
-6912,,,,,,
-6913,,,,,,
-6914,,,,,,
-6915,,,,,,
-6916,,,,,,
-6917,,,,,,
-6918,,,,,,
-6919,,,,,,
-6920,,,,,,
-6921,,,,,,
-6922,,,,,,
-6923,,,,,,
-6924,,,,,,
-6925,,,,,,
-6926,,,,,,
-6927,,,,,,
-6928,,,,,,
-6929,,,,,,
-6930,,,,,,
-6931,,,,,,
-6932,,,,,,
-6933,,,,,,
-6934,,01 Såld till liv,,,,9/15/2020
-6935,,01 Såld till liv,,,,9/15/2020
-6936,,01 Såld till liv,,,,9/15/2020
-6937,,01 Såld till liv,,,,9/15/2020
-6938,,01 Såld till liv,,,,9/15/2020
-6939,,01 Såld till liv,,,,9/15/2020
-6940,,01 Såld till liv,,,,9/15/2020
-6941,,01 Såld till liv,,,,9/15/2020
-6942,,01 Såld till liv,,,,9/15/2020
-6943,,,,,,
-6944,,,,,,
-6945,,,,,,
-6946,,,,,,
-6947,,,,,,
-6948,,,,,,
-6949,,,,,,
-6950,,,,,,
-6951,,,,,,
-6952,,,,,,
-6953,,,,,,
-6954,,,,,,
-6955,,,,,,
-6956,,,,,,
-6957,,,,,,
-6958,,,,,,
-6959,,,,,,
-6960,,,,,,
-6961,,,,,,
-6962,,,,,,
-767,Culled,50 Övrig utgångsorsak,,,,8/1/2013
-0587,Culled,02 Nedsatt fruktsamhet,,,,11/9/2016
-0595,Culled,06 Förlossningssvårigheter,,,,2/14/2018
-0597,Culled,02 Nedsatt fruktsamhet,,,,3/15/2016
-0600,Culled,13 Låg avkastning,,,,12/14/2015
-0602,Open,,,,,
-0603,Culled,02 Nedsatt fruktsamhet,,,,7/15/2019
-0612,Culled,11 Kastning,13 Låg avkastning,,,2/9/2016
-798,Culled,04 Mastit/juverfel,,,,10/16/2019
