Animal Number,Group Name,Date/Time,Previous Area,Time in Area (hh:mm),Device Name,Result,Gate Decision,Milking Interval,Incompletely Milked Teats
123,VMS 1,11/4/2020 12:09:17 AM,VMS2,00:08,VMS2,Pass through to Foderbord,,,
29,VMS 1,11/4/2020 12:06:42 AM,VMS 1,00:06,VMS 1,Pass through to Foderbord,,,
123,VMS 1,11/4/2020 12:00:17 AM,Mjolkfalla,00:00,VMS2,Milking 13.03 kg,,06:27,
44,VMS 1,11/4/2020 12:00:17 AM,VMS2,00:07,VMS2,Pass through to Foderbord,,,
123,VMS 1,11/4/2020 12:00:03 AM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
29,VMS 1,11/3/2020 11:59:50 PM,Mjolkfalla,00:00,VMS 1,Milking 7.72 kg,,10:20,RR
29,VMS 1,11/3/2020 11:59:37 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Obskor med tillstånd,,
123,VMS 1,11/3/2020 11:59:36 PM,Grovfoder,06:16,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
29,VMS 1,11/3/2020 11:59:27 PM,Grovfoder,10:16,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
38,VMS 1,11/3/2020 11:58:13 PM,Grovfoder,00:40,Sorteringsgrind 1 Tvåvägsgrind,Separated Right to OBS Avdelning,OBS Avdelningen,,
0,VMS 1,11/3/2020 11:52:45 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
44,VMS 1,11/3/2020 11:52:31 PM,Mjolkfalla,00:01,VMS2,Milking 12.16 kg,,08:46,
100,VMS 1,11/3/2020 11:52:30 PM,VMS2,00:06,VMS2,Pass through to Foderbord,,,
0,VMS 1,11/3/2020 11:52:24 PM,Grovfoder,00:50,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
44,VMS 1,11/3/2020 11:51:28 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
44,VMS 1,11/3/2020 11:51:14 PM,Grovfoder,03:24,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
20,VMS 1,11/3/2020 11:48:30 PM,VMS 1,00:05,VMS 1,Pass through to Foderbord,,,
56,VMS 1,11/3/2020 11:46:31 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
56,VMS 1,11/3/2020 11:46:18 PM,Grovfoder,01:12,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
9,VMS 1,11/3/2020 11:45:52 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
100,VMS 1,11/3/2020 11:45:40 PM,Mjolkfalla,00:00,VMS2,Milking 5.13 kg,,06:48,
100,VMS 1,11/3/2020 11:45:21 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
9,VMS 1,11/3/2020 11:45:09 PM,Grovfoder,02:10,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
100,VMS 1,11/3/2020 11:44:50 PM,Grovfoder,01:31,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
11,VMS 1,11/3/2020 11:43:07 PM,Grovfoder,00:58,Sorteringsgrind 1 Tvåvägsgrind,Separated Right to OBS Avdelning,OBS Avdelningen,,
24,VMS 1,11/3/2020 11:42:54 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
24,VMS 1,11/3/2020 11:42:39 PM,Grovfoder,00:30,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
20,VMS 1,11/3/2020 11:42:39 PM,Mjolkfalla,00:05,VMS 1,Milking 8.18 kg,,05:12,
18,VMS 1,11/3/2020 11:42:39 PM,VMS 1,00:08,VMS 1,Pass through to Foderbord,,,
15,VMS 1,11/3/2020 11:41:51 PM,VMS2,00:13,VMS2,Pass through to Foderbord,,,
12,VMS 1,11/3/2020 11:39:27 PM,Grovfoder,01:06,Sorteringsgrind 1 Tvåvägsgrind,Separated Right to OBS Avdelning,OBS Avdelningen,,
20,VMS 1,11/3/2020 11:37:10 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
20,VMS 1,11/3/2020 11:36:59 PM,Grovfoder,04:21,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
40,VMS 1,11/3/2020 11:35:08 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
40,VMS 1,11/3/2020 11:34:53 PM,Grovfoder,00:17,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
18,VMS 1,11/3/2020 11:34:38 PM,Mjolkfalla,00:00,VMS 1,Milking 7.64 kg,,11:15,
18,VMS 1,11/3/2020 11:34:07 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
18,VMS 1,11/3/2020 11:33:55 PM,Grovfoder,02:41,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
54,VMS 1,11/3/2020 11:31:57 PM,VMS 1,00:07,VMS 1,Pass through to Foderbord,,,
91,VMS 1,11/3/2020 11:29:40 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
91,VMS 1,11/3/2020 11:29:25 PM,Grovfoder,00:06,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
57,VMS 1,11/3/2020 11:29:14 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
57,VMS 1,11/3/2020 11:29:03 PM,Grovfoder,00:46,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
15,VMS 1,11/3/2020 11:28:45 PM,Mjolkfalla,00:02,VMS2,Milking 15.37 kg,,07:25,
52,VMS 1,11/3/2020 11:28:44 PM,VMS2,00:05,VMS2,Pass through to Foderbord,,,
66,VMS 1,11/3/2020 11:27:49 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
66,VMS 1,11/3/2020 11:27:35 PM,Grovfoder,00:49,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
15,VMS 1,11/3/2020 11:26:21 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
15,VMS 1,11/3/2020 11:26:10 PM,Grovfoder,07:03,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
54,VMS 1,11/3/2020 11:24:05 PM,Mjolkfalla,00:02,VMS 1,Milking 11.63 kg,,06:48,
94,VMS 1,11/3/2020 11:24:05 PM,VMS 1,00:05,VMS 1,Pass through to Foderbord,,,
52,VMS 1,11/3/2020 11:23:07 PM,Mjolkfalla,00:00,VMS2,Milking 9.60 kg,,07:41,
91,VMS 1,11/3/2020 11:23:06 PM,VMS2,00:05,VMS2,Pass through to Foderbord,,,
52,VMS 1,11/3/2020 11:22:58 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
52,VMS 1,11/3/2020 11:22:43 PM,Grovfoder,02:40,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
54,VMS 1,11/3/2020 11:21:25 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
54,VMS 1,11/3/2020 11:21:13 PM,Grovfoder,02:39,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
103,VMS 1,11/3/2020 11:19:56 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
103,VMS 1,11/3/2020 11:19:42 PM,Grovfoder,00:15,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
16,VMS 1,11/3/2020 11:19:38 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
16,VMS 1,11/3/2020 11:19:28 PM,Grovfoder,00:47,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
94,VMS 1,11/3/2020 11:18:56 PM,Mjolkfalla,00:20,VMS 1,Milking 7.77 kg,,05:13,
38,VMS 1,11/3/2020 11:18:00 PM,Grovfoder,00:02,Sorteringsgrind 1 Tvåvägsgrind,Separated Right to OBS Avdelning,OBS Avdelningen,,
91,VMS 1,11/3/2020 11:17:52 PM,Mjolkfalla,00:14,VMS2,Milking 8.66 kg,,05:41,
128,VMS 1,11/3/2020 11:17:42 PM,Grovfoder,02:57,Sorteringsgrind 1 Tvåvägsgrind,Separated Right to OBS Avdelning,OBS Avdelningen,,
40,VMS 1,11/3/2020 11:17:21 PM,VMS 1,00:06,VMS 1,Pass through to Foderbord,,,
59,VMS 1,11/3/2020 11:16:25 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
59,VMS 1,11/3/2020 11:16:09 PM,Grovfoder,01:12,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
38,VMS 1,11/3/2020 11:15:53 PM,VMS2,00:07,VMS2,Pass through to Foderbord,,,
11,VMS 1,11/3/2020 11:13:46 PM,Grovfoder,00:28,Sorteringsgrind 1 Tvåvägsgrind,"Did not pass, still in Grovfoder",,,
24,VMS 1,11/3/2020 11:12:33 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
24,VMS 1,11/3/2020 11:12:11 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,"Did not pass, still in Koridor till Sorteringsgrind 2",,,
24,VMS 1,11/3/2020 11:11:57 PM,Grovfoder,00:33,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
87,VMS 1,11/3/2020 11:11:56 PM,Koridor till Sorteringsgrind 2,00:01,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
71,VMS 1,11/3/2020 11:11:45 PM,Koridor till Sorteringsgrind 2,00:03,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
75,VMS 1,11/3/2020 11:11:32 PM,Koridor till Sorteringsgrind 2,00:03,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
75,VMS 1,11/3/2020 11:11:18 PM,Koridor till Sorteringsgrind 2,00:02,Sorteringsgrind 2 Trevägsgrind,"Did not pass, still in Koridor till Sorteringsgrind 2",,,
75,VMS 1,11/3/2020 11:11:10 PM,Koridor till Sorteringsgrind 2,00:02,Sorteringsgrind 2 Trevägsgrind,"Did not pass, still in Koridor till Sorteringsgrind 2",,,
75,VMS 1,11/3/2020 11:10:50 PM,Koridor till Sorteringsgrind 2,00:02,Sorteringsgrind 2 Trevägsgrind,"Did not pass, still in Koridor till Sorteringsgrind 2",,,
87,VMS 1,11/3/2020 11:10:47 PM,Grovfoder,00:02,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
40,VMS 1,11/3/2020 11:10:30 PM,Mjolkfalla,00:07,VMS 1,Milking 8.49 kg,,06:07,
75,VMS 1,11/3/2020 11:10:28 PM,Koridor till Sorteringsgrind 2,00:02,Sorteringsgrind 2 Trevägsgrind,"Did not pass, still in Koridor till Sorteringsgrind 2",,,
75,VMS 1,11/3/2020 11:10:20 PM,Koridor till Sorteringsgrind 2,00:02,Sorteringsgrind 2 Trevägsgrind,"Did not pass, still in Koridor till Sorteringsgrind 2",,,
179,VMS 1,11/3/2020 11:10:18 PM,VMS 1,00:07,VMS 1,Pass through to Foderbord,,,
75,VMS 1,11/3/2020 11:09:51 PM,Koridor till Sorteringsgrind 2,00:01,Sorteringsgrind 2 Trevägsgrind,"Did not pass, still in Koridor till Sorteringsgrind 2",,,
75,VMS 1,11/3/2020 11:09:39 PM,Koridor till Sorteringsgrind 2,00:01,Sorteringsgrind 2 Trevägsgrind,"Did not pass, still in Koridor till Sorteringsgrind 2",,,
75,VMS 1,11/3/2020 11:09:21 PM,Koridor till Sorteringsgrind 2,00:01,Sorteringsgrind 2 Trevägsgrind,"Did not pass, still in Koridor till Sorteringsgrind 2",,,
75,VMS 1,11/3/2020 11:08:58 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,"Did not pass, still in Koridor till Sorteringsgrind 2",,,
75,VMS 1,11/3/2020 11:08:47 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,"Did not pass, still in Koridor till Sorteringsgrind 2",,,
75,VMS 1,11/3/2020 11:08:33 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,"Did not pass, still in Koridor till Sorteringsgrind 2",,,
38,VMS 1,11/3/2020 11:08:25 PM,Mjolkfalla,00:02,VMS2,Milking 10.47 kg,,05:47,
71,VMS 1,11/3/2020 11:08:24 PM,Grovfoder,02:33,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
