Main;;;;;;;Main;;;;;AMD, Avvikande mjölk, Status;;Medelflöden (kg/min);;;;Blod (ppm);;;;Konduktivitet (mS/cm);;;;Diverse;;;Toppflöden (kg/min);;;;Mjölkmängder (kg);;;
Starttid;Djurnr;Grupp;MS/MP;Åtgärd;Mjölkningstid (mm:ss);Mjölkmängd (kg);Mjölkningsnummer;OCC(*1000 celler/ml);Avspark;Ofullständig;Spenar hittas ej;Juver;Spene;VF;HF;VB;HB;VF;HF;VB;HB;VF;HF;VB;HB;Användare;Mjölkdestination;Orsak till mjölkavskiljning;VF;HF;VB;HB;VF;HF;VB;HB
2020-11-03 00:00;47;VMS 1;VMS2;Mjölkning;06:51;5,77;1;117;;HB;HB;0;;0,84;;0,78;0,00;0;;0;0;4,11;;4,07;0,00;;Mjölktank;;1,32;;1,20;0,00;2,15;;3,62;0,00
2020-11-03 00:05;13;VMS 1;VMS 1;Mjölkning;09:14;14,08;1;60;;;;0;;0,54;0,48;0,72;0,72;0;0;0;0;4,58;4,45;4,52;4,41;;Mjölktank;;0,84;0,84;1,08;1,08;2,13;2,47;4,93;4,55
2020-11-03 00:14;52;VMS 1;VMS 1;Mjölkning;04:47;10,76;1;102;;;;0;;1,26;1,68;1,62;1,32;0;0;0;0;4,71;4,65;4,72;4,75;;Mjölktank;;1,86;2,28;2,22;2,34;2,66;2,50;3,18;2,42
2020-11-03 00:20;97;VMS 1;VMS 1;Mjölkning;08:38;10,77;1;211;HB;;;0;;;1,08;0,90;0,78;;0;0;0;;4,71;4,52;4,42;;Mjölktank;;;1,68;1,74;1,92;;3,56;4,20;3,01
2020-11-03 00:25;63;VMS 1;VMS2;Mjölkning;05:12;6,97;1;77;;;;0;;0,66;1,08;1,02;1,02;0;0;0;0;4,78;5,11;4,94;4,93;;Mjölktank;;1,14;1,56;1,44;1,44;0,59;2,06;1,76;2,56
2020-11-03 00:31;95;VMS 1;VMS 1;Mjölkning;05:06;7,98;1;31;;;;0;;1,02;0,96;0,84;0,78;0;0;0;0;4,17;4,11;4,12;4,08;;Mjölktank;;1,38;1,38;1,14;1,20;1,92;1,80;2,19;2,07
2020-11-03 00:31;25;VMS 1;VMS2;Mjölkning;07:59;9,89;1;62;;;;0;;0,78;;0,66;1,14;0;;0;0;4,38;;4,34;4,67;;Mjölktank;;1,20;;1,08;1,86;2,48;;3,51;3,90
2020-11-03 00:37;94;VMS 1;VMS 1;Mjölkning;04:44;10,52;1;11;;;;0;;1,08;1,14;1,20;1,20;0;0;0;0;4,64;4,85;4,79;4,55;;Mjölktank;;1,44;1,50;1,56;1,74;2,71;2,55;2,57;2,69
2020-11-03 00:40;47;VMS 1;VMS2;Mjölkning;08:40;3,43;2;;;HB;VF;0;;0,18;;0,78;0,30;0;;0;0;2,28;;4,33;2,55;;Mjölktank;;0,48;;1,08;0,90;0,14;;2,99;0,30
2020-11-03 00:43;5;VMS 1;VMS 1;Mjölkning;08:17;14,32;1;371;;;;0;;0,66;0,90;0,66;0,78;0;0;0;0;5,18;4,71;4,79;4,96;;Mjölktank;;1,02;1,32;1,02;1,20;3,62;3,86;4,04;2,80
2020-11-03 00:49;35;VMS 1;VMS2;Mjölkning;07:20;15,12;1;102;;;;0;;1,20;0,84;0,84;0,90;0;0;0;0;4,85;5,17;4,94;4,80;;Mjölktank;;1,56;1,20;1,20;1,32;3,48;2,74;4,17;4,73
2020-11-03 00:52;123;VMS 1;VMS 1;Mjölkning;07:13;16,87;1;251;;;;0;;0,90;0,84;1,32;1,32;0;0;0;0;5,24;5,18;5,39;5,29;;Mjölktank;;1,26;1,14;1,80;1,86;3,03;3,40;5,78;4,66
2020-11-03 01:00;12;VMS 1;VMS2;Mjölkning;05:02;8,85;1;197;;;;0;;0,60;1,26;1,32;1,26;0;0;0;0;4,65;4,36;4,61;4,40;;Mjölktank;;1,20;1,86;1,80;1,86;0,88;1,56;3,56;2,85
2020-11-03 01:00;92;VMS 1;VMS 1;Mjölkning;06:00;15,84;1;;;;;0;;0,90;0,96;1,32;1,08;0;0;0;0;4,71;4,78;4,79;4,76;;Mjölktank;;1,26;1,32;1,74;1,56;3,17;3,26;5,02;4,39
2020-11-03 01:06;61;VMS 1;VMS2;Mjölkning;11:21;6,98;1;214;;;HB;0;VB;0,42;0,36;0,90;0,00;0;0;0;0;4,00;4,10;4,72;0,00;;Mjölktank;;0,84;0,72;1,26;0,00;0,68;0,87;5,43;0,00
2020-11-03 01:07;128;VMS 1;VMS 1;Mjölkning;04:46;2,80;1;;;;;1;;0,78;;0,42;0,24;0;;0;0;5,24;;5,99;5,63;;Divert 3;;1,38;;0,66;0,48;1,48;;0,93;0,39
2020-11-03 01:17;99;VMS 1;VMS 1;Mjölkning;05:34;8,22;1;;;;;0;;0,66;0,84;0,72;0,84;0;0;0;0;4,37;4,46;4,37;4,48;;Mjölktank;;0,90;1,20;0,96;1,20;2,07;2,04;2,05;2,06
2020-11-03 01:18;40;VMS 1;VMS2;Mjölkning;05:51;9,77;1;208;;;;0;;1,26;1,26;;1,32;0;0;;0;4,18;4,23;;4,46;;Mjölktank;;1,68;1,68;;1,74;3,33;3,11;;3,33
2020-11-03 01:24;28;VMS 1;VMS 1;Mjölkning;09:42;9,01;1;148;;;;0;;0,48;0,54;0,42;0,54;0;0;0;0;4,24;4,32;4,31;4,28;;Mjölktank;;0,78;0,90;0,78;0,90;2,17;2,20;2,44;2,20
2020-11-03 01:25;88;VMS 1;VMS2;Mjölkning;07:00;15,39;1;88;;;;0;;0,78;0,72;1,02;1,02;0;0;0;0;4,38;4,64;4,34;4,46;;Mjölktank;;1,08;1,08;1,50;1,38;3,22;3,46;4,57;4,14
2020-11-03 01:33;14;VMS 1;VMS2;Mjölkning;06:02;13,82;1;20;;;;0;;1,08;;1,14;1,26;0;;0;0;4,25;;4,48;4,53;;Mjölktank;;1,38;;1,68;1,80;3,79;;4,90;5,13
2020-11-03 01:34;10;VMS 1;VMS 1;Mjölkning;05:50;5,75;1;40;HF,HB;VB;VB;0;;;1,20;0,00;1,20;;0;0;346;;4,25;0,00;4,42;;Mjölktank;;;1,92;0,00;1,74;;3,12;0,00;2,63
2020-11-03 01:39;178;VMS 1;VMS2;Mjölkning;05:25;10,70;1;37;;;;0;;1,32;1,08;0,84;0,84;0;0;0;0;3,71;3,76;3,54;3,59;;Mjölktank;;1,74;1,62;1,26;1,26;2,85;2,99;2,42;2,44
2020-11-03 01:41;89;VMS 1;VMS 1;Mjölkning;07:41;18,84;1;5;;;;0;;0,96;0,90;0,96;0,96;0;0;0;0;4,77;4,79;4,64;4,75;;Mjölktank;;1,44;1,26;1,32;1,32;4,47;3,97;5,54;4,86
2020-11-03 01:46;65;VMS 1;VMS2;Mjölkning;05:41;17,50;1;40;;;;0;;1,20;1,08;1,50;1,44;0;0;0;0;4,65;4,70;4,61;4,66;;Mjölktank;;1,56;1,50;1,86;1,98;3,73;3,67;5,00;5,10
2020-11-03 01:50;30;VMS 1;VMS 1;Mjölkning;07:26;16,42;1;34;;;;0;;0,84;1,02;0,90;0,96;0;0;0;0;4,84;4,99;4,91;5,02;;Mjölktank;;1,08;1,38;1,44;1,50;4,17;4,30;3,66;4,29
2020-11-03 01:53;93;VMS 1;VMS2;Mjölkning;05:11;9,13;1;17;;;;0;;0,66;0,84;1,08;0,96;0;0;0;0;4,12;4,30;4,21;4,26;;Mjölktank;;0,96;1,20;1,38;1,26;1,89;1,92;2,61;2,71
2020-11-03 01:58;39;VMS 1;VMS 1;Mjölkning;08:03;10,40;1;337;;;;0;;0,48;0,72;0,84;0,60;0;0;0;0;4,71;4,79;4,51;4,55;;Mjölktank;;0,72;1,20;1,32;1,14;0,70;1,90;4,20;3,60
