Main;;;;;;;Main;;;;;AMD, Avvikande mjölk, Status;;Medelflöden (kg/min);;;;Blod (ppm);;;;Konduktivitet (mS/cm);;;;Diverse;;;Toppflöden (kg/min);;;;Mjölkmängder (kg);;;
Starttid;Djurnr;Grupp;MS/MP;Åtgärd;Mjölkningstid (mm:ss);Mjölkmängd (kg);Mjölkningsnummer;OCC(*1000 celler/ml);Avspark;Ofullständig;Spenar hittas ej;Juver;Spene;VF;HF;VB;HB;VF;HF;VB;HB;VF;HF;VB;HB;Användare;Mjölkdestination;Orsak till mjölkavskiljning;VF;HF;VB;HB;VF;HF;VB;HB
2020-11-15 00:07;34;VMS 1;VMS 1;Mjölkning;04:50;10,49;1;202;;;;0;;1,38;1,38;1,38;1,14;0;0;0;0;4,79;4,88;4,84;4,84;;Mjölktank;;2,22;1,92;2,04;1,92;2,45;2,71;2,79;2,54
2020-11-15 00:13;83;VMS 1;VMS2;Mjölkning;05:19;7,41;1;;;;;0;;0,96;1,02;1,02;1,14;0;0;0;0;4,48;4,70;4,48;4,70;;Mjölktank;;1,26;1,32;1,50;1,50;1,87;2,01;1,86;1,67
2020-11-15 00:13;37;VMS 1;VMS 1;Mjölkning;06:01;11,82;1;94;;;;0;;0,84;1,02;1,26;1,32;0;0;0;0;4,93;4,95;5,04;5,25;;Mjölktank;;1,38;1,32;1,74;1,74;1,75;1,99;4,28;3,80
2020-11-15 00:19;62;VMS 1;VMS2;Mjölkning;06:03;8,41;1;;;;;0;;;0,78;1,38;1,32;;0;0;0;;4,03;4,08;4,10;;Mjölktank;;;1,38;2,16;2,40;;1,97;3,25;3,19
2020-11-15 00:20;42;VMS 1;VMS 1;Mjölkning;04:52;6,49;1;54;;;;0;;0,90;0,60;0,48;0,66;0;0;0;367;4,26;4,22;4,24;4,24;;Mjölktank;;1,44;0,96;0,78;1,02;2,12;1,36;1,21;1,80
2020-11-15 00:27;39;VMS 1;VMS 1;Mjölkning;10:53;8,47;1;74;;HB;HB;0;;0,36;0,66;0,96;0,42;0;0;0;0;4,26;4,62;4,51;1,47;;Mjölktank;;0,54;0,96;1,44;1,14;0,65;2,18;5,47;0,17
2020-11-15 00:27;118;VMS 1;VMS2;Mjölkning;06:04;10,45;1;;;;;0;;0,84;0,54;0,84;0,96;0;0;0;0;4,47;4,50;4,48;4,64;;Mjölktank;;1,20;0,90;1,20;1,26;2,26;1,78;3,22;3,19
2020-11-15 00:35;15;VMS 1;VMS2;Mjölkning;12:08;18,73;1;;;;;0;;0,72;0,84;0,54;0,60;0;0;0;0;4,61;4,63;4,62;4,63;;Mjölktank;;1,14;1,32;0,90;0,96;4,35;4,56;4,57;5,25
2020-11-15 00:39;20;VMS 1;VMS 1;Mjölkning;07:08;12,40;1;120;;;;0;;;1,26;0,96;0,90;;0;0;0;;4,62;4,91;4,44;;Mjölktank;;;1,74;1,32;1,32;;3,86;4,00;4,54
2020-11-15 00:47;87;VMS 1;VMS 1;Mjölkning;09:58;4,61;1;108;;VB;;0;;1,56;1,50;0,54;1,26;323;0;0;0;4,20;4,35;3,28;4,10;;Mjölktank;;2,22;1,92;1,08;1,92;1,34;1,65;0,30;1,32
2020-11-15 00:48;74;VMS 1;VMS2;Mjölkning;04:34;10,79;1;;;;;0;;0,84;0,90;1,38;1,50;0;0;0;0;4,94;4,50;4,62;4,84;;Mjölktank;;1,20;1,26;1,86;1,92;1,30;2,04;3,76;3,69
2020-11-15 00:55;14;VMS 1;VMS2;Mjölkning;05:23;8,94;1;;;;;0;;0,96;;1,02;1,20;0;;0;0;4,34;;4,35;4,57;;Divert 1;;1,32;;1,44;1,68;2,56;;2,87;3,51
2020-11-15 00:58;80;VMS 1;VMS 1;Mjölkning;07:37;11,41;1;40;;;;0;;0,60;0,84;1,02;1,20;0;0;0;0;3,93;3,88;4,03;4,18;;Mjölktank;;1,02;1,38;1,56;1,80;2,09;2,15;3,56;3,61
2020-11-15 01:06;4;VMS 1;VMS2;Mjölkning;04:49;8,81;1;;HB;;;0;;1,14;1,20;0,84;0,78;0;0;0;0;4,21;4,30;4,28;4,30;;Mjölktank;;1,62;1,62;1,62;1,44;2,18;2,75;2,26;1,62
2020-11-15 01:08;24;VMS 1;VMS 1;Mjölkning;10:45;16,49;1;17;;;;0;;0,48;0,72;0,66;0,84;0;0;0;0;4,53;4,15;4,50;4,44;;Mjölktank;;0,84;1,08;1,02;1,26;3,65;4,05;4,44;4,35
2020-11-15 01:17;70;VMS 1;VMS2;Mjölkning;10:11;13,81;1;;;;;1;;0,72;0,72;0,66;;0;0;0;;4,21;3,90;4,02;;;Mjölktank;;1,02;1,14;1,08;;3,85;5,43;4,53;
2020-11-15 01:19;69;VMS 1;VMS 1;Mjölkning;05:57;10,10;1;14;;;;0;;1,14;1,14;1,26;1,26;0;0;0;0;3,93;4,02;3,96;3,97;;Mjölktank;;1,62;1,56;1,74;1,68;2,82;2,11;2,40;2,77
2020-11-15 01:26;46;VMS 1;VMS 1;Mjölkning;11:46;2,03;1;;;VB;;0;HB;0,24;0,30;0,30;1,14;0;0;0;0;2,75;4,62;3,62;4,98;;Mjölktank;;0,66;0,72;0,72;1,68;0,22;0,31;0,22;1,28
2020-11-15 01:30;64;VMS 1;VMS2;Mjölkning;09:05;7,15;1;;;VF;VF;0;;0,36;1,32;;1,08;0;0;;0;2,88;4,90;;4,83;;Mjölktank;;1,02;1,86;;1,68;0,13;3,74;;3,28
2020-11-15 01:39;75;VMS 1;VMS 1;Mjölkning;05:25;8,59;1;;;;;0;;0,72;0,66;0,84;0,84;0;0;0;0;3,86;4,09;4,10;4,23;;Mjölktank;;0,96;0,96;1,32;1,26;1,55;1,64;2,81;2,59
2020-11-15 01:45;7;VMS 1;VMS2;Mjölkning;05:07;11,93;1;;;;;0;;1,32;1,14;1,74;1,62;0;0;0;0;3,87;4,10;3,95;4,29;;Mjölktank;;1,80;1,68;2,34;2,28;2,26;2,20;3,40;4,07
2020-11-15 01:46;30;VMS 1;VMS 1;Mjölkning;07:19;16,76;1;;;;;0;;0,90;1,02;0,84;0,96;0;0;0;0;4,67;5,02;4,63;4,84;;Mjölktank;;1,26;1,44;1,38;1,44;4,41;4,42;3,79;4,14
2020-11-15 01:52;40;VMS 1;VMS2;Mjölkning;05:14;13,72;1;;HB;;;0;;1,32;1,50;;1,38;0;0;;0;4,34;4,43;;4,69;;Mjölktank;;1,68;2,10;;1,92;4,62;4,62;;4,48
2020-11-15 01:54;17;VMS 1;VMS 1;Mjölkning;04:12;6,14;1;48;;;;0;VF,HF;1,32;1,08;1,14;0,78;1024;795;784;862;4,74;4,62;4,37;3,56;;Divert 3;;2,04;1,86;2,16;1,38;1,55;1,58;1,44;1,57
2020-11-15 01:59;71;VMS 1;VMS2;Mjölkning;05:56;9,79;1;;;;;0;;0,72;0,66;0,84;0,84;0;0;0;0;4,21;4,30;4,22;4,49;;Mjölktank;;1,20;1,14;1,26;1,38;1,65;2,02;2,79;3,33
2020-11-15 02:04;41;VMS 1;VMS 1;Mjölkning;07:51;10,27;1;;;;;0;VF;0,72;0,66;0,54;0,72;0;0;0;0;5,87;4,88;5,10;5,18;;Mjölktank;;1,02;1,08;0,96;1,08;1,57;2,13;2,86;3,71
2020-11-15 02:11;38;VMS 1;VMS2;Mjölkning;05:46;11,00;1;;;;;0;;0,78;;1,14;1,14;0;;0;0;4,01;;4,09;4,28;;Mjölktank;;1,32;;1,62;1,56;2,07;;4,53;4,40
2020-11-15 02:12;93;VMS 1;VMS 1;Mjölkning;04:52;7,68;1;;;;;0;;0,78;0,72;0,90;0,84;0;0;0;0;4,39;4,49;4,37;4,51;;Mjölktank;;1,14;1,08;1,26;1,32;1,65;1,63;2,26;2,14
2020-11-15 02:17;16;VMS 1;VMS2;Mjölkning;04:40;10,02;1;;;;;0;;1,20;0,60;1,38;1,14;378;427;457;533;4,69;4,09;4,56;4,55;;Mjölktank;;1,68;1,02;1,80;1,92;2,83;0,48;3,62;3,09
2020-11-15 02:25;28;VMS 1;VMS 1;Mjölkning;15:26;14,31;1;8;;;;0;;0,42;0,48;0,42;0,36;0;0;0;0;4,06;4,15;4,17;3,91;;Mjölktank;;0,72;0,90;0,72;0,72;3,38;3,48;4,14;3,31
2020-11-15 02:26;54;VMS 1;VMS2;Mjölkning;05:51;11,14;1;;;;;0;;0,90;0,78;1,20;1,26;0;0;0;0;4,42;4,37;4,49;4,41;;Mjölktank;;1,38;1,26;1,92;1,80;2,04;2,27;3,25;3,58
2020-11-15 02:33;5;VMS 1;VMS2;Mjölkning;13:30;17,49;1;;;;;0;;1,02;1,02;0,72;0,54;0;0;0;0;4,82;4,70;4,75;4,49;;Mjölktank;;1,38;1,38;1,02;1,02;4,22;4,62;4,92;3,73
2020-11-15 02:42;56;VMS 1;VMS 1;Mjölkning;05:22;12,07;1;31;;;;0;;1,20;1,26;0,96;1,20;0;0;0;0;4,73;4,75;4,90;5,32;;Mjölktank;;1,62;1,62;1,26;1,80;2,08;3,29;3,45;3,25
2020-11-15 02:49;177;VMS 1;VMS 1;Mjölkning;05:12;9,47;1;65;;;;0;;1,26;1,08;0,78;0,66;0;0;0;0;3,92;4,15;3,76;3,70;;Mjölktank;;1,62;1,50;1,20;1,02;2,58;2,50;2,24;2,15
2020-11-15 02:52;46;VMS 1;VMS2;Mjölkning;15:36;0,87;2;;;;HF;0;;0,30;0,12;0,30;0,30;0;0;0;0;3,28;2,41;4,22;4,36;;Mjölktank;;0,90;0,36;0,54;0,78;0,23;0,15;0,21;0,28
2020-11-15 02:55;9;VMS 1;VMS 1;Mjölkning;04:44;11,58;1;28;;;;0;;1,08;0,90;1,20;1,14;0;0;0;0;4,39;4,48;4,44;4,58;;Mjölktank;;1,74;1,26;1,56;1,56;2,67;2,45;3,13;3,33
2020-11-15 03:01;0;VMS 1;VMS 1;Mjölkning;07:12;10,05;1;180;;;;0;;0,78;0,78;0,84;0,36;0;0;0;0;4,59;4,75;4,71;4,84;;Mjölktank;;1,26;1,26;1,14;0,60;3,06;2,66;3,70;0,63
2020-11-15 03:08;19;VMS 1;VMS2;Mjölkning;06:26;9,78;1;;;;;0;;0,72;0,84;0,78;0,72;0;0;0;0;4,08;4,43;4,23;4,08;;Mjölktank;;1,08;1,38;1,08;1,08;1,69;2,31;2,63;3,15
2020-11-15 03:09;78;VMS 1;VMS 1;Mjölkning;04:29;8,87;1;408;;;;0;;0,96;1,14;1,14;1,02;0;0;0;0;4,33;4,48;4,44;4,31;;Mjölktank;;1,26;1,44;1,56;1,32;2,17;2,46;2,44;1,80
2020-11-15 03:15;59;VMS 1;VMS 1;Mjölkning;04:57;13,20;1;314;;;;0;;1,20;1,02;1,80;1,38;0;0;0;0;4,20;4,48;4,17;4,44;;Mjölktank;;1,50;1,44;2,28;2,04;2,67;2,32;4,02;4,19
2020-11-15 03:17;128;VMS 1;VMS2;Mjölkning;07:05;8,25;1;;;;;1;VB;0,84;;0,96;0,48;0;;0;0;4,15;;5,03;4,35;;Mjölktank;;1,20;;1,50;0,96;3,68;;2,64;1,93
2020-11-15 03:21;95;VMS 1;VMS 1;Mjölkning;05:18;9,79;1;45;;;;0;;0,96;1,02;1,02;0,90;0;0;0;0;4,40;4,34;4,31;4,31;;Mjölktank;;1,32;1,56;1,38;1,32;2,23;2,25;2,65;2,66
2020-11-15 03:26;23;VMS 1;VMS2;Mjölkning;07:49;11,30;1;;;;;0;;0,78;0,72;0,60;0,60;0;0;0;0;4,49;4,36;4,35;4,42;;Mjölktank;;1,08;1,44;1,20;0,96;2,23;2,83;3,31;2,93
2020-11-15 03:27;97;VMS 1;VMS 1;Mjölkning;07:06;13,08;1;22;VB,HB;;;0;;;1,02;0,96;0,66;;0;0;0;;4,75;4,77;4,64;;Mjölktank;;;1,44;1,74;1,08;;4,66;5,11;3,31
2020-11-15 03:35;79;VMS 1;VMS2;Mjölkning;05:15;8,56;1;;;;;0;;1,32;1,20;1,14;1,20;0;0;0;0;4,22;4,43;4,49;4,48;;Mjölktank;;1,74;1,56;1,56;1,56;2,22;2,07;2,03;2,24
2020-11-15 03:37;47;VMS 1;VMS 1;Mjölkning;06:26;10,07;1;62;;;;0;;0,90;;0,84;0,96;0;;0;0;4,20;;4,04;4,11;;Mjölktank;;1,26;;1,26;1,38;2,42;;4,00;3,65
2020-11-15 03:44;100;VMS 1;VMS2;Mjölkning;05:11;6,89;1;;;;;0;;;0,84;0,84;0,72;;0;0;0;;4,30;4,29;4,35;;Mjölktank;;;1,14;1,26;1,08;;1,93;2,72;2,24
