Official Reg. No. (ORN),Average Activity Last 24h,Relative Activity %,High Activity Start Hour,High Activity Level,General High Act. Probability (%),High Activity Time (Last 48h),Hours Since Sending Activity,Hours Since High Activity,Is High Activity Today,Is High Activity Yesterday,Low Activity,General Low Act. Probability (%)
-1039,20,102,,,51,,2,,Unchecked,Unchecked,Unchecked,48
-1138,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1139,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1162,68,117,,,68,,1,,Unchecked,Unchecked,Unchecked,31
-1163,67,115,,,65,,2,,Unchecked,Unchecked,Unchecked,34
-1167,23,88,,,43,,2,,Unchecked,Unchecked,Unchecked,56
-1170,76,95,,,42,,3,,Unchecked,Unchecked,Unchecked,57
-1173,,,,,,,,,Unchecked,Unchecked,Unchecked,
-0602,27,112,,,59,,2,,Unchecked,Unchecked,Unchecked,40
-1178,27,102,,,54,,2,,Unchecked,Unchecked,Unchecked,45
-1180,23,94,,,42,,1,,Unchecked,Unchecked,Unchecked,57
-1184,31,101,,,50,,2,,Unchecked,Unchecked,Unchecked,49
-1187,55,101,,,51,,1,,Unchecked,Unchecked,Unchecked,48
-1189,18,99,,,48,,1,,Unchecked,Unchecked,Unchecked,51
-1194,39,107,,,58,,2,,Unchecked,Unchecked,Unchecked,41
-1193,14,96,,,46,,2,,Unchecked,Unchecked,Unchecked,53
-1195,28,96,,,46,,2,,Unchecked,Unchecked,Unchecked,53
-1197,18,107,19,(+),56,11/1/2020 7:00 PM,2,30,Unchecked,Unchecked,Unchecked,43
-1198,28,116,,,66,,1,,Unchecked,Unchecked,Unchecked,33
-1199,,,,,,,162,,Unchecked,Unchecked,Unchecked,
-1200,57,90,,,37,,1,,Unchecked,Unchecked,Unchecked,62
-1201,27,107,,,58,,2,,Unchecked,Unchecked,Unchecked,41
-1203,36,119,,,75,,2,,Unchecked,Unchecked,Unchecked,24
-1208,42,101,,,51,,2,,Unchecked,Unchecked,Unchecked,48
-1209,11,97,,,47,,1,,Unchecked,Unchecked,Unchecked,52
-1210,16,112,,,62,,1,,Unchecked,Unchecked,Unchecked,37
-1211,58,119,,,72,,2,,Unchecked,Unchecked,Unchecked,27
-1212,24,111,,,60,,2,,Unchecked,Unchecked,Unchecked,39
