Animal Number,Group Name,Date/Time,Previous Area,Time in Area (hh:mm),Device Name,Result,Gate Decision,Milking Interval,Incompletely Milked Teats
47,VMS 1,11/3/2020 12:07:59 AM,VMS2,00:07,VMS2,Pass through to Foderbord,,,
29,VMS 1,11/3/2020 12:05:02 AM,VMS 1,00:05,VMS 1,Pass through to Foderbord,,,
47,VMS 1,11/3/2020 12:00:27 AM,Mjolkfalla,00:03,VMS2,Milking 5.77 kg,,05:10,RR
82,VMS 1,11/3/2020 12:00:17 AM,VMS2,00:06,VMS2,Pass through to Foderbord,,,
37,VMS 1,11/3/2020 12:00:12 AM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
37,VMS 1,11/3/2020 12:00:01 AM,Grovfoder,00:00,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
74,VMS 1,11/2/2020 11:59:33 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
74,VMS 1,11/2/2020 11:59:20 PM,Grovfoder,00:05,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1,VMS 1,11/2/2020 11:59:09 PM,Grovfoder,00:07,Sorteringsgrind 1 Tvåvägsgrind,Separated Right to OBS Avdelning,OBS Avdelningen,,
29,VMS 1,11/2/2020 11:59:07 PM,Mjolkfalla,00:04,VMS 1,Milking 9.60 kg,,08:31,
37,VMS 1,11/2/2020 11:59:07 PM,VMS 1,00:06,VMS 1,Pass through to Foderbord,,,
47,VMS 1,11/2/2020 11:57:16 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
47,VMS 1,11/2/2020 11:57:06 PM,Grovfoder,02:31,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
89,VMS 1,11/2/2020 11:55:09 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Röda kor,,
89,VMS 1,11/2/2020 11:54:59 PM,Grovfoder,02:19,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
29,VMS 1,11/2/2020 11:54:43 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Obskor med tillstånd,,
29,VMS 1,11/2/2020 11:54:33 PM,Grovfoder,08:26,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
82,VMS 1,11/2/2020 11:53:50 PM,Mjolkfalla,00:13,VMS2,Milking 11.23 kg,,11:42,
74,VMS 1,11/2/2020 11:53:42 PM,VMS2,00:07,VMS2,Pass through to Foderbord,,,
61,VMS 1,11/2/2020 11:52:22 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
37,VMS 1,11/2/2020 11:52:19 PM,Mjolkfalla,00:06,VMS 1,Milking 14.73 kg,,09:06,
61,VMS 1,11/2/2020 11:52:10 PM,Grovfoder,00:58,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1,VMS 1,11/2/2020 11:52:08 PM,VMS 1,00:09,VMS 1,Pass through to Foderbord,,,
24,VMS 1,11/2/2020 11:49:34 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
24,VMS 1,11/2/2020 11:49:16 PM,Grovfoder,00:18,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
97,VMS 1,11/2/2020 11:46:57 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
97,VMS 1,11/2/2020 11:46:42 PM,Grovfoder,00:58,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
74,VMS 1,11/2/2020 11:46:42 PM,Mjolkfalla,00:05,VMS2,Milking 10.18 kg,,05:51,
59,VMS 1,11/2/2020 11:46:42 PM,VMS2,00:05,VMS2,Pass through to Foderbord,,,
18,VMS 1,11/2/2020 11:46:35 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
18,VMS 1,11/2/2020 11:46:21 PM,Grovfoder,00:15,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
37,VMS 1,11/2/2020 11:45:21 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
93,VMS 1,11/2/2020 11:45:10 PM,Koridor till Sorteringsgrind 2,00:02,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
37,VMS 1,11/2/2020 11:44:21 PM,Grovfoder,02:12,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
93,VMS 1,11/2/2020 11:43:08 PM,Grovfoder,00:22,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
1,VMS 1,11/2/2020 11:43:02 PM,Mjolkfalla,00:05,VMS 1,Milking 19.41 kg,,10:04,
8,VMS 1,11/2/2020 11:42:47 PM,VMS 1,00:06,VMS 1,Pass through to Foderbord,,,
74,VMS 1,11/2/2020 11:41:26 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
74,VMS 1,11/2/2020 11:41:08 PM,Grovfoder,03:54,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
