Main;;;;;;;Main;;;;;AMD, Avvikande mjölk, Status;;Medelflöden (kg/min);;;;Blod (ppm);;;;Konduktivitet (mS/cm);;;;Diverse;;;Toppflöden (kg/min);;;;Mjölkmängder (kg);;;
Starttid;Djurnr;Grupp;MS/MP;Åtgärd;Mjölkningstid (mm:ss);Mjölkmängd (kg);Mjölkningsnummer;OCC(*1000 celler/ml);Avspark;Ofullständig;Spenar hittas ej;Juver;Spene;VF;HF;VB;HB;VF;HF;VB;HB;VF;HF;VB;HB;Användare;Mjölkdestination;Orsak till mjölkavskiljning;VF;HF;VB;HB;VF;HF;VB;HB
2020-11-02 00:02;59;VMS 1;VMS 1;Mjölkning;04:42;11,04;1;;;;;0;;1,26;1,14;1,38;1,14;0;0;0;0;4,48;4,99;4,50;4,59;;Divert 1;;1,74;1,50;1,86;1,62;2,50;1,83;3,79;2,92
2020-11-02 00:03;41;VMS 1;VMS2;Mjölkning;07:57;16,94;1;77;;;;1;;0,66;0,84;1,02;1,02;0;0;0;0;5,34;4,83;5,22;4,98;;Mjölktank;;0,96;1,20;1,32;1,38;2,33;3,41;5,41;5,79
2020-11-02 00:08;103;VMS 1;VMS 1;Mjölkning;08:05;10,82;1;;;;;0;;0,66;0,60;0,66;0,54;0;0;0;0;4,42;4,39;4,43;4,38;;Mjölktank;;1,02;0,96;0,96;0,96;2,53;2,80;2,65;2,84
2020-11-02 00:11;44;VMS 1;VMS2;Mjölkning;05:37;12,35;1;148;;;;0;;0,90;1,08;1,26;1,08;0;0;0;0;3,93;4,10;4,01;4,05;;Mjölktank;;1,20;1,50;1,74;1,56;2,99;3,03;3,06;3,27
2020-11-02 00:17;9;VMS 1;VMS 1;Mjölkning;05:38;14,66;1;28;;;;0;;1,14;1,14;1,20;1,08;0;0;0;0;4,82;4,85;4,77;4,92;;Mjölktank;;1,44;1,56;1,56;1,44;3,26;2,98;4,12;4,30
2020-11-02 00:19;80;VMS 1;VMS2;Mjölkning;06:04;10,51;1;22;;;;0;;0,54;0,90;1,02;1,20;0;0;0;0;3,79;3,90;3,87;3,91;;Mjölktank;;0,96;1,38;1,44;1,80;1,87;2,01;3,02;3,61
2020-11-02 00:23;37;VMS 1;VMS 1;Mjölkning;05:07;11,58;1;25;;;;0;;0,84;0,96;1,26;1,44;0;0;0;0;4,82;4,85;4,77;5,06;;Mjölktank;;1,26;1,32;1,56;2,04;1,61;1,91;4,06;4,00
2020-11-02 00:26;42;VMS 1;VMS2;Mjölkning;05:32;6,00;1;11;;;;0;;1,08;0,84;0,72;0,72;429;384;416;508;4,26;4,23;4,34;4,18;;Mjölktank;;1,56;1,32;1,14;1,20;1,68;1,20;1,31;1,81
2020-11-02 00:28;40;VMS 1;VMS 1;Mjölkning;04:59;12,15;1;22;;;;0;;1,32;1,38;;1,38;0;0;;0;4,49;4,52;;4,78;;Mjölktank;;1,80;1,86;;1,86;4,09;3,96;;4,10
2020-11-02 00:34;47;VMS 1;VMS2;Mjölkning;06:11;11,68;1;17;;;;0;;0,96;;1,08;0,96;0;;0;0;4,13;;4,07;4,12;;Mjölktank;;1,26;;1,62;1,38;2,82;;4,53;4,33
2020-11-02 00:35;57;VMS 1;VMS 1;Mjölkning;08:42;8,61;1;54;;;VB;0;;1,14;1,32;0,30;0,48;0;0;0;0;4,29;4,58;2,88;4,38;;Mjölktank;;1,80;1,74;0,72;0,84;3,23;4,77;0,17;0,44
2020-11-02 00:41;71;VMS 1;VMS2;Mjölkning;05:11;8,69;1;54;;;;0;;0,66;0,78;0,84;0,90;0;0;0;0;4,46;4,36;4,48;4,52;;Mjölktank;;0,96;1,20;1,26;1,44;1,64;1,74;2,56;2,75
2020-11-02 00:44;52;VMS 1;VMS 1;Mjölkning;05:05;12,28;1;208;;;;0;;1,26;1,62;1,62;1,38;0;0;0;0;4,42;4,38;4,37;4,58;;Mjölktank;;1,98;2,28;2,46;2,34;3,02;2,84;3,35;3,07
2020-11-02 00:47;55;VMS 1;VMS2;Mjölkning;08:17;9,88;1;71;VB;;;0;;0,96;1,02;0,78;0,96;0;0;0;0;4,00;4,10;4,07;4,12;;Mjölktank;;1,56;1,68;1,20;1,26;1,86;2,32;2,17;3,53
2020-11-02 00:50;5;VMS 1;VMS 1;Mjölkning;07:29;12,01;1;551;;;;0;;0,60;0,90;0,66;0,66;0;0;0;0;4,89;4,72;5,05;4,64;;Mjölktank;;1,02;1,26;1,08;1,02;2,89;3,34;2,52;3,26
2020-11-02 00:56;56;VMS 1;VMS2;Mjölkning;06:07;8,90;1;88;;;;0;;1,20;1,32;0,84;1,20;0;0;0;0;4,53;4,70;4,81;5,12;;Mjölktank;;1,56;1,68;1,14;1,50;1,78;2,27;2,45;2,40
2020-11-02 00:59;123;VMS 1;VMS 1;Mjölkning;07:02;16,66;1;125;;;;0;;0,90;0,90;1,20;1,20;0;0;0;0;5,09;5,19;5,18;5,38;;Mjölktank;;1,26;1,26;1,56;1,74;2,88;3,37;5,70;4,71
2020-11-02 01:04;70;VMS 1;VMS2;Mjölkning;11:57;14,81;1;45;;;;1;;0,78;0,72;0,54;;0;0;0;;4,74;4,23;4,28;;;Mjölktank;;1,08;1,14;1,02;;4,31;5,56;4,94;
2020-11-02 01:07;3;VMS 1;VMS 1;Mjölkning;10:23;14,54;1;97;;VB;VB;0;;;1,14;0,00;0,90;;0;0;0;;4,85;0,00;4,64;;Divert 2;;;1,56;0,00;1,32;;7,32;0,00;7,22
2020-11-02 01:17;30;VMS 1;VMS2;Mjölkning;08:44;13,89;1;157;;;;0;;0,78;0,90;0,96;0,78;0;0;0;0;4,40;4,64;4,55;4,51;;Mjölktank;;1,02;1,26;1,38;1,20;3,53;3,82;3,49;3,05
2020-11-02 01:20;89;VMS 1;VMS 1;Mjölkning;08:03;11,46;1;;;;;0;;0,96;0,90;0,96;0,90;0;0;0;0;4,76;4,72;4,78;4,64;;Mjölktank;;1,38;1,32;1,44;1,14;2,55;2,62;3,09;3,20
2020-11-02 01:26;63;VMS 1;VMS2;Mjölkning;05:17;5,45;1;251;;;;0;;0,78;1,14;0,90;0,84;0;0;0;0;5,14;5,37;5,01;4,98;;Mjölktank;;1,14;1,62;1,32;1,38;0,66;1,49;1,20;2,10
2020-11-02 01:28;100;VMS 1;VMS 1;Mjölkning;11:00;5,68;1;54;;VB;;0;;0,78;0,84;0,48;0,78;339;0;0;0;4,49;4,45;3,64;4,57;;Mjölktank;;1,20;1,26;0,96;1,14;2,16;1,36;0,47;1,69
2020-11-02 01:43;29;VMS 1;VMS 1;Mjölkning;05:40;7,93;1;54;;;;0;;1,02;0,96;;0,78;0;0;;0;4,29;4,31;;4,23;;Mjölktank;;1,50;1,62;;1,26;3,28;2,38;;2,27
2020-11-02 01:56;77;VMS 1;VMS 1;Mjölkning;05:14;8,65;1;45;;;;0;;1,38;1,14;1,56;0,96;0;0;0;0;4,69;4,65;4,38;4,44;;Mjölktank;;1,98;1,74;2,46;1,74;2,26;2,02;3,07;1,30
2020-11-02 01:58;54;VMS 1;VMS2;Mjölkning;06:30;9,72;1;145;;;;0;;0,78;0,66;1,14;0,96;0;0;0;0;4,40;4,30;4,35;4,51;;Mjölktank;;1,20;1,20;1,74;1,38;1,84;1,90;2,93;3,05
2020-11-02 02:22;35;VMS 1;VMS2;Mjölkning;06:24;9,94;1;28;;;;0;;1,02;0,78;0,96;0,84;0;0;0;0;4,53;4,90;4,61;4,51;;Mjölktank;;1,32;1,26;1,32;1,26;2,32;1,88;2,61;3,13
2020-11-02 02:22;91;VMS 1;VMS 1;Mjölkning;05:03;12,09;1;31;;;;0;;1,32;1,32;1,02;1,02;0;0;0;0;4,49;4,65;4,45;4,44;;Mjölktank;;1,68;1,74;1,38;1,50;3,14;3,00;2,90;3,05
2020-11-02 02:29;4;VMS 1;VMS 1;Mjölkning;05:17;9,39;1;208;;;;0;;1,08;1,20;1,02;0,78;0;0;0;0;4,69;4,58;4,65;4,31;;Mjölktank;;1,38;1,56;1,92;1,74;2,36;2,66;2,28;2,09
2020-11-02 02:32;82;VMS 1;VMS2;Mjölkning;05:34;8,80;1;165;;;;0;;0,54;0,54;0,78;0,84;0;0;0;0;4,27;4,43;4,48;4,51;;Mjölktank;;0,84;0,90;1,14;1,26;1,59;1,42;2,60;3,19
2020-11-02 02:34;99;VMS 1;VMS 1;Mjölkning;05:09;7,98;1;480;;;;0;;0,66;0,78;0,72;0,72;0;0;0;0;4,35;4,38;4,38;4,44;;Mjölktank;;1,02;1,32;1,14;1,08;1,98;1,96;2,00;2,04
2020-11-02 02:39;11;VMS 1;VMS2;Mjölkning;06:27;8,32;1;245;;;;1;VF;0,30;1,20;1,08;0,96;0;0;0;0;6,82;4,63;5,22;4,65;;Divert 1;;0,54;1,68;1,56;1,62;0,94;2,66;1,95;2,77
2020-11-02 02:42;21;VMS 1;VMS 1;Mjölkning;07:28;11,96;1;311;;;;1;;0,66;0,78;1,20;0,60;0;0;0;0;4,55;4,64;4,52;5,18;;Mjölktank;;1,14;1,14;1,68;0,96;2,95;3,14;4,17;1,70
2020-11-02 02:51;78;VMS 1;VMS2;Mjölkning;04:32;9,14;1;317;;;;0;;1,08;1,14;0,90;0,90;0;0;0;0;4,11;4,04;4,21;4,05;;Mjölktank;;1,38;1,50;1,32;1,20;2,22;2,57;2,42;1,93
2020-11-02 02:53;34;VMS 1;VMS 1;Mjölkning;05:52;12,87;1;360;;;;0;;1,38;1,38;1,50;1,38;0;0;0;0;4,82;4,71;4,79;4,77;;Mjölktank;;1,80;1,92;2,10;1,86;2,98;3,38;3,35;3,16
2020-11-02 02:57;79;VMS 1;VMS2;Mjölkning;04:25;7,52;1;237;;;;0;;1,14;1,08;0,96;0,96;0;0;0;0;4,38;4,37;4,48;4,32;;Mjölktank;;1,50;1,62;1,38;1,44;1,96;1,82;1,73;2,01
2020-11-02 03:03;23;VMS 1;VMS 1;Mjölkning;06:56;10,42;1;108;;;;0;;0,84;0,78;0,66;0,66;0;0;0;0;4,69;4,58;4,52;4,44;;Mjölktank;;1,26;1,14;1,02;1,08;1,96;2,60;3,16;2,70
2020-11-02 03:05;64;VMS 1;VMS2;Mjölkning;05:32;7,85;1;485;;;;0;;1,02;1,08;;1,32;0;0;;0;4,65;4,91;;4,86;;Mjölktank;;1,26;1,56;;1,80;2,27;2,74;;2,84
2020-11-02 03:26;25;VMS 1;VMS 1;Mjölkning;07:48;12,72;1;237;;;;0;;1,14;;0,90;1,32;0;;0;0;4,42;;4,52;4,71;;Mjölktank;;1,56;;1,50;1,98;2,98;;4,57;5,17
2020-11-02 03:30;93;VMS 1;VMS2;Mjölkning;04:49;8,23;1;125;;;;0;;0,72;0,78;0,96;0,90;0;0;0;0;4,11;4,17;4,15;4,05;;Mjölktank;;1,02;1,32;1,26;1,32;1,70;1,74;2,47;2,32
2020-11-02 03:35;75;VMS 1;VMS 1;Mjölkning;05:49;11,70;1;220;;;;0;;0,72;0,84;1,14;0,96;0;0;0;0;4,09;4,11;4,25;4,24;;Mjölktank;;0,96;1,14;1,56;1,44;1,92;2,36;3,55;3,87
2020-11-02 03:48;69;VMS 1;VMS2;Mjölkning;06:03;13,47;1;34;;;;0;;1,02;1,32;1,26;1,14;0;0;0;0;3,78;4,10;3,81;3,92;;Mjölktank;;1,38;1,68;1,62;1,56;3,76;2,93;3,08;3,70
2020-11-02 03:57;19;VMS 1;VMS 1;Mjölkning;06:14;10,80;1;134;;;;0;;0,78;0,96;0,78;0,84;0;0;0;0;4,76;5,05;4,65;4,57;;Mjölktank;;1,14;1,38;1,14;1,26;2,12;2,41;3,03;3,24
2020-11-02 04:23;14;VMS 1;VMS2;Mjölkning;06:02;12,91;1;0;;;;0;;1,02;;1,26;1,20;0;;0;0;4,18;;4,35;4,39;;Mjölktank;;1,38;;1,80;1,74;3,62;;4,58;4,71
2020-11-02 04:30;12;VMS 1;VMS 1;Mjölkning;04:59;8,25;1;265;;;;0;;0,42;0,84;1,26;1,20;0;0;0;0;4,62;4,57;4,72;4,44;;Mjölktank;;0,90;1,44;1,74;1,80;0,86;1,52;3,39;2,48
2020-11-02 04:30;38;VMS 1;VMS2;Mjölkning;06:05;10,35;1;2;;;;0;;0,84;;1,08;1,14;0;;0;0;3,85;;4,15;3,99;;Mjölktank;;1,26;;1,44;1,74;2,10;;4,35;3,90
2020-11-02 04:36;61;VMS 1;VMS 1;Mjölkning;08:43;16,22;1;165;;;;0;;1,02;0,84;0,90;0,72;0;0;0;0;4,82;4,71;4,65;4,64;;Mjölktank;;1,32;1,20;1,20;1,14;3,26;3,85;4,55;4,56
2020-11-02 04:37;97;VMS 1;VMS2;Mjölkning;06:21;6,39;1;45;HF,VB,HB;;;0;;;1,08;0,96;0,90;;0;0;0;;4,76;4,75;5,05;;Mjölktank;;;1,98;1,92;1,86;;1,94;2,01;2,44
2020-11-02 04:46;95;VMS 1;VMS 1;Mjölkning;05:58;10,31;1;34;;;;0;;1,02;0,96;0,84;0,78;0;0;0;0;4,22;4,17;4,12;4,17;;Mjölktank;;1,38;1,32;1,26;1,20;2,43;2,28;2,75;2,85
2020-11-02 04:47;7;VMS 1;VMS2;Mjölkning;05:10;12,01;1;37;;;;0;;1,26;1,02;1,50;1,62;0;0;0;0;4,13;4,36;4,22;4,51;;Mjölktank;;1,80;1,56;2,22;2,34;2,43;2,13;3,57;3,88
