Official Reg. No. (ORN),Lactation Number,Days In Milk,Last Calving Date,Concentrates Cons. % Yest,Concentrates Ration Yesterday,Giva {Feed1},Giva {Feed2},Giva {Feed3},Giva {Feed4},Giva {Feed5},Giva {Feed6},Giva {Feed7},Giva {Feed8},% konsumerat igår {Feed1},% konsumerat igår {Feed2},% konsumerat igår {Feed3},% konsumerat igår {Feed4},% konsumerat igår {Feed5},% konsumerat igår {Feed6},% konsumerat igår {Feed7},% konsumerat igår {Feed8}
128,4,4,10/30/2020,86,3.5,0.71,1.6,1.8,2.4,,,,,,70.0,,80.0,0,0,0,0
24,4,6,10/28/2020,105,6.81,1.25,1.9,1.25,4.57,,,,,144.0,84.0,,81.0,0,0,0,0
28,4,6,10/28/2020,106,7.3,1.25,2.88,1.65,3.82,,,,,144.0,85.0,,92.0,0,0,0,0
100,1,12,10/22/2020,102,7.34,1.78,2.91,1.57,2.73,,,,,123.0,96.0,,91.0,0,0,0,0
103,1,14,10/20/2020,112,8.62,2.61,2.94,1.57,3.04,,,,,117.0,111.0,,111.0,0,0,0,0
42,3,15,10/19/2020,102,9.44,2.62,3.51,1.57,3.13,,,,,117.0,102.0,,97.0,0,0,0,0
9,4,16,10/18/2020,104,11.64,2.39,5.06,1.14,4.62,,,,,122.0,103.0,,85.0,0,0,0,0
27,4,16,10/18/2020,97,11.85,2.99,4.6,1.25,4.44,,,,,119.0,87.0,,87.0,0,0,0,0
98,1,24,10/10/2020,66,8.57,1.14,4.77,1.14,2.94,,,,,104.0,48.0,,73.0,0,0,0,0
25,4,25,10/9/2020,97,9.28,2.8,4.9,2.0,2.21,,,,,119.0,86.0,,66.0,0,0,0,0
99,1,26,10/8/2020,95,8.31,1.14,3.14,1.14,4.18,,,,,94.0,124.0,,69.0,0,0,0,0
77,2,41,9/23/2020,112,9.28,0.0,5.73,0.0,4.05,,,,,0.0,109.0,0.0,101.0,0,0,0,0
97,1,41,9/23/2020,83,8.97,0.25,5.17,0.0,3.76,,,,,170.0,83.0,0.0,74.0,0,0,0,0
0,7,42,9/22/2020,92,13.6,2.86,6.4,1.81,4.38,,,,,120.0,86.0,,81.0,0,0,0,0
75,2,43,9/21/2020,93,9.57,0.0,5.51,0.0,4.51,,,,,0.0,86.0,0.0,91.0,0,0,0,0
63,2,46,9/18/2020,75,6.88,0.0,4.3,0.69,2.81,,,,,0.0,75.0,,68.0,0,0,0,0
92,1,50,9/14/2020,84,11.0,1.43,5.24,0.0,4.9,,,,,146.0,54.0,0.0,88.0,0,0,0,0
96,1,50,9/14/2020,97,8.93,0.57,4.74,0.0,4.15,,,,,127.0,91.0,0.0,87.0,0,0,0,0
95,1,54,9/10/2020,89,15.84,3.75,6.75,0.0,5.5,,,,,110.0,82.0,0.0,80.0,0,0,0,0
43,3,59,9/5/2020,95,15.57,3.75,6.75,0.26,5.36,,,,,128.0,82.0,,84.0,0,0,0,0
6,5,60,9/4/2020,83,14.09,2.7,6.71,0.0,5.14,,,,,113.0,65.0,0.0,82.0,0,0,0,0
44,3,60,9/4/2020,89,12.87,3.13,5.08,1.82,4.96,,,,,112.0,82.0,,76.0,0,0,0,0
47,3,63,9/1/2020,103,16.59,4.45,6.75,0.25,5.63,,,,,126.0,98.0,,86.0,0,0,0,0
74,2,63,9/1/2020,88,17.36,4.38,7.0,0.0,5.87,,,,,113.0,79.0,0.0,82.0,0,0,0,0
60,2,67,8/28/2020,74,16.76,4.38,6.75,0.25,5.72,,,,,106.0,55.0,,70.0,0,0,0,0
93,1,72,8/23/2020,103,11.86,2.86,4.0,1.94,5.44,,,,,142.0,83.0,,90.0,0,0,0,0
64,2,78,8/17/2020,95,8.92,2.29,2.34,2.93,4.53,,,,,123.0,74.0,,86.0,0,0,0,0
36,3,79,8/16/2020,77,14.79,3.84,6.15,0.5,4.96,,,,,100.0,64.0,,72.0,0,0,0,0
69,2,88,8/7/2020,89,15.96,3.89,6.52,0.4,5.74,,,,,118.0,75.0,,82.0,0,0,0,0
91,1,88,8/7/2020,88,15.13,3.43,6.19,0.0,5.28,,,,,123.0,76.0,0.0,85.0,0,0,0,0
94,1,89,8/6/2020,92,12.53,2.86,4.75,1.92,5.19,,,,,140.0,68.0,,83.0,0,0,0,0
66,2,99,7/27/2020,93,13.45,3.75,4.75,2.12,5.18,,,,,106.0,91.0,,82.0,0,0,0,0
1,8,102,7/24/2020,97,11.49,3.67,3.1,2.27,5.12,,,,,106.0,92.0,,87.0,0,0,0,0
13,4,102,7/24/2020,93,11.9,3.13,4.5,2.61,4.41,,,,,141.0,67.0,,83.0,0,0,0,0
15,4,106,7/20/2020,97,15.69,4.38,6.75,1.63,4.41,,,,,123.0,89.0,,87.0,0,0,0,0
20,4,107,7/19/2020,99,16.31,4.81,6.75,0.0,4.55,,,,,127.0,89.0,0.0,89.0,0,0,0,0
41,3,108,7/18/2020,83,7.46,2.5,1.33,3.44,3.63,,,,,107.0,59.0,,76.0,0,0,0,0
2,6,110,7/16/2020,93,16.51,4.53,6.75,0.25,4.87,,,,,128.0,70.0,,99.0,0,0,0,0
5,4,110,7/16/2020,108,14.9,3.75,6.86,1.98,4.24,,,,,144.0,91.0,,104.0,0,0,0,0
65,2,112,7/14/2020,105,16.37,4.38,6.73,0.0,5.01,,,,,135.0,93.0,0.0,99.0,0,0,0,0
40,3,114,7/12/2020,91,15.3,4.38,6.75,0.14,3.82,,,,,134.0,66.0,,95.0,0,0,0,0
58,2,114,7/12/2020,95,15.06,4.56,5.33,1.33,5.3,,,,,120.0,86.0,,80.0,0,0,0,0
19,4,117,7/9/2020,96,16.38,4.96,6.75,0.5,4.39,,,,,125.0,84.0,,86.0,0,0,0,0
14,4,118,7/8/2020,92,16.14,4.71,6.75,0.5,4.48,,,,,125.0,73.0,,91.0,0,0,0,0
70,2,119,7/7/2020,118,11.54,3.75,3.75,2.23,3.8,,,,,135.0,117.0,,110.0,0,0,0,0
34,3,120,7/6/2020,105,16.46,4.38,6.75,0.5,5.08,,,,,135.0,93.0,,100.0,0,0,0,0
35,3,127,6/29/2020,80,11.55,1.69,5.28,0.0,4.5,,,,,118.0,74.0,0.0,73.0,0,0,0,0
3,6,128,6/28/2020,91,13.36,3.75,5.13,2.0,3.66,,,,,120.0,82.0,,93.0,0,0,0,0
21,3,130,6/26/2020,99,13.55,2.72,6.75,0.0,4.19,,,,,142.0,84.0,0.0,94.0,0,0,0,0
7,5,132,6/24/2020,85,9.3,4.38,0.87,0.56,3.71,,,,,95.0,64.0,,86.0,0,0,0,0
123,4,142,6/14/2020,90,15.75,3.75,7.0,0.0,4.88,,,,,120.0,76.0,0.0,91.0,0,0,0,0
118,4,149,6/7/2020,102,14.02,2.86,6.75,0.0,4.42,,,,,134.0,93.0,0.0,94.0,0,0,0,0
62,2,162,5/25/2020,81,5.37,0.0,5.1,0.74,0.0,,,,,0.0,86.0,,0.0,0,0,0,0
178,6,167,5/20/2020,89,13.38,2.81,6.0,0.0,4.5,,,,,140.0,65.0,0.0,90.0,0,0,0,0
26,3,167,5/20/2020,101,9.75,3.13,2.75,2.4,3.75,,,,,122.0,87.0,,98.0,0,0,0,0
54,2,184,5/3/2020,96,13.99,3.13,6.75,0.0,4.11,,,,,106.0,99.0,0.0,83.0,0,0,0,0
61,2,184,5/3/2020,108,14.59,3.38,6.75,0.0,4.56,,,,,129.0,107.0,0.0,91.0,0,0,0,0
86,1,187,4/30/2020,99,7.14,1.71,2.38,2.98,3.37,,,,,124.0,84.0,,88.0,0,0,0,0
38,3,193,4/24/2020,96,10.89,2.5,4.49,0.84,4.08,,,,,118.0,88.0,,86.0,0,0,0,0
59,2,198,4/19/2020,97,12.85,1.94,6.75,0.0,4.38,,,,,128.0,88.0,0.0,92.0,0,0,0,0
88,1,198,4/19/2020,87,5.05,1.14,1.66,2.55,2.18,,,,,152.0,38.0,,93.0,0,0,0,0
37,3,209,4/8/2020,105,9.89,1.89,4.02,1.92,4.21,,,,,109.0,110.0,,93.0,0,0,0,0
11,4,211,4/6/2020,108,4.22,0.83,0.83,4.38,2.68,,,,,129.0,65.0,,111.0,0,0,0,0
68,1,218,3/30/2020,103,9.28,2.86,2.13,3.08,4.29,,,,,142.0,80.0,,89.0,0,0,0,0
89,1,218,3/30/2020,91,12.71,2.29,6.0,0.0,4.29,,,,,133.0,76.0,0.0,92.0,0,0,0,0
55,2,232,3/16/2020,99,11.62,1.91,5.86,1.14,4.0,,,,,105.0,103.0,,87.0,0,0,0,0
30,3,238,3/10/2020,114,10.08,2.5,3.86,2.11,3.77,,,,,155.0,79.0,,121.0,0,0,0,0
84,1,239,3/9/2020,81,1.41,0.0,1.41,1.33,0.0,,,,,0.0,81.0,,0.0,0,0,0,0
56,2,244,3/4/2020,104,7.43,1.71,1.8,3.66,4.13,,,,,121.0,99.0,,94.0,0,0,0,0
179,5,251,2/26/2020,103,6.58,1.71,1.65,4.25,3.0,,,,,153.0,70.0,,99.0,0,0,0,0
82,1,258,2/19/2020,104,6.3,1.31,1.78,4.1,3.2,,,,,115.0,101.0,,101.0,0,0,0,0
83,1,262,2/15/2020,29,6.43,2.45,2.4,3.4,3.65,,,,,,30.0,,31.0,0,0,0,0
29,3,265,2/12/2020,104,8.07,3.33,1.23,3.85,3.33,,,,,120.0,89.0,,100.0,0,0,0,0
4,4,269,2/8/2020,98,6.55,2.1,0.88,3.23,3.85,,,,,111.0,64.0,,92.0,0,0,0,0
85,1,277,1/31/2020,96,4.14,1.14,0.0,2.69,2.57,,,,,127.0,0.0,,98.0,0,0,0,0
52,2,279,1/29/2020,106,6.58,1.71,0.9,3.36,4.26,,,,,133.0,57.0,,98.0,0,0,0,0
10,4,280,1/28/2020,99,6.94,0.98,2.29,2.23,4.29,,,,,138.0,71.0,,92.0,0,0,0,0
78,1,280,1/28/2020,88,13.12,1.88,6.75,0.0,4.63,,,,,100.0,87.0,0.0,84.0,0,0,0,0
