Official Reg. No. (ORN),Lactation Number,Days In Milk,Last Calving Date,Concentrates Cons. % Yest,Concentrates Ration Yesterday,Giva {Feed1},Giva {Feed2},Giva {Feed3},Giva {Feed4},Giva {Feed5},Giva {Feed6},Giva {Feed7},Giva {Feed8},% konsumerat igår {Feed1},% konsumerat igår {Feed2},% konsumerat igår {Feed3},% konsumerat igår {Feed4},% konsumerat igår {Feed5},% konsumerat igår {Feed6},% konsumerat igår {Feed7},% konsumerat igår {Feed8}
-1402,4,4,10/30/2020,86,3.50,0.71,1.60,1.80,2.40,,,,,,70,,80,0,0,0,0
-1211,4,6,10/28/2020,105,6.81,1.25,1.90,1.25,4.57,,,,,144,84,,81,0,0,0,0
-1218,4,6,10/28/2020,106,7.30,1.25,2.88,1.65,3.82,,,,,144,85,,92,0,0,0,0
-1354,1,12,10/22/2020,102,7.34,1.78,2.91,1.57,2.73,,,,,123,96,,91,0,0,0,0
-1357,1,14,10/20/2020,112,8.62,2.61,2.94,1.57,3.04,,,,,117,111,,111,0,0,0,0
-1241,3,15,10/19/2020,102,9.44,2.62,3.51,1.57,3.13,,,,,117,102,,97,0,0,0,0
-1178,4,16,10/18/2020,104,11.64,2.39,5.06,1.14,4.62,,,,,122,103,,85,0,0,0,0
-1215,4,16,10/18/2020,97,11.85,2.99,4.60,1.25,4.44,,,,,119,87,,87,0,0,0,0
-1351,1,24,10/10/2020,66,8.57,1.14,4.77,1.14,2.94,,,,,104,48,,73,0,0,0,0
-1212,4,25,10/9/2020,97,9.28,2.80,4.90,2.00,2.21,,,,,119,86,,66,0,0,0,0
-1352,1,26,10/8/2020,95,8.31,1.14,3.14,1.14,4.18,,,,,94,124,,69,0,0,0,0
-1305,2,41,9/23/2020,112,9.28,0.00,5.73,0.00,4.05,,,,,0,109,0,101,0,0,0,0
-1348,1,41,9/23/2020,83,8.97,0.25,5.17,0.00,3.76,,,,,170,83,0,74,0,0,0,0
-0602,7,42,9/22/2020,92,13.60,2.86,6.40,1.81,4.38,,,,,120,86,,81,0,0,0,0
-1302,2,43,9/21/2020,93,9.57,0.00,5.51,0.00,4.51,,,,,0,86,0,91,0,0,0,0
-1281,2,46,9/18/2020,75,6.88,0.00,4.30,0.69,2.81,,,,,0,75,,68,0,0,0,0
-1340,1,50,9/14/2020,84,11.00,1.43,5.24,0.00,4.90,,,,,146,54,0,88,0,0,0,0
-1347,1,50,9/14/2020,97,8.93,0.57,4.74,0.00,4.15,,,,,127,91,0,87,0,0,0,0
-1344,1,54,9/10/2020,89,15.84,3.75,6.75,0.00,5.50,,,,,110,82,0,80,0,0,0,0
-1244,3,59,9/5/2020,95,15.57,3.75,6.75,0.26,5.36,,,,,128,82,,84,0,0,0,0
-1167,5,60,9/4/2020,83,14.09,2.70,6.71,0.00,5.14,,,,,113,65,0,82,0,0,0,0
-1249,3,60,9/4/2020,89,12.87,3.13,5.08,1.82,4.96,,,,,112,82,,76,0,0,0,0
-1252,3,63,9/1/2020,103,16.59,4.45,6.75,0.25,5.63,,,,,126,98,,86,0,0,0,0
-1301,2,63,9/1/2020,88,17.36,4.38,7.00,0.00,5.87,,,,,113,79,0,82,0,0,0,0
-1275,2,67,8/28/2020,74,16.76,4.38,6.75,0.25,5.72,,,,,106,55,,70,0,0,0,0
-1342,1,72,8/23/2020,103,11.86,2.86,4.00,1.94,5.44,,,,,142,83,,90,0,0,0,0
-1283,2,78,8/17/2020,95,8.92,2.29,2.34,2.93,4.53,,,,,123,74,,86,0,0,0,0
-1234,3,79,8/16/2020,77,14.79,3.84,6.15,0.50,4.96,,,,,100,64,,72,0,0,0,0
-1295,2,88,8/7/2020,89,15.96,3.89,6.52,0.40,5.74,,,,,118,75,,82,0,0,0,0
-1339,1,88,8/7/2020,88,15.13,3.43,6.19,0.00,5.28,,,,,123,76,0,85,0,0,0,0
-1343,1,89,8/6/2020,92,12.53,2.86,4.75,1.92,5.19,,,,,140,68,,83,0,0,0,0
-1287,2,99,7/27/2020,93,13.45,3.75,4.75,2.12,5.18,,,,,106,91,,82,0,0,0,0
-1039,8,102,7/24/2020,97,11.49,3.67,3.10,2.27,5.12,,,,,106,92,,87,0,0,0,0
-1193,4,102,7/24/2020,93,11.90,3.13,4.50,2.61,4.41,,,,,141,67,,83,0,0,0,0
-1197,4,106,7/20/2020,97,15.69,4.38,6.75,1.63,4.41,,,,,123,89,,87,0,0,0,0
-1203,4,107,7/19/2020,99,16.31,4.81,6.75,0.00,4.55,,,,,127,89,0,89,0,0,0,0
-1240,3,108,7/18/2020,83,7.46,2.50,1.33,3.44,3.63,,,,,107,59,,76,0,0,0,0
-1138,6,110,7/16/2020,93,16.51,4.53,6.75,0.25,4.87,,,,,128,70,,99,0,0,0,0
-1163,4,110,7/16/2020,108,14.90,3.75,6.86,1.98,4.24,,,,,144,91,,104,0,0,0,0
-1285,2,112,7/14/2020,105,16.37,4.38,6.73,0.00,5.01,,,,,135,93,0,99,0,0,0,0
-1238,3,114,7/12/2020,91,15.30,4.38,6.75,0.14,3.82,,,,,134,66,,95,0,0,0,0
-1273,2,114,7/12/2020,95,15.06,4.56,5.33,1.33,5.30,,,,,120,86,,80,0,0,0,0
-1201,4,117,7/9/2020,96,16.38,4.96,6.75,0.50,4.39,,,,,125,84,,86,0,0,0,0
-1195,4,118,7/8/2020,92,16.14,4.71,6.75,0.50,4.48,,,,,125,73,,91,0,0,0,0
-1296,2,119,7/7/2020,118,11.54,3.75,3.75,2.23,3.80,,,,,135,117,,110,0,0,0,0
-1231,3,120,7/6/2020,105,16.46,4.38,6.75,0.50,5.08,,,,,135,93,,100,0,0,0,0
-1232,3,127,6/29/2020,80,11.55,1.69,5.28,0.00,4.50,,,,,118,74,0,73,0,0,0,0
-1139,6,128,6/28/2020,91,13.36,3.75,5.13,2.00,3.66,,,,,120,82,,93,0,0,0,0
-1208,3,130,6/26/2020,99,13.55,2.72,6.75,0.00,4.19,,,,,142,84,0,94,0,0,0,0
-1170,5,132,6/24/2020,85,9.30,4.38,0.87,0.56,3.71,,,,,95,64,,86,0,0,0,0
-1396,4,142,6/14/2020,90,15.75,3.75,7.00,0.00,4.88,,,,,120,76,0,91,0,0,0,0
-1389,4,149,6/7/2020,102,14.02,2.86,6.75,0.00,4.42,,,,,134,93,0,94,0,0,0,0
-1280,2,162,5/25/2020,81,5.37,0.00,5.10,0.74,0.00,,,,,0,86,,0,0,0,0,0
-1189,6,167,5/20/2020,89,13.38,2.81,6.00,0.00,4.50,,,,,140,65,0,90,0,0,0,0
-1213,3,167,5/20/2020,101,9.75,3.13,2.75,2.40,3.75,,,,,122,87,,98,0,0,0,0
-1264,2,184,5/3/2020,96,13.99,3.13,6.75,0.00,4.11,,,,,106,99,0,83,0,0,0,0
-1276,2,184,5/3/2020,108,14.59,3.38,6.75,0.00,4.56,,,,,129,107,0,91,0,0,0,0
-1322,1,187,4/30/2020,99,7.14,1.71,2.38,2.98,3.37,,,,,124,84,,88,0,0,0,0
-1236,3,193,4/24/2020,96,10.89,2.50,4.49,0.84,4.08,,,,,118,88,,86,0,0,0,0
-1274,2,198,4/19/2020,97,12.85,1.94,6.75,0.00,4.38,,,,,128,88,0,92,0,0,0,0
-1327,1,198,4/19/2020,87,5.05,1.14,1.66,2.55,2.18,,,,,152,38,,93,0,0,0,0
-1235,3,209,4/8/2020,105,9.89,1.89,4.02,1.92,4.21,,,,,109,110,,93,0,0,0,0
-1184,4,211,4/6/2020,108,4.22,0.83,0.83,4.38,2.68,,,,,129,65,,111,0,0,0,0
-1293,1,218,3/30/2020,103,9.28,2.86,2.13,3.08,4.29,,,,,142,80,,89,0,0,0,0
-1330,1,218,3/30/2020,91,12.71,2.29,6.00,0.00,4.29,,,,,133,76,0,92,0,0,0,0
-1265,2,232,3/16/2020,99,11.62,1.91,5.86,1.14,4.00,,,,,105,103,,87,0,0,0,0
-1223,3,238,3/10/2020,114,10.08,2.50,3.86,2.11,3.77,,,,,155,79,,121,0,0,0,0
-1320,1,239,3/9/2020,81,1.41,0.00,1.41,1.33,0.00,,,,,0,81,,0,0,0,0,0
-1266,2,244,3/4/2020,104,7.43,1.71,1.80,3.66,4.13,,,,,121,99,,94,0,0,0,0
-1194,5,251,2/26/2020,103,6.58,1.71,1.65,4.25,3.00,,,,,153,70,,99,0,0,0,0
-1312,1,258,2/19/2020,104,6.30,1.31,1.78,4.10,3.20,,,,,115,101,,101,0,0,0,0
-1319,1,262,2/15/2020,29,6.43,2.45,2.40,3.40,3.65,,,,,,30,,31,0,0,0,0
-1219,3,265,2/12/2020,104,8.07,3.33,1.23,3.85,3.33,,,,,120,89,,100,0,0,0,0
-1162,4,269,2/8/2020,98,6.55,2.10,0.88,3.23,3.85,,,,,111,64,,92,0,0,0,0
-1321,1,277,1/31/2020,96,4.14,1.14,0.00,2.69,2.57,,,,,127,0,,98,0,0,0,0
-1261,2,279,1/29/2020,106,6.58,1.71,0.90,3.36,4.26,,,,,133,57,,98,0,0,0,0
-1180,4,280,1/28/2020,99,6.94,0.98,2.29,2.23,4.29,,,,,138,71,,92,0,0,0,0
-1307,1,280,1/28/2020,88,13.12,1.88,6.75,0.00,4.63,,,,,100,87,0,84,0,0,0,0
-1324,1,280,1/28/2020,98,1.20,0.00,1.01,0.00,0.13,,,,,0,110,0,61,0,0,0,0
-1263,2,284,1/24/2020,0,,0.00,0.00,0.50,0.00,,,,,0,0,,0,0,0,0,0
-1225,3,289,1/19/2020,0,,0.00,0.00,0.50,0.00,,,,,0,0,,0,0,0,0,0
-1224,3,290,1/18/2020,110,6.76,2.00,1.10,3.70,3.71,,,,,142,71,,102,0,0,0,0
-1297,1,298,1/10/2020,103,10.22,2.50,3.90,1.86,3.93,,,,,119,103,,91,0,0,0,0
-1309,1,298,1/10/2020,99,8.57,1.71,2.86,3.79,4.29,,,,,105,91,,96,0,0,0,0
-1187,4,302,1/6/2020,84,4.18,0.37,1.79,0.00,1.63,,,,,60,95,0,97,0,0,0,0
-1267,2,302,1/6/2020,109,7.76,1.14,3.54,0.00,3.62,,,,,113,115,0,86,0,0,0,0
-1251,2,311,12/28/2019,89,0.99,0.00,0.87,1.46,0.00,,,,,0,101,,0,0,0,0,0
