Official Reg. No. (ORN),Average Activity Last 24h,Relative Activity %,High Activity Start Hour,High Activity Level,General High Act. Probability (%),High Activity Time (Last 48h),Hours Since Sending Activity,Hours Since High Activity,Is High Activity Today,Is High Activity Yesterday,Low Activity,General Low Act. Probability (%)
-1039,21,104,,,52,,2,,Unchecked,Unchecked,Unchecked,47
-1138,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1139,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1162,64,111,,,63,,1,,Unchecked,Unchecked,Unchecked,36
-1163,62,109,,,59,,2,,Unchecked,Unchecked,Unchecked,40
-1167,21,79,5,(+++),40,10/31/2020 5:00 AM,2,44,Unchecked,Unchecked,Unchecked,59
-1170,83,104,,,57,,2,,Unchecked,Unchecked,Unchecked,42
-1173,,,,,,,,,Unchecked,Unchecked,Unchecked,
-0602,25,105,,,53,,2,,Unchecked,Unchecked,Unchecked,46
-1178,25,93,,,40,,1,,Unchecked,Unchecked,Unchecked,59
-1180,23,92,,,40,,1,,Unchecked,Unchecked,Unchecked,59
-1184,24,73,,,33,,2,,Unchecked,Unchecked,Unchecked,67
-1187,51,93,,,43,,1,,Unchecked,Unchecked,Unchecked,56
-1189,18,95,,,44,,1,,Unchecked,Unchecked,Unchecked,55
-1194,37,102,,,51,,2,,Unchecked,Unchecked,Unchecked,48
-1193,16,106,,,57,,2,,Unchecked,Unchecked,Unchecked,42
-1195,31,108,,,59,,2,,Unchecked,Unchecked,Unchecked,40
-1197,19,119,19,+,67,11/1/2020 7:00 PM,2,6,Unchecked,Checked,Unchecked,32
-1198,24,103,,,52,,1,,Unchecked,Unchecked,Unchecked,47
-1199,,,,,,,138,,Unchecked,Unchecked,Unchecked,
-1200,65,103,,,54,,1,,Unchecked,Unchecked,Unchecked,45
-1201,26,107,,,57,,2,,Unchecked,Unchecked,Unchecked,42
-1203,29,95,,,43,,2,,Unchecked,Unchecked,Unchecked,56
-1208,48,116,,,71,,3,,Unchecked,Unchecked,Unchecked,28
-1209,10,86,,,36,,1,,Unchecked,Unchecked,Unchecked,63
-1210,16,111,,,59,,1,,Unchecked,Unchecked,Unchecked,40
-1211,50,102,,,53,,2,,Unchecked,Unchecked,Unchecked,46
-1212,24,112,,,61,,2,,Unchecked,Unchecked,Unchecked,38
-1213,15,117,20,+,66,11/1/2020 8:00 PM,2,5,Unchecked,Checked,Unchecked,33
-1215,42,84,,,38,,2,,Unchecked,Unchecked,Unchecked,61
-1218,59,79,,,28,,2,,Unchecked,Unchecked,Unchecked,71
-1219,37,108,,,63,,1,,Unchecked,Unchecked,Unchecked,36
-1223,20,83,,,38,,2,,Unchecked,Unchecked,Unchecked,61
-1224,18,49,15,(+++),18,10/31/2020 3:00 PM,2,34,Unchecked,Unchecked,Unchecked,81
-1225,52,122,,,68,,1,,Unchecked,Unchecked,Unchecked,31
-1389,27,95,6,(++),47,10/31/2020 6:00 AM,1,43,Unchecked,Unchecked,Unchecked,52
-1396,45,94,,,45,,2,,Unchecked,Unchecked,Unchecked,54
-1402,18,153,,,79,,1,,Unchecked,Unchecked,Unchecked,20
-1229,15,83,,,40,,2,,Unchecked,Unchecked,Unchecked,59
-1231,46,101,,,51,,2,,Unchecked,Unchecked,Unchecked,48
-1232,52,101,,,51,,3,,Unchecked,Unchecked,Unchecked,48
-1234,39,101,,,51,,2,,Unchecked,Unchecked,Unchecked,48
-1235,44,101,,,51,,2,,Unchecked,Unchecked,Unchecked,48
-1236,69,93,,,41,,2,,Unchecked,Unchecked,Unchecked,58
-1237,37,109,,,62,,1,,Unchecked,Unchecked,Unchecked,37
-1238,26,101,,,52,,2,,Unchecked,Unchecked,Unchecked,47
-1240,19,92,,,43,,1,,Unchecked,Unchecked,Unchecked,56
-1241,18,87,,,37,,1,,Unchecked,Unchecked,Unchecked,62
-1244,22,109,,,63,,2,,Unchecked,Unchecked,Unchecked,36
-1249,62,91,14,(++),41,10/31/2020 2:00 PM,2,35,Unchecked,Unchecked,Unchecked,58
-1250,27,118,22,++,59,11/1/2020 10:00 PM,1,3,Unchecked,Checked,Unchecked,40
-1251,25,91,,,34,,1,,Unchecked,Unchecked,Unchecked,65
-1252,39,107,,,59,,3,,Unchecked,Unchecked,Unchecked,40
-1253,,,,,,,469,,Unchecked,Unchecked,Unchecked,
-1254,31,90,20,+,33,11/1/2020 8:00 PM,1,5,Unchecked,Checked,Unchecked,66
-1257,42,95,,,47,,7,,Unchecked,Unchecked,Unchecked,52
-1258,25,88,,,40,,1,,Unchecked,Unchecked,Unchecked,59
-1261,33,85,,,39,,1,,Unchecked,Unchecked,Unchecked,60
-1263,51,90,,,33,,1,,Unchecked,Unchecked,Unchecked,67
-1264,33,97,,,48,,1,,Unchecked,Unchecked,Unchecked,51
-1265,35,92,,,29,,1,,Unchecked,Unchecked,Unchecked,70
-1266,36,98,,,47,,1,,Unchecked,Unchecked,Unchecked,52
-1267,34,94,,,40,,1,,Unchecked,Unchecked,Unchecked,59
-1273,23,119,,,74,,1,,Unchecked,Unchecked,Unchecked,25
-1274,21,88,15,(+),43,10/31/2020 3:00 PM,10,34,Unchecked,Unchecked,Unchecked,56
-1275,49,98,,,48,,2,,Unchecked,Unchecked,Unchecked,51
-1276,41,108,,,69,,1,,Unchecked,Unchecked,Unchecked,30
-1280,23,106,,,54,,1,,Unchecked,Unchecked,Unchecked,45
-1281,25,137,,,62,,2,,Unchecked,Unchecked,Unchecked,37
-1283,32,108,,,55,,1,,Unchecked,Unchecked,Unchecked,44
-1285,39,112,,,60,,2,,Unchecked,Unchecked,Unchecked,39
-1287,32,103,,,56,,2,,Unchecked,Unchecked,Unchecked,43
-1292,20,75,,,37,,1,,Unchecked,Unchecked,Unchecked,62
-1293,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1295,20,80,,,36,,1,,Unchecked,Unchecked,Unchecked,63
-1296,16,90,,,36,,2,,Unchecked,Unchecked,Unchecked,63
-1297,35,92,,,40,,1,,Unchecked,Unchecked,Unchecked,59
-1298,44,129,,,69,,4,,Unchecked,Unchecked,Unchecked,30
-1299,36,61,,,4,,1,,Unchecked,Unchecked,Unchecked,95
-1301,23,92,,,40,,1,,Unchecked,Unchecked,Unchecked,59
-1302,39,90,,,35,,2,,Unchecked,Unchecked,Unchecked,64
-1303,20,115,5,(++),58,10/31/2020 5:00 AM,2,44,Unchecked,Unchecked,Unchecked,41
-1305,17,93,,,42,,1,,Unchecked,Unchecked,Unchecked,57
-1307,21,89,,,37,,1,,Unchecked,Unchecked,Unchecked,62
-1308,26,100,,,50,,1,,Unchecked,Unchecked,Unchecked,49
-1309,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1310,43,93,,,37,,5,,Unchecked,Unchecked,Unchecked,62
-1312,34,98,,,47,,1,,Unchecked,Unchecked,Unchecked,52
-1319,9,45,,,10,,1,,Unchecked,Unchecked,Unchecked,89
-1320,,,,,39,,1,,Unchecked,Unchecked,Unchecked,60
-1321,31,96,,,46,,1,,Unchecked,Unchecked,Unchecked,53
-1322,26,110,,,64,,1,,Unchecked,Unchecked,Unchecked,35
-1324,53,96,,,43,,1,,Unchecked,Unchecked,Unchecked,56
-1327,39,107,,,61,,1,,Unchecked,Unchecked,Unchecked,38
-1330,29,93,,,44,,1,,Unchecked,Unchecked,Unchecked,55
-1333,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1339,31,85,,,32,,1,,Unchecked,Unchecked,Unchecked,67
-1340,16,69,,,34,,1,,Unchecked,Unchecked,Unchecked,65
-1342,45,107,,,59,,2,,Unchecked,Unchecked,Unchecked,40
-1343,45,110,,,61,,1,,Unchecked,Unchecked,Unchecked,38
-1344,23,86,,,42,,1,,Unchecked,Unchecked,Unchecked,57
-1347,17,108,,,60,,1,,Unchecked,Unchecked,Unchecked,39
-1348,49,105,,,55,,2,,Unchecked,Unchecked,Unchecked,44
-1351,32,106,,,59,,1,,Unchecked,Unchecked,Unchecked,40
-1352,57,110,,,64,,2,,Unchecked,Unchecked,Unchecked,35
-1354,36,96,,,46,,1,,Unchecked,Unchecked,Unchecked,53
-1355,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1356,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1357,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1359,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1366,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1367,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1368,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1372,,,,,39,,3,,Unchecked,Unchecked,Unchecked,60
-1373,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1374,,,,,39,,2,,Unchecked,Unchecked,Unchecked,60
-1376,,,,,39,,2,,Unchecked,Unchecked,Unchecked,60
-1378,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1380,67,102,,,53,,2,,Unchecked,Unchecked,Unchecked,46
-1381,53,91,,,41,,1,,Unchecked,Unchecked,Unchecked,58
-1383,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1385,89,104,,,56,,2,,Unchecked,Unchecked,Unchecked,43
-1388,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1391,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1393,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1394,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1395,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1397,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1399,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1400,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1401,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1403,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1404,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1405,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1406,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1407,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1408,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1410,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1411,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1412,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1413,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1414,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1415,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1416,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1418,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1419,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1422,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1423,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1424,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1425,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1426,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1427,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1428,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1429,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1430,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1431,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1432,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1433,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1435,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1436,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1434,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1437,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1439,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1440,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1441,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1443,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1448,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1449,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1451,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1452,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1453,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1454,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1455,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1456,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1457,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1458,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1459,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1460,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1462,,,,,,,,,Unchecked,Unchecked,Unchecked,
-1461,,,,,,,,,Unchecked,Unchecked,Unchecked,
-6950,,,,,,,,,Unchecked,Unchecked,Unchecked,
-6951,,,,,,,,,Unchecked,Unchecked,Unchecked,
-6952,,,,,,,,,Unchecked,Unchecked,Unchecked,
-6953,,,,,,,,,Unchecked,Unchecked,Unchecked,
-6954,,,,,,,,,Unchecked,Unchecked,Unchecked,
-6955,,,,,,,,,Unchecked,Unchecked,Unchecked,
-6960,,,,,,,,,Unchecked,Unchecked,Unchecked,
-6961,,,,,,,,,Unchecked,Unchecked,Unchecked,
-6962,,,,,,,,,Unchecked,Unchecked,Unchecked,
-6956,,,,,,,,,Unchecked,Unchecked,Unchecked,
-6957,,,,,,,,,Unchecked,Unchecked,Unchecked,
-6958,,,,,,,,,Unchecked,Unchecked,Unchecked,
-6959,,,,,,,,,Unchecked,Unchecked,Unchecked,
