Official Reg. No. (ORN),Lactation Number,Days In Milk,Last Calving Date,Concentrates Cons. % Yest,Concentrates Ration Yesterday,Giva {Feed1},Giva {Feed2},Giva {Feed3},Giva {Feed4},Giva {Feed5},Giva {Feed6},Giva {Feed7},Giva {Feed8},% konsumerat igår {Feed1},% konsumerat igår {Feed2},% konsumerat igår {Feed3},% konsumerat igår {Feed4},% konsumerat igår {Feed5},% konsumerat igår {Feed6},% konsumerat igår {Feed7},% konsumerat igår {Feed8}
-1402,4,3,10/30/2020,20,3.00,0.86,1.30,1.90,2.20,,,,,,9,,22,0,0,0,0
-1211,4,5,10/28/2020,94,5.91,1.50,1.60,1.50,3.71,,,,,89,91,,75,0,0,0,0
-1218,4,5,10/28/2020,102,6.65,1.50,2.59,1.76,3.21,,,,,125,88,,82,0,0,0,0
-1354,1,11,10/22/2020,68,7.26,2.22,2.63,1.71,2.49,,,,,60,68,,75,0,0,0,0
-1357,1,13,10/20/2020,84,8.67,3.04,2.66,1.71,2.92,,,,,107,61,,83,0,0,0,0
-1241,3,14,10/19/2020,93,9.62,3.15,3.21,1.71,3.09,,,,,120,72,,94,0,0,0,0
-1178,4,15,10/18/2020,101,11.21,2.99,4.57,1.43,4.08,,,,,142,75,,89,0,0,0,0
-1215,4,15,10/18/2020,103,11.67,3.59,4.30,1.50,3.96,,,,,118,100,,87,0,0,0,0
-1351,1,23,10/10/2020,96,8.28,1.43,4.51,1.43,2.63,,,,,138,77,,97,0,0,0,0
-1212,4,24,10/9/2020,100,8.64,3.20,4.60,2.00,1.48,,,,,121,89,,45,0,0,0,0
-1352,1,25,10/8/2020,110,8.15,1.43,3.43,1.43,3.45,,,,,145,106,,94,0,0,0,0
-1305,2,40,9/23/2020,99,8.79,0.00,5.58,0.00,3.70,,,,,0,94,0,94,0,0,0,0
-1348,1,40,9/23/2020,100,8.50,0.50,5.17,0.00,3.30,,,,,193,84,0,95,0,0,0,0
-0602,7,41,9/22/2020,103,13.55,3.57,6.11,1.51,3.92,,,,,131,95,,88,0,0,0,0
-1302,2,42,9/21/2020,90,8.97,0.00,5.51,0.00,4.06,,,,,0,86,0,81,0,0,0,0
-1281,2,45,9/18/2020,74,6.64,0.00,4.30,0.46,2.58,,,,,0,78,,61,0,0,0,0
-1340,1,49,9/14/2020,87,10.43,1.79,4.95,0.00,4.27,,,,,96,84,0,75,0,0,0,0
-1347,1,49,9/14/2020,93,8.39,0.71,4.44,0.00,3.77,,,,,95,89,0,84,0,0,0,0
-1344,1,53,9/10/2020,108,15.67,4.50,6.50,0.00,4.84,,,,,134,97,0,93,0,0,0,0
-1244,3,58,9/5/2020,109,15.29,4.50,6.50,0.52,4.57,,,,,113,118,,85,0,0,0,0
-1167,5,59,9/4/2020,91,13.62,3.24,6.42,0.00,4.43,,,,,118,76,0,84,0,0,0,0
-1249,3,59,9/4/2020,91,12.56,3.75,4.81,2.08,4.31,,,,,120,70,,82,0,0,0,0
-1252,3,62,9/1/2020,86,16.36,5.34,6.50,0.50,4.75,,,,,109,75,,71,0,0,0,0
-1301,2,62,9/1/2020,93,17.21,5.25,7.00,0.00,5.11,,,,,114,81,0,85,0,0,0,0
-1275,2,66,8/28/2020,100,16.67,5.25,6.50,0.50,5.01,,,,,134,78,,91,0,0,0,0
-1342,1,71,8/23/2020,96,11.43,3.57,3.67,2.15,4.63,,,,,119,84,,80,0,0,0,0
-1283,2,77,8/17/2020,105,8.68,2.86,2.04,3.20,4.02,,,,,144,78,,85,0,0,0,0
-1234,3,78,8/16/2020,101,14.62,4.61,5.87,0.67,4.31,,,,,134,82,,87,0,0,0,0
-1295,2,87,8/7/2020,90,15.77,4.86,6.27,0.60,4.83,,,,,121,71,,81,0,0,0,0
-1339,1,87,8/7/2020,89,15.15,4.29,6.19,0.00,4.65,,,,,123,68,0,85,0,0,0,0
-1343,1,88,8/6/2020,113,12.27,3.57,4.50,2.13,4.46,,,,,138,106,,92,0,0,0,0
-1287,2,98,7/27/2020,106,13.23,4.50,4.50,2.36,4.45,,,,,126,101,,86,0,0,0,0
