Official Reg. No. (ORN),Lactation Number,Days In Milk,Last Calving Date,Concentrates Cons. % Yest,Concentrates Ration Yesterday,Giva {Feed1},Giva {Feed2},Giva {Feed3},Giva {Feed4},Giva {Feed5},Giva {Feed6},Giva {Feed7},Giva {Feed8},% konsumerat igår {Feed1},% konsumerat igår {Feed2},% konsumerat igår {Feed3},% konsumerat igår {Feed4},% konsumerat igår {Feed5},% konsumerat igår {Feed6},% konsumerat igår {Feed7},% konsumerat igår {Feed8}
128,4,3,10/30/2020,20,3.0,0.86,1.3,1.9,2.2,,,,,,9,,22,0,0,0,0
24,4,5,10/28/2020,94,5.91,1.5,1.6,1.5,3.71,,,,,89.0,91,,75,0,0,0,0
28,4,5,10/28/2020,102,6.65,1.5,2.59,1.76,3.21,,,,,125.0,88,,82,0,0,0,0
100,1,11,10/22/2020,68,7.26,2.22,2.63,1.71,2.49,,,,,60.0,68,,75,0,0,0,0
103,1,13,10/20/2020,84,8.67,3.04,2.66,1.71,2.92,,,,,107.0,61,,83,0,0,0,0
42,3,14,10/19/2020,93,9.62,3.15,3.21,1.71,3.09,,,,,120.0,72,,94,0,0,0,0
9,4,15,10/18/2020,101,11.21,2.99,4.57,1.43,4.08,,,,,142.0,75,,89,0,0,0,0
27,4,15,10/18/2020,103,11.67,3.59,4.3,1.5,3.96,,,,,118.0,100,,87,0,0,0,0
98,1,23,10/10/2020,96,8.28,1.43,4.51,1.43,2.63,,,,,138.0,77,,97,0,0,0,0
25,4,24,10/9/2020,100,8.64,3.2,4.6,2.0,1.48,,,,,121.0,89,,45,0,0,0,0
99,1,25,10/8/2020,110,8.15,1.43,3.43,1.43,3.45,,,,,145.0,106,,94,0,0,0,0
77,2,40,9/23/2020,99,8.79,0.0,5.58,0.0,3.7,,,,,0.0,94,0.0,94,0,0,0,0
97,1,40,9/23/2020,100,8.5,0.5,5.17,0.0,3.3,,,,,193.0,84,0.0,95,0,0,0,0
0,7,41,9/22/2020,103,13.55,3.57,6.11,1.51,3.92,,,,,131.0,95,,88,0,0,0,0
75,2,42,9/21/2020,90,8.97,0.0,5.51,0.0,4.06,,,,,0.0,86,0.0,81,0,0,0,0
63,2,45,9/18/2020,74,6.64,0.0,4.3,0.46,2.58,,,,,0.0,78,,61,0,0,0,0
92,1,49,9/14/2020,87,10.43,1.79,4.95,0.0,4.27,,,,,96.0,84,0.0,75,0,0,0,0
96,1,49,9/14/2020,93,8.39,0.71,4.44,0.0,3.77,,,,,95.0,89,0.0,84,0,0,0,0
95,1,53,9/10/2020,108,15.67,4.5,6.5,0.0,4.84,,,,,134.0,97,0.0,93,0,0,0,0
43,3,58,9/5/2020,109,15.29,4.5,6.5,0.52,4.57,,,,,113.0,118,,85,0,0,0,0
6,5,59,9/4/2020,91,13.62,3.24,6.42,0.0,4.43,,,,,118.0,76,0.0,84,0,0,0,0
44,3,59,9/4/2020,91,12.56,3.75,4.81,2.08,4.31,,,,,120.0,70,,82,0,0,0,0
47,3,62,9/1/2020,86,16.36,5.34,6.5,0.5,4.75,,,,,109.0,75,,71,0,0,0,0
74,2,62,9/1/2020,93,17.21,5.25,7.0,0.0,5.11,,,,,114.0,81,0.0,85,0,0,0,0
60,2,66,8/28/2020,100,16.67,5.25,6.5,0.5,5.01,,,,,134.0,78,,91,0,0,0,0
93,1,71,8/23/2020,96,11.43,3.57,3.67,2.15,4.63,,,,,119.0,84,,80,0,0,0,0
64,2,77,8/17/2020,105,8.68,2.86,2.04,3.2,4.02,,,,,144.0,78,,85,0,0,0,0
36,3,78,8/16/2020,101,14.62,4.61,5.87,0.67,4.31,,,,,134.0,82,,87,0,0,0,0
69,2,87,8/7/2020,90,15.77,4.86,6.27,0.6,4.83,,,,,121.0,71,,81,0,0,0,0
91,1,87,8/7/2020,89,15.15,4.29,6.19,0.0,4.65,,,,,123.0,68,0.0,85,0,0,0,0
94,1,88,8/6/2020,113,12.27,3.57,4.5,2.13,4.46,,,,,138.0,106,,92,0,0,0,0
66,2,98,7/27/2020,106,13.23,4.5,4.5,2.36,4.45,,,,,126.0,101,,86,0,0,0,0
1,8,101,7/24/2020,99,11.1,4.28,2.8,2.64,4.41,,,,,116.0,87,,82,0,0,0,0
13,4,101,7/24/2020,100,11.78,3.75,4.22,3.13,3.94,,,,,104.0,108,,83,0,0,0,0
15,4,105,7/20/2020,110,15.85,5.25,6.5,1.96,3.94,,,,,110.0,125,,88,0,0,0,0
20,4,106,7/19/2020,98,16.5,5.78,6.5,0.0,4.03,,,,,122.0,87,0.0,85,0,0,0,0
41,3,107,7/18/2020,74,7.45,3.0,1.04,3.62,3.42,,,,,90.0,36,,70,0,0,0,0
2,6,109,7/16/2020,91,16.88,5.43,6.5,0.5,4.58,,,,,132.0,67,,85,0,0,0,0
5,4,109,7/16/2020,98,14.95,4.5,6.57,2.38,3.83,,,,,130.0,88,,80,0,0,0,0
65,2,111,7/14/2020,101,16.63,5.25,6.46,0.0,4.67,,,,,117.0,96,0.0,94,0,0,0,0
40,3,113,7/12/2020,80,15.65,5.25,6.5,0.29,3.55,,,,,98.0,71,,77,0,0,0,0
58,2,113,7/12/2020,109,14.93,5.48,5.06,1.56,4.53,,,,,125.0,110,,85,0,0,0,0
19,4,116,7/9/2020,101,16.66,5.96,6.5,1.0,3.93,,,,,117.0,98,,87,0,0,0,0
14,4,117,7/8/2020,107,16.34,5.66,6.5,1.0,3.99,,,,,130.0,103,,89,0,0,0,0
70,2,118,7/7/2020,72,11.77,4.5,3.5,2.48,3.54,,,,,103.0,28,,82,0,0,0,0
34,3,119,7/6/2020,93,16.72,5.25,6.5,1.0,4.71,,,,,102.0,93,,87,0,0,0,0
35,3,126,6/29/2020,85,11.62,2.03,5.52,0.0,4.0,,,,,93.0,87,0.0,79,0,0,0,0
3,6,127,6/28/2020,85,14.18,4.5,5.42,2.0,3.44,,,,,137.0,46,,99,0,0,0,0
21,3,129,6/26/2020,95,13.45,3.26,6.5,0.0,3.79,,,,,111.0,90,0.0,88,0,0,0,0
7,5,131,6/24/2020,96,9.65,5.25,0.58,0.48,3.48,,,,,113.0,42,,90,0,0,0,0
123,4,141,6/14/2020,89,15.63,4.5,7.0,0.0,4.25,,,,,106.0,85,0.0,73,0,0,0,0
118,4,148,6/7/2020,85,14.01,3.57,6.5,0.0,3.95,,,,,111.0,75,0.0,79,0,0,0,0
62,2,161,5/25/2020,83,5.65,0.0,5.37,0.49,0.0,,,,,0.0,88,,0,0,0,0,0
178,6,166,5/20/2020,99,13.44,3.38,6.0,0.0,4.0,,,,,104.0,105,0.0,87,0,0,0,0
26,3,166,5/20/2020,104,9.89,3.75,2.5,2.36,3.5,,,,,125.0,90,,95,0,0,0,0
54,2,183,5/3/2020,106,14.0,3.75,6.5,0.0,3.74,,,,,136.0,93,0.0,97,0,0,0,0
61,2,183,5/3/2020,96,14.5,4.05,6.5,0.0,4.04,,,,,120.0,86,0.0,85,0,0,0,0
86,1,186,4/30/2020,94,6.82,2.14,2.08,3.31,2.91,,,,,106.0,81,,84,0,0,0,0
38,3,192,4/24/2020,101,10.72,3.0,4.18,0.94,3.72,,,,,120.0,92,,90,0,0,0,0
59,2,197,4/19/2020,90,12.62,2.43,6.5,0.0,3.92,,,,,140.0,68,0.0,90,0,0,0,0
88,1,197,4/19/2020,102,5.11,1.43,1.44,2.44,2.18,,,,,119.0,82,,106,0,0,0,0
37,3,208,4/8/2020,95,9.66,2.36,3.73,2.12,3.81,,,,,109.0,93,,82,0,0,0,0
11,4,210,4/6/2020,80,4.27,0.99,0.55,4.25,2.68,,,,,90.0,38,,86,0,0,0,0
68,1,217,3/30/2020,99,9.29,3.57,1.85,3.3,3.86,,,,,126.0,79,,84,0,0,0,0
89,1,217,3/30/2020,77,12.65,2.86,6.0,0.0,3.86,,,,,107.0,61,0.0,79,0,0,0,0
55,2,231,3/16/2020,99,11.48,2.39,5.57,1.43,3.67,,,,,133.0,85,,95,0,0,0,0
30,3,237,3/10/2020,74,10.04,3.0,3.57,2.31,3.51,,,,,74.0,79,,68,0,0,0,0
84,1,238,3/9/2020,121,1.41,0.0,1.41,0.99,0.0,,,,,0.0,121,,0,0,0,0,0
56,2,243,3/4/2020,95,7.22,2.14,1.53,3.88,3.75,,,,,118.0,70,,87,0,0,0,0
179,5,250,2/26/2020,98,6.79,2.14,1.43,4.5,3.0,,,,,111.0,90,,100,0,0,0,0
82,1,257,2/19/2020,98,6.3,1.64,1.52,4.4,3.13,,,,,126.0,74,,95,0,0,0,0
83,1,261,2/15/2020,32,8.57,2.86,2.57,3.43,3.86,,,,,3.0,36,,44,0,0,0,0
29,3,264,2/12/2020,100,8.25,3.89,0.96,3.94,3.22,,,,,121.0,60,,93,0,0,0,0
4,4,268,2/8/2020,101,6.27,2.4,0.58,3.7,3.57,,,,,134.0,39,,82,0,0,0,0
85,1,276,1/31/2020,99,4.57,1.43,0.0,2.82,2.71,,,,,106.0,0,,112,0,0,0,0
52,2,278,1/29/2020,80,6.59,2.14,0.6,3.56,3.84,,,,,113.0,29,,70,0,0,0,0
10,4,279,1/28/2020,81,6.33,1.23,1.86,2.49,3.86,,,,,99.0,61,,71,0,0,0,0
78,1,279,1/28/2020,91,12.98,2.25,6.5,0.0,4.37,,,,,120.0,76,0.0,96,0,0,0,0
87,1,279,1/28/2020,91,1.27,0.0,1.12,0.0,0.08,,,,,0.0,100,0.0,44,0,0,0,0
53,2,283,1/24/2020,297,0.13,0.0,0.0,0.5,0.0,,,,,0.0,0,,0,0,0,0,0
32,3,288,1/19/2020,50,0.22,0.0,0.0,0.5,0.0,,,,,0.0,0,,0,0,0,0,0
31,3,289,1/18/2020,91,6.71,2.5,0.78,3.8,3.47,,,,,123.0,49,,77,0,0,0,0
71,1,297,1/10/2020,94,10.11,3.0,3.6,2.13,3.62,,,,,109.0,87,,85,0,0,0,0
80,1,297,1/10/2020,91,8.29,2.14,2.57,4.13,3.86,,,,,134.0,50,,89,0,0,0,0
12,4,301,1/6/2020,105,4.07,0.44,1.99,0.0,1.75,,,,,,116,0.0,113,0,0,0,0
57,2,301,1/6/2020,81,7.22,1.43,3.25,0.0,3.08,,,,,129.0,46,0.0,81,0,0,0,0
46,2,310,12/28/2019,124,1.12,0.0,0.99,0.97,0.0,,,,,0.0,139,,0,0,0,0,0
22,3,325,12/13/2019,86,1.93,0.0,0.55,4.0,1.88,,,,,0.0,43,,76,0,0,0,0
16,3,327,12/11/2019,88,3.68,0.75,0.0,3.0,2.6,,,,,112.0,0,,92,0,0,0,0
79,1,330,12/8/2019,102,7.77,1.71,2.57,4.29,3.86,,,,,128.0,91,,88,0,0,0,0
8,4,334,12/4/2019,46,0.25,0.0,0.5,5.76,0.0,,,,,0.0,23,,0,0,0,0,0
18,3,338,11/30/2019,93,1.05,0.0,0.95,1.26,0.0,,,,,0.0,102,,0,0,0,0,0
23,3,346,11/22/2019,104,8.44,3.75,0.95,3.36,3.82,,,,,131.0,63,,87,0,0,0,0
39,2,354,11/14/2019,105,5.24,1.43,0.6,3.77,3.44,,,,,142.0,47,,93,0,0,0,0
49,2,366,11/2/2019,45,0.55,0.0,0.34,0.0,0.2,,,,,0.0,64,0.0,17,0,0,0,0
