Main;;;;;;;Main;;;;;AMD, Avvikande mjölk, Status;;Medelflöden (kg/min);;;;Blod (ppm);;;;Konduktivitet (mS/cm);;;;Diverse;;;Toppflöden (kg/min);;;;Mjölkmängder (kg);;;
Starttid;Djurnr;Grupp;MS/MP;Åtgärd;Mjölkningstid (mm:ss);Mjölkmängd (kg);Mjölkningsnummer;OCC(*1000 celler/ml);Avspark;Ofullständig;Spenar hittas ej;Juver;Spene;VF;HF;VB;HB;VF;HF;VB;HB;VF;HF;VB;HB;Användare;Mjölkdestination;Orsak till mjölkavskiljning;VF;HF;VB;HB;VF;HF;VB;HB
2020-11-12 00:00;19;VMS 1;VMS2;Mjölkning;08:56;14,96;1;140;;;;0;;0,78;0,96;0,84;0,72;0;0;0;0;4,46;4,83;4,56;4,31;;Mjölktank;;1,14;1,32;1,20;1,14;2,93;3,36;3,79;4,88
2020-11-12 00:02;20;VMS 1;VMS 1;Mjölkning;08:59;11,18;1;642;;;;1;VB;;1,08;0,90;0,90;;0;0;0;;4,60;5,14;4,05;;Mjölktank;;;1,62;1,32;1,56;;3,14;3,26;4,78
2020-11-12 00:12;47;VMS 1;VMS 1;Mjölkning;05:51;9,80;1;314;;;;0;;0,84;;0,96;1,02;0;;0;0;4,16;;3,93;3,92;;Mjölktank;;1,14;;1,44;1,50;2,31;;3,75;3,74
2020-11-12 00:18;37;VMS 1;VMS2;Mjölkning;05:36;13,02;1;194;;;;0;;0,84;0,90;1,20;1,32;0;0;0;0;4,86;4,89;5,17;5,25;;Divert 1;;1,14;1,26;1,62;1,80;1,96;2,22;4,39;4,45
2020-11-12 00:18;38;VMS 1;VMS 1;Mjölkning;07:13;15,10;1;40;;;;0;;1,02;;1,20;1,14;0;;0;0;4,43;;4,33;4,19;;Mjölktank;;1,38;;1,62;1,56;2,54;;6,29;6,27
2020-11-12 00:24;69;VMS 1;VMS2;Mjölkning;04:37;9,99;1;108;;;;0;;1,08;1,02;1,14;1,08;0;0;0;0;4,06;4,15;4,02;4,11;;Mjölktank;;1,44;1,32;1,50;1,44;2,64;2,19;2,40;2,76
2020-11-12 00:27;9;VMS 1;VMS 1;Mjölkning;05:36;11,99;1;22;;;;0;;1,02;0,96;0,96;0,96;0;0;0;0;4,23;4,19;4,26;4,33;;Mjölktank;;1,44;1,32;1,26;1,38;2,61;2,41;3,30;3,67
2020-11-12 00:30;79;VMS 1;VMS2;Mjölkning;05:44;16,31;1;94;;;;0;;1,44;1,26;1,38;1,26;0;0;0;0;4,60;4,55;4,49;4,24;;Mjölktank;;1,86;1,68;1,80;1,86;4,19;3,62;3,83;4,67
2020-11-12 00:34;93;VMS 1;VMS 1;Mjölkning;05:01;8,25;1;31;;;;0;;0,66;0,78;0,96;0,84;0;0;0;0;4,30;4,39;4,33;4,26;;Mjölktank;;0,96;1,08;1,26;1,32;1,69;1,70;2,42;2,44
2020-11-12 00:40;75;VMS 1;VMS2;Mjölkning;05:31;9,41;1;20;;;;0;;0,48;0,72;0,84;0,84;0;0;0;0;3,79;4,02;4,03;4,05;;Mjölktank;;0,78;1,02;1,14;1,26;1,45;1,83;2,98;3,15
2020-11-12 00:45;26;VMS 1;VMS 1;Mjölkning;05:00;12,20;1;114;;;;0;;1,56;1,50;1,56;;0;0;0;;4,63;4,66;4,87;;;Mjölktank;;2,52;1,98;2,40;;4,52;2,97;4,71;
2020-11-12 00:50;56;VMS 1;VMS2;Mjölkning;04:44;9,40;1;20;;;;0;;1,08;1,26;0,90;1,08;0;0;0;0;4,66;4,62;4,69;5,05;;Mjölktank;;1,44;1,62;1,20;1,38;1,84;2,58;2,56;2,42
2020-11-12 01:02;23;VMS 1;VMS 1;Mjölkning;07:03;11,27;1;277;;;;0;;0,84;0,84;0,66;0,84;0;0;0;0;4,70;4,59;4,66;3,86;;Mjölktank;;1,14;1,26;1,08;1,14;1,97;2,71;3,01;3,58
2020-11-12 01:03;61;VMS 1;VMS2;Mjölkning;09:06;14,30;1;42;;;;0;;0,90;0,84;0,90;0,78;0;0;0;0;4,67;4,62;4,49;4,64;;Mjölktank;;1,20;1,26;1,32;1,26;3,13;3,46;3,52;4,19
2020-11-12 01:10;92;VMS 1;VMS 1;Mjölkning;04:17;8,72;1;;;;;0;;0,84;0,90;1,26;1,02;0;0;0;0;4,56;4,66;4,59;4,54;;Mjölktank;;1,14;1,26;1,68;1,44;1,70;1,76;2,73;2,53
2020-11-12 01:13;10;VMS 1;VMS2;Mjölkning;06:57;11,67;1;91;;;;0;;;1,08;1,32;1,26;;334;0;626;;4,09;4,16;4,31;;Mjölktank;;;1,62;1,86;1,68;;4,03;2,77;4,87
2020-11-12 01:20;11;VMS 1;VMS2;Mjölkning;05:48;9,60;1;34;;;;1;VF;0,30;1,32;1,02;1,08;0;0;0;0;5,80;4,76;5,10;4,91;;Divert 2;;0,54;1,80;1,44;1,56;0,57;3,52;1,62;3,89
2020-11-12 01:23;94;VMS 1;VMS 1;Mjölkning;04:47;8,42;1;34;;;;0;;0,90;0,90;1,02;1,20;0;0;0;0;4,56;4,73;4,59;4,54;;Mjölktank;;1,26;1,20;1,32;1,74;2,20;1,93;2,09;2,20
2020-11-12 01:27;15;VMS 1;VMS2;Mjölkning;11:42;18,35;1;34;;;;0;;0,90;1,08;0,54;0,60;0;0;0;0;4,52;4,63;4,43;4,58;;Mjölktank;;1,32;1,62;0,90;1,08;4,47;4,36;4,70;4,82
2020-11-12 01:30;0;VMS 1;VMS 1;Mjölkning;09:57;9,84;1;214;;;HB;0;;0,66;0,78;0,84;0,00;0;0;0;0;4,56;4,79;4,66;0,00;;Mjölktank;;0,96;1,08;1,20;0,00;3,14;3,04;3,66;0,00
