Main;;;;;;;Main;;;;;AMD, Avvikande mjölk, Status;;Medelflöden (kg/min);;;;Blod (ppm);;;;Konduktivitet (mS/cm);;;;Diverse;;;Toppflöden (kg/min);;;;Mjölkmängder (kg);;;
Starttid;Djurnr;Grupp;MS/MP;Åtgärd;Mjölkningstid (mm:ss);Mjölkmängd (kg);Mjölkningsnummer;OCC(*1000 celler/ml);Avspark;Ofullständig;Spenar hittas ej;Juver;Spene;VF;HF;VB;HB;VF;HF;VB;HB;VF;HF;VB;HB;Användare;Mjölkdestination;Orsak till mjölkavskiljning;VF;HF;VB;HB;VF;HF;VB;HB
2020-11-09 00:06;57;VMS 1;VMS2;Mjölkning;08:22;8,80;1;;;;VB;0;HB;1,20;1,32;0,30;0,78;0;0;0;0;4,19;4,39;2,21;5,04;;Mjölktank;;1,92;1,68;0,72;1,26;3,03;4,72;0,19;0,86
2020-11-09 00:10;5;VMS 1;VMS 1;Mjölkning;07:02;3,32;1;;;;;1;VB;0,30;0,30;0,60;0,36;0;0;0;0;4,29;3,97;5,97;3,78;;Mjölktank;;1,02;0,84;1,32;0,96;0,30;0,33;2,30;0,39
2020-11-09 00:17;34;VMS 1;VMS2;Mjölkning;04:53;11,04;1;;;;;0;;1,50;1,44;1,44;1,44;0;0;0;0;4,67;4,66;4,54;4,63;;Mjölktank;;2,10;2,16;2,04;1,98;2,55;2,97;2,98;2,54
2020-11-09 00:18;3;VMS 1;VMS 1;Mjölkning;08:32;10,37;1;1685;;VB;VB;0;;;1,26;0,00;0,90;;0;0;0;;4,32;0,00;3,60;;Divert 2;;;1,62;0,00;1,56;;5,14;0,00;5,23
2020-11-09 00:23;103;VMS 1;VMS2;Mjölkning;07:34;9,57;1;;;;;0;;0,60;0,54;0,60;0,54;0;0;0;0;4,33;4,32;4,36;4,34;;Mjölktank;;0,96;0,90;0,96;0,90;2,16;2,40;2,36;2,65
2020-11-09 00:30;25;VMS 1;VMS 1;Mjölkning;07:17;15,95;1;416;;;;0;;1,26;;1,08;1,38;0;;0;0;4,63;;4,72;5,22;;Mjölktank;;1,74;;1,44;1,92;3,81;;5,80;6,34
2020-11-09 00:31;62;VMS 1;VMS2;Mjölkning;05:39;8,72;1;;;;;0;;;0,78;1,14;1,20;;0;0;0;;4,05;4,07;4,09;;Mjölktank;;;1,20;1,86;1,98;;2,27;3,13;3,32
2020-11-09 00:38;92;VMS 1;VMS 1;Mjölkning;04:56;11,06;1;;;;;0;;0,84;1,14;1,20;1,02;0;0;0;0;4,50;4,59;4,66;4,61;;Mjölktank;;1,20;1,56;1,56;1,50;2,07;2,26;3,55;3,18
2020-11-09 00:44;94;VMS 1;VMS 1;Mjölkning;04:21;8,95;1;25;;;;0;;1,02;1,08;1,14;1,20;0;0;0;0;4,77;4,86;4,86;4,68;;Mjölktank;;1,38;1,50;1,50;1,86;2,35;2,06;2,20;2,34
2020-11-09 00:45;100;VMS 1;VMS2;Mjölkning;06:24;5,55;1;;;;;0;;;0,72;0,78;0,60;;0;0;0;;4,53;4,41;4,43;;Mjölktank;;;1,02;1,26;0,96;;1,40;2,44;1,71
2020-11-09 00:49;87;VMS 1;VMS 1;Mjölkning;03:49;6,01;1;91;;;;0;;1,62;1,50;1,38;1,20;447;0;0;0;4,43;4,32;4,25;4,41;;Mjölktank;;2,34;1,98;1,98;1,86;1,55;1,75;1,57;1,14
2020-11-09 00:52;54;VMS 1;VMS2;Mjölkning;06:12;12,42;1;;;;;0;;0,96;0,78;1,26;1,38;0;0;0;0;4,53;4,52;4,68;4,43;;Mjölktank;;1,38;1,20;1,92;1,98;2,25;2,31;3,70;4,16
2020-11-09 00:54;20;VMS 1;VMS 1;Mjölkning;07:56;11,73;1;208;;;;0;;;1,02;1,02;0,84;;0;0;0;;4,72;5,13;4,68;;Mjölktank;;;1,44;1,50;1,26;;3,58;3,73;4,42
2020-11-09 01:00;58;VMS 1;VMS2;Mjölkning;04:25;10,81;1;;;;;1;VB;1,86;1,32;0,36;1,74;0;0;0;0;5,26;4,86;5,70;4,47;;Divert 1;;2,40;1,80;0,90;2,34;3,39;2,67;0,78;3,97
2020-11-09 01:04;91;VMS 1;VMS 1;Mjölkning;04:37;9,65;1;140;;;;0;;1,26;1,20;1,02;1,08;0;0;0;0;4,63;4,72;4,59;4,68;;Mjölktank;;1,92;1,62;1,44;1,50;2,60;2,31;2,31;2,43
2020-11-09 01:08;88;VMS 1;VMS2;Mjölkning;06:37;13,11;1;;;;;0;;0,84;0,66;0,90;0,84;0;0;0;0;4,52;4,53;4,48;4,49;;Mjölktank;;1,14;1,08;1,26;1,26;2,75;2,99;3,85;3,52
2020-11-09 01:10;91;VMS 1;VMS 1;Avvisad;00:07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-11-09 01:10;91;VMS 1;VMS 1;Avvisad;00:34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-11-09 01:11;64;VMS 1;VMS 1;Mjölkning;05:12;10,15;1;37;;;;0;;0,90;1,20;;1,20;0;0;;0;4,16;4,92;;4,88;;Mjölktank;;1,38;1,56;;1,74;3,16;3,35;;3,64
2020-11-09 01:17;89;VMS 1;VMS 1;Mjölkning;05:42;7,98;1;22;;;;0;;0,96;0,72;0,84;0,90;0;0;0;0;4,78;4,72;4,75;4,72;;Mjölktank;;1,26;1,08;1,14;1,20;1,72;1,82;2,14;2,30
2020-11-09 01:22;177;VMS 1;VMS2;Mjölkning;05:02;10,69;1;;;;;0;;1,26;1,14;0,84;0,84;0;0;0;0;3,72;4,06;3,68;3,62;;Mjölktank;;1,68;1,56;1,32;1,26;2,67;3,05;2,49;2,48
2020-11-09 01:24;39;VMS 1;VMS 1;Mjölkning;06:57;8,65;1;108;;;;0;;0,36;0,66;0,90;0,66;0;0;0;0;4,24;4,58;4,32;4,34;;Mjölktank;;0,60;1,08;1,26;1,08;0,49;1,49;3,61;3,06
2020-11-09 01:35;95;VMS 1;VMS 1;Mjölkning;05:32;10,19;1;45;;;;0;;0,96;0,96;0,96;0,84;0;0;0;0;4,17;4,11;4,12;4,01;;Mjölktank;;1,38;1,44;1,38;1,32;2,30;2,32;2,79;2,78
2020-11-09 01:35;28;VMS 1;VMS2;Mjölkning;10:57;11,46;1;;;;;0;;0,48;0,54;0,42;0,48;0;0;0;0;4,19;4,32;4,22;4,15;;Mjölktank;;0,84;0,96;0,78;0,78;2,79;2,75;3,11;2,81
2020-11-09 01:45;42;VMS 1;VMS 1;Mjölkning;04:56;6,41;1;51;;;;0;;0,84;0,60;0,54;0,60;439;0;0;376;4,17;4,25;4,25;4,15;;Mjölktank;;1,32;1,02;0,90;1,02;1,71;1,40;1,40;1,90
2020-11-09 01:47;69;VMS 1;VMS2;Mjölkning;04:40;10,30;1;;;;;0;;1,14;1,14;1,14;1,20;0;0;0;0;4,06;4,12;3,95;4,02;;Mjölktank;;1,44;1,56;1,50;1,56;2,79;2,12;2,49;2,90
2020-11-09 01:55;43;VMS 1;VMS 1;Mjölkning;07:46;13,60;1;88;;;;0;;0,90;0,78;1,14;0,90;0;0;0;0;4,51;4,58;4,79;4,95;;Mjölktank;;1,26;1,14;1,50;1,26;2,38;2,67;4,53;4,02
2020-11-09 01:55;61;VMS 1;VMS2;Mjölkning;13:14;11,90;1;;;;;0;;0,96;0,90;0,84;0,72;0;0;0;0;4,66;4,92;4,69;4,76;;Mjölktank;;1,62;1,26;1,26;1,08;2,59;2,76;2,88;3,67
