Official Reg. No. (ORN),Lactation Number,Days In Milk,Last Calving Date,Concentrates Cons. % Yest,Concentrates Ration Yesterday,Giva {Feed1},Giva {Feed2},Giva {Feed3},Giva {Feed4},Giva {Feed5},Giva {Feed6},Giva {Feed7},Giva {Feed8},% konsumerat igår {Feed1},% konsumerat igår {Feed2},% konsumerat igår {Feed3},% konsumerat igår {Feed4},% konsumerat igår {Feed5},% konsumerat igår {Feed6},% konsumerat igår {Feed7},% konsumerat igår {Feed8}
48,3,2,11/4/2020,67,3.0,0.75,1.29,1.88,2.24,,,,,,45,,64,0,0,0,0
128,4,7,10/30/2020,90,5.0,0.5,2.5,1.5,3.0,,,,,,79,,84,0,0,0,0
24,4,9,10/28/2020,93,9.78,0.88,2.8,0.5,7.14,,,,,107.0,77,,83,0,0,0,0
28,4,9,10/28/2020,96,9.5,0.88,3.76,1.29,5.63,,,,,135.0,78,,89,0,0,0,0
100,1,15,10/22/2020,78,8.12,1.24,3.75,1.14,3.47,,,,,96.0,63,,80,0,0,0,0
103,1,17,10/20/2020,97,8.84,1.82,3.77,1.14,3.37,,,,,120.0,88,,92,0,0,0,0
42,3,18,10/19/2020,89,9.44,1.84,4.42,1.14,3.26,,,,,115.0,78,,88,0,0,0,0
9,4,19,10/18/2020,102,13.65,1.67,6.51,0.29,6.25,,,,,124.0,95,,91,0,0,0,0
27,4,19,10/18/2020,108,12.99,2.09,5.5,0.5,5.88,,,,,129.0,101,,98,0,0,0,0
98,1,27,10/10/2020,81,9.76,0.8,5.54,0.29,3.88,,,,,127.0,53,,104,0,0,0,0
25,4,28,10/9/2020,90,11.43,1.96,5.8,2.0,4.43,,,,,120.0,76,,79,0,0,0,0
99,1,29,10/8/2020,105,9.11,0.8,2.29,0.29,6.35,,,,,144.0,108,,94,0,0,0,0
77,2,44,9/23/2020,92,10.76,0.0,6.15,0.0,5.1,,,,,0.0,90,0.0,86,0,0,0,0
97,1,44,9/23/2020,74,9.83,0.0,5.17,0.0,5.11,,,,,0.0,59,0.0,82,0,0,0,0
0,7,45,9/22/2020,103,14.59,2.0,7.0,2.7,5.76,,,,,105.0,111,,89,0,0,0,0
75,2,46,9/21/2020,103,10.92,0.0,5.51,0.0,5.86,,,,,0.0,102,0.0,97,0,0,0,0
63,2,49,9/18/2020,67,7.59,0.0,4.3,1.38,3.53,,,,,0.0,62,,69,0,0,0,0
92,1,53,9/14/2020,88,13.13,1.0,6.12,0.0,6.8,,,,,119.0,67,0.0,92,0,0,0,0
96,1,53,9/14/2020,89,10.7,0.4,5.32,0.0,5.31,,,,,84.0,80,0.0,93,0,0,0,0
95,1,57,9/10/2020,102,16.84,2.63,7.0,0.0,7.51,,,,,126.0,93,0.0,97,0,0,0,0
