Main;;;;;;;Main;;;;;AMD, Avvikande mjölk, Status;;Medelflöden (kg/min);;;;Blod (ppm);;;;Konduktivitet (mS/cm);;;;Diverse;;;Toppflöden (kg/min);;;;Mjölkmängder (kg);;;
Starttid;Djurnr;Grupp;MS/MP;Åtgärd;Mjölkningstid (mm:ss);Mjölkmängd (kg);Mjölkningsnummer;OCC(*1000 celler/ml);Avspark;Ofullständig;Spenar hittas ej;Juver;Spene;VF;HF;VB;HB;VF;HF;VB;HB;VF;HF;VB;HB;Användare;Mjölkdestination;Orsak till mjölkavskiljning;VF;HF;VB;HB;VF;HF;VB;HB
2020-11-05 00:02;54;VMS 1;VMS2;Mjölkning;05:45;9,29;1;57;;;;0;;0,60;0,48;1,02;1,14;0;0;0;0;4,24;4,12;4,29;4,16;;Mjölktank;;1,08;0,78;1,68;1,74;1,87;1,51;2,76;3,15
2020-11-05 00:12;20;VMS 1;VMS 1;Mjölkning;06:18;13,53;1;314;;;;0;;;1,14;1,08;1,08;;0;0;0;;4,85;5,38;5,04;;Mjölktank;;;1,74;1,56;1,56;;4,50;3,81;5,22
2020-11-05 00:13;78;VMS 1;VMS2;Mjölkning;04:15;8,01;1;591;;;;0;;0,96;1,14;1,08;0,90;0;0;0;0;4,04;4,05;3,96;4,03;;Mjölktank;;1,32;1,56;1,50;1,32;1,94;2,29;2,04;1,74
2020-11-05 00:20;41;VMS 1;VMS 1;Mjölkning;07:50;15,59;1;145;;;;0;;0,60;0,66;1,08;0,96;0;0;0;0;5,51;5,05;5,50;5,17;;Mjölktank;;0,90;0,96;1,50;1,26;2,20;3,08;4,65;5,66
2020-11-05 00:21;179;VMS 1;VMS2;Mjölkning;06:27;8,58;1;360;;;;0;;0,42;0,90;0,48;0,72;0;0;0;0;5,92;5,86;5,90;5,51;;Mjölktank;;0,66;1,26;0,84;1,08;1,54;2,13;1,71;3,20
2020-11-05 00:28;98;VMS 1;VMS2;Mjölkning;04:04;10,89;1;174;;;;0;;1,14;1,20;1,38;1,56;0;0;0;0;4,51;4,65;4,56;4,50;;Mjölktank;;1,50;1,56;1,74;1,98;2,23;2,43;3,02;3,21
2020-11-05 00:29;118;VMS 1;VMS 1;Mjölkning;08:32;19,69;1;11;;;;0;;0,96;0,78;0,96;1,02;0;0;0;0;4,91;4,92;4,76;4,77;;Mjölktank;;1,38;1,26;1,32;1,44;4,08;3,11;6,31;6,19
2020-11-05 00:38;0;VMS 1;VMS2;Mjölkning;10:25;8,32;1;445;HF;HF;;0;VB;0,66;0,66;0,78;0,36;0;0;0;0;4,44;3,80;4,69;4,30;;Mjölktank;;1,02;1,38;1,32;0,60;3,23;0,38;3,85;0,86
2020-11-05 00:39;87;VMS 1;VMS 1;Mjölkning;06:31;6,01;1;11;;;;0;;1,62;1,02;1,44;1,50;330;0;0;0;4,44;4,25;4,10;4,30;;Mjölktank;;2,22;1,62;2,10;2,10;1,51;1,04;1,61;1,85
2020-11-05 00:50;79;VMS 1;VMS2;Mjölkning;05:59;12,93;1;160;;;;0;;1,38;1,26;1,38;1,26;0;0;0;0;4,17;4,34;4,35;4,37;;Mjölktank;;1,80;1,86;1,80;1,92;2,97;3,40;3,06;3,50
2020-11-05 00:54;43;VMS 1;VMS 1;Mjölkning;05:42;9,36;1;145;;;;0;;0,84;0,90;0,90;0,84;0;0;0;0;4,23;4,32;4,23;4,30;;Mjölktank;;1,08;1,20;1,26;1,14;1,70;1,93;3,12;2,61
2020-11-05 00:59;4;VMS 1;VMS2;Mjölkning;06:04;14,86;1;214;;;;0;;1,14;1,32;0,96;0,84;0;0;0;0;4,50;4,41;4,62;4,63;;Mjölktank;;1,50;1,80;1,44;1,44;3,77;4,42;3,32;3,35
2020-11-05 01:07;89;VMS 1;VMS 1;Mjölkning;07:07;15,98;1;114;;;;0;;1,02;0,90;0,96;0,96;0;0;0;0;4,63;4,65;4,64;4,64;;Mjölktank;;1,44;1,38;1,32;1,32;3,87;3,34;4,22;4,55
2020-11-05 01:20;92;VMS 1;VMS 1;Mjölkning;05:36;14,68;1;;;;;0;;0,90;0,96;1,26;1,20;0;0;0;0;4,63;4,65;4,64;4,64;;Mjölktank;;1,14;1,38;1,80;1,74;2,98;2,95;4,52;4,23
2020-11-05 01:20;8;VMS 1;VMS2;Mjölkning;05:59;9,17;1;108;;;;1;;0,48;0,84;0,84;0,90;366;0;0;437;4,44;5,08;5,35;4,90;;Mjölktank;;0,84;1,20;1,26;1,38;1,23;2,01;3,23;2,70
2020-11-05 01:26;80;VMS 1;VMS 1;Mjölkning;05:03;7,71;1;17;;;;0;;0,54;0,84;1,02;1,20;0;0;0;0;4,10;4,18;4,17;4,10;;Mjölktank;;0,90;1,20;1,56;1,68;1,53;1,45;2,16;2,57
2020-11-05 01:35;18;VMS 1;VMS 1;Mjölkning;06:22;7,70;1;22;;;;0;;0,78;0,54;0,60;0,36;0;0;0;0;4,10;4,25;4,03;3,84;;Mjölktank;;1,14;0,90;0,90;0,72;2,84;1,76;2,34;0,76
2020-11-05 01:43;46;VMS 1;VMS2;Mjölkning;05:27;3,70;1;;;;;1;VF;0,60;0,78;1,26;0,72;0;332;360;331;5,11;4,90;4,47;4,07;;Mjölktank;;0,90;1,32;1,56;1,20;0,56;0,87;1,84;0,43
2020-11-05 01:43;0;VMS 1;VMS 1;Mjölkning;09:02;4,01;2;;;;HB;0;HF;0,48;0,66;0,48;0,18;0;0;0;0;3,96;4,98;4,03;3,28;;Mjölktank;;1,20;0,96;1,14;0,48;0,33;2,79;0,74;0,15
2020-11-05 01:49;16;VMS 1;VMS2;Mjölkning;06:24;17,16;1;102;;;;1;;1,38;0,72;1,68;1,20;0;0;355;524;4,84;4,08;4,54;4,63;;Mjölktank;;1,86;1,44;2,22;1,98;4,72;0,82;6,26;5,36
2020-11-05 01:52;44;VMS 1;VMS 1;Mjölkning;05:31;12,06;1;;;;;0;;0,96;0,96;1,38;1,14;0;0;0;0;3,97;4,24;4,04;4,17;;Mjölktank;;1,32;1,26;1,86;1,56;2,91;2,69;3,13;3,33
2020-11-05 01:56;85;VMS 1;VMS2;Mjölkning;04:05;10,70;1;168;;;;0;;1,38;1,32;1,50;1,50;0;0;0;0;3,90;3,82;3,87;3,89;;Mjölktank;;2,10;2,04;1,98;2,16;2,00;1,85;3,36;3,49
2020-11-05 01:59;3;VMS 1;VMS 1;Mjölkning;12:28;3,86;1;;;VB,HB;VB,HB;0;;;0,96;0,00;0,00;;0;0;0;;4,30;0,00;0,00;;Divert 2;;;1,74;0,00;0,00;;3,86;0,00;0,00
2020-11-05 02:12;38;VMS 1;VMS2;Mjölkning;05:35;8,89;1;105;;;;0;;0,72;;1,08;1,02;0;;0;0;3,83;;4,07;4,02;;Mjölktank;;1,20;;1,44;1,50;1,56;;3,81;3,52
2020-11-05 02:14;47;VMS 1;VMS 1;Mjölkning;06:48;10,93;1;;;;;0;;0,90;;0,90;0,90;0;;0;0;4,17;;3,97;4,11;;Mjölktank;;1,26;;1,44;1,38;2,60;;4,45;3,88
2020-11-05 02:19;75;VMS 1;VMS2;Mjölkning;05:21;9,92;1;108;;;;0;;0,66;0,72;0,96;0,96;0;0;0;0;4,03;4,08;4,07;4,22;;Mjölktank;;1,02;1,02;1,38;1,50;1,57;1,92;3,03;3,40
2020-11-05 02:21;91;VMS 1;VMS 1;Mjölkning;04:06;7,61;1;;;;;0;;1,20;1,20;0,90;1,02;0;0;0;0;4,37;4,16;4,24;4,24;;Mjölktank;;1,62;1,62;1,32;1,50;2,03;1,90;1,80;1,88
2020-11-05 02:26;35;VMS 1;VMS2;Mjölkning;07:48;16,22;1;54;;;;1;;0,96;0,78;0,90;0,96;0;0;0;0;4,70;5,36;4,75;4,63;;Mjölktank;;1,32;1,20;1,32;1,32;3,75;2,94;4,40;5,13
2020-11-05 02:29;9;VMS 1;VMS 1;Mjölkning;04:49;10,43;1;31;;;;0;;1,08;0,96;1,02;1,02;0;0;0;0;4,44;4,43;4,38;4,58;;Mjölktank;;1,44;1,32;1,50;1,62;2,38;2,18;2,84;3,03
2020-11-05 02:37;7;VMS 1;VMS2;Mjölkning;04:44;9,00;1;122;;;;0;;1,02;0,84;1,26;1,50;0;0;0;0;4,10;4,14;4,14;4,29;;Mjölktank;;1,62;1,56;1,98;2,22;1,90;1,70;2,54;2,86
2020-11-05 02:43;14;VMS 1;VMS 1;Mjölkning;07:57;11,77;1;408;;;;0;;0,96;;1,26;1,32;0;;0;0;4,31;;4,58;4,44;;Mjölktank;;1,38;;1,74;1,74;3,16;;4,24;4,37
2020-11-05 02:44;93;VMS 1;VMS2;Mjölkning;05:31;8,32;1;277;;;;0;;0,72;0,84;0,96;0,96;0;0;0;0;4,11;4,21;4,08;4,22;;Mjölktank;;0,96;1,26;1,32;1,56;1,72;1,75;2,47;2,38
2020-11-05 02:52;19;VMS 1;VMS 1;Mjölkning;08:49;12,59;1;468;;;;0;;0,60;1,02;0,78;0,66;0;0;0;0;4,44;4,70;4,51;4,17;;Mjölktank;;1,08;1,38;1,20;0,96;2,48;2,78;3,48;3,85
2020-11-05 02:52;71;VMS 1;VMS2;Mjölkning;05:38;9,68;1;451;;;;0;;0,84;0,84;1,02;0,96;0;0;0;0;4,37;4,48;4,41;4,36;;Mjölktank;;1,14;1,20;1,38;1,44;1,78;1,95;2,93;3,02
2020-11-05 03:04;2;VMS 1;VMS2;Mjölkning;11:37;27,04;1;168;;;;0;;0,84;0,84;1,08;1,02;0;0;0;0;5,11;4,94;5,08;4,89;;Mjölktank;;1,08;1,26;1,50;1,38;4,70;6,11;9,34;6,89
2020-11-05 03:05;1;VMS 1;VMS 1;Mjölkning;13:23;6,14;1;280;;VB;;0;VF;0,90;0,72;0,18;0,54;0;0;0;0;4,71;4,49;3,37;4,51;;Mjölktank;;1,44;1,26;0,66;0,96;2,53;2,17;0,34;1,10
2020-11-05 03:16;59;VMS 1;VMS2;Mjölkning;05:05;11,44;1;80;;;;0;;1,14;1,02;1,32;1,08;0;0;0;0;4,10;4,34;4,21;4,23;;Mjölktank;;1,56;1,56;1,74;1,62;2,57;1,95;3,70;3,22
2020-11-05 03:18;5;VMS 1;VMS 1;Mjölkning;07:10;14,13;1;728;;;;1;HB;0,78;1,02;0,78;0,84;0;0;0;0;4,77;4,56;4,59;5,38;;Mjölktank;;1,20;1,38;1,14;1,32;3,27;3,78;3,87;3,21
