Official Reg. No. (ORN),Lactation Number,Days In Milk,Last Calving Date,Concentrates Cons. % Yest,Concentrates Ration Yesterday,Giva {Feed1},Giva {Feed2},Giva {Feed3},Giva {Feed4},Giva {Feed5},Giva {Feed6},Giva {Feed7},Giva {Feed8},% konsumerat igår {Feed1},% konsumerat igår {Feed2},% konsumerat igår {Feed3},% konsumerat igår {Feed4},% konsumerat igår {Feed5},% konsumerat igår {Feed6},% konsumerat igår {Feed7},% konsumerat igår {Feed8}
48,3,5,11/4/2020,112,4.59,0.25,2.18,1.53,2.94,,,,,,96,,103,0,0,0,0
128,4,10,10/30/2020,84,6.86,0.36,3.4,1.2,3.6,,,,,45.0,78,,82,0,0,0,0
24,4,12,10/28/2020,105,12.88,0.63,3.7,0.0,8.85,,,,,88.0,93,0.0,108,0,0,0,0
28,4,12,10/28/2020,96,11.82,0.63,4.65,0.94,6.84,,,,,112.0,84,,98,0,0,0,0
100,1,18,10/22/2020,83,8.91,0.89,4.6,0.71,3.71,,,,,74.0,81,,82,0,0,0,0
103,1,20,10/20/2020,80,9.23,1.3,4.61,0.71,3.71,,,,,92.0,69,,82,0,0,0,0
42,3,21,10/19/2020,97,9.69,1.31,5.33,0.71,3.35,,,,,84.0,101,,87,0,0,0,0
9,4,22,10/18/2020,93,14.98,1.19,7.0,0.0,6.79,,,,,103.0,87,0.0,98,0,0,0,0
27,4,22,10/18/2020,94,14.44,1.5,6.4,0.0,6.84,,,,,81.0,91,0.0,95,0,0,0,0
98,1,30,10/10/2020,68,10.56,0.57,5.8,0.0,4.19,,,,,110.0,42,0.0,99,0,0,0,0
25,4,31,10/9/2020,90,13.7,1.4,6.7,2.0,6.64,,,,,112.0,74,,87,0,0,0,0
99,1,32,10/8/2020,105,9.37,0.57,1.43,0.0,7.08,,,,,121.0,127,0.0,103,0,0,0,0
77,2,47,9/23/2020,83,12.23,0.0,6.58,0.0,6.15,,,,,0.0,82,0.0,78,0,0,0,0
97,1,47,9/23/2020,87,10.28,0.0,5.17,1.0,5.11,,,,,0.0,84,,91,0,0,0,0
0,7,48,9/22/2020,98,13.93,0.71,7.0,3.0,6.22,,,,,126.0,99,,93,0,0,0,0
75,2,49,9/21/2020,104,12.27,0.0,5.51,0.0,6.76,,,,,0.0,107,0.0,103,0,0,0,0
63,2,52,9/18/2020,64,8.3,0.0,4.3,1.84,4.0,,,,,0.0,64,,64,0,0,0,0
92,1,56,9/14/2020,78,14.85,0.71,7.0,0.0,7.43,,,,,94.0,39,0.0,110,0,0,0,0
96,1,56,9/14/2020,87,11.3,0.29,5.32,0.0,5.69,,,,,72.0,69,0.0,104,0,0,0,0
95,1,60,9/10/2020,97,17.72,1.88,7.0,0.0,8.84,,,,,115.0,81,0.0,106,0,0,0,0
43,3,65,9/5/2020,89,18.17,1.88,7.0,0.0,9.29,,,,,103.0,68,0.0,102,0,0,0,0
6,5,66,9/4/2020,90,17.06,1.35,7.0,0.0,8.71,,,,,120.0,59,0.0,111,0,0,0,0
44,3,66,9/4/2020,86,16.24,1.56,6.73,0.26,8.23,,,,,92.0,55,,108,0,0,0,0
47,3,69,9/1/2020,105,19.23,2.23,7.0,0.0,10.0,,,,,105.0,104,0.0,105,0,0,0,0
74,2,69,9/1/2020,90,18.87,2.19,7.0,0.0,9.68,,,,,115.0,59,0.0,106,0,0,0,0
60,2,73,8/28/2020,93,18.48,2.19,7.0,0.0,9.29,,,,,96.0,86,0.0,97,0,0,0,0
93,1,78,8/23/2020,101,15.79,1.43,6.0,0.65,8.69,,,,,102.0,92,,102,0,0,0,0
64,2,84,8/17/2020,84,11.56,1.14,4.13,1.33,6.58,,,,,89.0,71,,88,0,0,0,0
36,3,85,8/16/2020,90,19.07,3.84,7.0,0.0,8.23,,,,,97.0,78,0.0,97,0,0,0,0
69,2,94,8/7/2020,82,18.34,1.94,7.0,0.0,9.4,,,,,105.0,50,0.0,101,0,0,0,0
91,1,94,8/7/2020,77,15.68,1.71,6.19,0.0,7.78,,,,,94.0,56,0.0,90,0,0,0,0
94,1,95,8/6/2020,93,15.54,1.43,6.25,0.64,8.11,,,,,107.0,70,,105,0,0,0,0
66,2,105,7/27/2020,99,16.68,1.88,6.25,0.71,8.8,,,,,111.0,85,,104,0,0,0,0
1,8,108,7/24/2020,108,15.09,1.83,4.9,0.0,9.36,,,,,110.0,101,0.0,99,0,0,0,0
13,4,108,7/24/2020,107,14.2,1.56,6.17,0.0,6.75,,,,,93.0,109,0.0,103,0,0,0,0
15,4,112,7/20/2020,97,15.95,2.19,7.0,0.0,6.76,,,,,98.0,97,0.0,97,0,0,0,0
20,4,113,7/19/2020,92,16.54,2.41,7.0,0.0,7.13,,,,,97.0,88,0.0,93,0,0,0,0
41,3,114,7/18/2020,99,8.76,1.25,3.12,2.35,4.68,,,,,75.0,101,,98,0,0,0,0
2,6,116,7/16/2020,104,15.59,2.26,7.0,0.0,6.33,,,,,111.0,98,0.0,107,0,0,0,0
5,4,116,7/16/2020,103,16.18,1.88,8.0,0.0,6.3,,,,,107.0,110,0.0,94,0,0,0,0
65,2,118,7/14/2020,85,15.91,2.19,7.0,0.0,6.72,,,,,99.0,68,0.0,97,0,0,0,0
40,3,120,7/12/2020,72,14.37,2.19,7.0,0.0,5.18,,,,,110.0,39,0.0,102,0,0,0,0
58,2,120,7/12/2020,86,18.13,2.28,7.0,0.0,9.13,,,,,108.0,65,0.0,95,0,0,0,0
19,4,123,7/9/2020,109,16.19,2.48,7.0,0.0,6.71,,,,,89.0,116,0.0,108,0,0,0,0
14,4,124,7/8/2020,77,16.3,2.36,7.0,0.0,6.94,,,,,90.0,61,0.0,89,0,0,0,0
70,2,125,7/7/2020,99,12.02,1.88,5.25,0.74,5.14,,,,,91.0,95,,101,0,0,0,0
34,3,126,7/6/2020,81,16.12,2.75,7.0,0.0,6.93,,,,,71.0,71,0.0,89,0,0,0,0
35,3,133,6/29/2020,94,12.88,0.68,5.04,0.0,7.0,,,,,137.0,74,0.0,107,0,0,0,0
3,6,134,6/28/2020,111,10.31,1.88,3.4,2.0,4.75,,,,,126.0,97,,122,0,0,0,0
21,3,136,6/26/2020,90,14.52,1.36,7.0,0.0,6.16,,,,,112.0,75,0.0,103,0,0,0,0
7,5,138,6/24/2020,90,9.4,2.19,2.61,1.0,4.9,,,,,99.0,57,,98,0,0,0,0
123,4,148,6/14/2020,84,16.88,1.88,7.0,0.0,8.0,,,,,69.0,86,0.0,86,0,0,0,0
118,4,155,6/7/2020,110,14.75,1.43,7.0,0.0,6.32,,,,,107.0,110,0.0,111,0,0,0,0
62,2,168,5/25/2020,84,4.0,0.0,4.0,1.72,0.0,,,,,0.0,84,,0,0,0,0,0
177,6,173,5/20/2020,94,14.41,1.41,6.0,0.0,7.0,,,,,107.0,79,0.0,104,0,0,0,0
26,3,173,5/20/2020,100,9.79,1.56,3.23,2.61,5.0,,,,,100.0,104,,98,0,0,0,0
54,2,190,5/3/2020,82,14.52,1.56,7.0,0.0,5.96,,,,,95.0,69,0.0,94,0,0,0,0
61,2,190,5/3/2020,93,15.86,1.69,7.0,0.0,7.17,,,,,124.0,81,0.0,97,0,0,0,0
86,1,193,4/30/2020,66,9.88,0.86,4.13,0.99,5.19,,,,,63.0,46,,78,0,0,0,0
38,3,199,4/24/2020,91,13.18,2.0,6.37,0.21,5.87,,,,,57.0,86,,91,0,0,0,0
59,2,204,4/19/2020,82,14.18,0.97,7.0,0.0,6.21,,,,,100.0,63,0.0,100,0,0,0,0
88,1,204,4/19/2020,73,5.29,0.57,2.54,3.0,2.18,,,,,100.0,50,,93,0,0,0,0
37,3,215,4/8/2020,94,12.27,1.75,5.81,0.77,5.82,,,,,61.0,74,,106,0,0,0,0
11,4,217,4/6/2020,109,5.3,0.41,2.48,5.0,2.68,,,,,75.0,98,,113,0,0,0,0
68,1,224,3/30/2020,90,10.94,1.43,3.79,1.76,6.0,,,,,76.0,92,,88,0,0,0,0
89,1,224,3/30/2020,92,13.14,1.14,6.0,0.0,6.0,,,,,102.0,83,0.0,100,0,0,0,0
55,2,238,3/16/2020,85,13.28,0.95,7.0,0.0,5.33,,,,,116.0,73,0.0,95,0,0,0,0
30,3,244,3/10/2020,70,11.59,1.25,5.57,0.96,5.05,,,,,77.0,62,,74,0,0,0,0
84,1,245,3/9/2020,83,1.41,0.0,1.41,2.34,0.0,,,,,0.0,83,,0,0,0,0,0
56,2,250,3/4/2020,92,9.63,0.86,3.4,2.33,5.64,,,,,90.0,84,,93,0,0,0,0
178,5,257,2/26/2020,90,6.16,0.86,2.3,3.49,3.0,,,,,86.0,91,,91,0,0,0,0
82,1,264,2/19/2020,110,7.22,0.66,3.35,2.3,3.47,,,,,86.0,112,,105,0,0,0,0
83,1,268,2/15/2020,81,4.14,0.41,1.35,3.3,2.41,,,,,,91,,87,0,0,0,0
29,3,271,2/12/2020,105,8.14,1.67,2.86,3.32,4.0,,,,,118.0,85,,105,0,0,0,0
4,4,275,2/8/2020,90,8.65,1.05,2.63,0.46,5.55,,,,,95.0,64,,92,0,0,0,0
