Animal Number,Group Name,Date/Time,Previous Area,Time in Area (hh:mm),Device Name,Result,Gate Decision,Milking Interval,Incompletely Milked Teats
39,VMS 1,11/8/2020 12:05:08 AM,VMS2,00:08,VMS2,Pass through to Foderbord,,,
103,VMS 1,11/8/2020 12:03:01 AM,VMS 1,00:09,VMS 1,Pass through to Foderbord,,,
77,VMS 1,11/7/2020 11:58:46 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
77,VMS 1,11/7/2020 11:58:32 PM,Grovfoder,01:26,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
42,VMS 1,11/7/2020 11:58:03 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
57,VMS 1,11/7/2020 11:57:42 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
42,VMS 1,11/7/2020 11:57:33 PM,Grovfoder,01:34,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
71,VMS 1,11/7/2020 11:57:22 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
57,VMS 1,11/7/2020 11:57:15 PM,Grovfoder,00:43,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
71,VMS 1,11/7/2020 11:57:11 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,"Did not pass, still in Koridor till Sorteringsgrind 2",,,
71,VMS 1,11/7/2020 11:56:55 PM,Grovfoder,00:06,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
39,VMS 1,11/7/2020 11:56:11 PM,Mjolkfalla,00:01,VMS2,Milking 11.97 kg,,10:25,
40,VMS 1,11/7/2020 11:56:10 PM,VMS2,00:05,VMS2,Pass through to Foderbord,,,
39,VMS 1,11/7/2020 11:54:36 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
39,VMS 1,11/7/2020 11:54:22 PM,Grovfoder,02:27,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
103,VMS 1,11/7/2020 11:53:55 PM,Mjolkfalla,00:57,VMS 1,Milking 11.23 kg,,10:08,
10,VMS 1,11/7/2020 11:53:46 PM,VMS 1,00:05,VMS 1,Pass through to Foderbord,,,
14,VMS 1,11/7/2020 11:51:13 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
68,VMS 1,11/7/2020 11:50:53 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
14,VMS 1,11/7/2020 11:50:43 PM,Grovfoder,02:29,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
27,VMS 1,11/7/2020 11:50:42 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
68,VMS 1,11/7/2020 11:50:33 PM,Grovfoder,00:27,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
48,VMS 1,11/7/2020 11:50:29 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
40,VMS 1,11/7/2020 11:50:29 PM,Mjolkfalla,00:08,VMS2,Milking 13.59 kg,,08:17,
71,VMS 1,11/7/2020 11:50:29 PM,VMS2,00:07,VMS2,Pass through to Foderbord,,,
27,VMS 1,11/7/2020 11:50:24 PM,Grovfoder,00:59,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
48,VMS 1,11/7/2020 11:50:15 PM,Grovfoder,00:11,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
64,VMS 1,11/7/2020 11:49:57 PM,Grovfoder,03:13,Sorteringsgrind 1 Tvåvägsgrind,Separated Right to OBS Avdelning,OBS Avdelningen,,
10,VMS 1,11/7/2020 11:48:03 PM,Mjolkfalla,00:05,VMS 1,Milking 9.55 kg,,08:34,
84,VMS 1,11/7/2020 11:48:01 PM,VMS 1,00:05,VMS 1,Pass through to Foderbord,,,
10,VMS 1,11/7/2020 11:43:00 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
10,VMS 1,11/7/2020 11:42:48 PM,Grovfoder,02:17,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
84,VMS 1,11/7/2020 11:42:39 PM,Mjolkfalla,00:11,VMS 1,Milking 6.12 kg,,09:51,
71,VMS 1,11/7/2020 11:42:36 PM,Mjolkfalla,00:06,VMS2,Milking 10.66 kg,,05:58,
88,VMS 1,11/7/2020 11:42:35 PM,VMS2,00:07,VMS2,Pass through to Foderbord,,,
178,VMS 1,11/7/2020 11:42:30 PM,VMS 1,00:08,VMS 1,Pass through to Foderbord,,,
40,VMS 1,11/7/2020 11:42:29 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Left to Mjolkfalla,Mjölkfålla,,
40,VMS 1,11/7/2020 11:42:13 PM,Grovfoder,02:55,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
66,VMS 1,11/7/2020 11:40:04 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
66,VMS 1,11/7/2020 11:39:53 PM,Grovfoder,01:05,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
48,VMS 1,11/7/2020 11:39:06 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Kraftfoder,,
48,VMS 1,11/7/2020 11:38:35 PM,Grovfoder,02:07,Sorteringsgrind 1 Tvåvägsgrind,Separated Left to Koridor till Sorteringsgrind 2,Alla kor,,
95,VMS 1,11/7/2020 11:38:19 PM,Koridor till Sorteringsgrind 2,00:00,Sorteringsgrind 2 Trevägsgrind,Separated Right to Kraftfoder,Alla kor,,
