Official Reg. No. (ORN),Lactation Number,Days In Milk,Last Calving Date,Concentrates Cons. % Yest,Concentrates Ration Yesterday,Giva {Feed1},Giva {Feed2},Giva {Feed3},Giva {Feed4},Giva {Feed5},Giva {Feed6},Giva {Feed7},Giva {Feed8},% konsumerat igår {Feed1},% konsumerat igår {Feed2},% konsumerat igår {Feed3},% konsumerat igår {Feed4},% konsumerat igår {Feed5},% konsumerat igår {Feed6},% konsumerat igår {Feed7},% konsumerat igår {Feed8}
48,3,4,11/4/2020,79,4.06,0.25,1.88,1.65,2.71,,,,,,66,,72,0,0,0,0
128,4,9,10/30/2020,104,6.43,0.36,3.1,1.3,3.4,,,,,60.0,97,,102,0,0,0,0
24,4,11,10/28/2020,67,11.84,0.63,3.4,0.0,8.85,,,,,81.0,42,0.0,69,0,0,0,0
28,4,11,10/28/2020,110,11.04,0.63,4.35,1.06,6.84,,,,,112.0,104,,101,0,0,0,0
100,1,17,10/22/2020,95,8.81,0.89,4.31,0.86,3.71,,,,,140.0,77,,102,0,0,0,0
103,1,19,10/20/2020,99,9.1,1.3,4.33,0.86,3.6,,,,,91.0,102,,95,0,0,0,0
42,3,20,10/19/2020,98,9.61,1.31,5.03,0.86,3.35,,,,,144.0,78,,107,0,0,0,0
9,4,21,10/18/2020,102,15.22,1.19,7.0,0.0,6.79,,,,,112.0,108,0.0,97,0,0,0,0
27,4,21,10/18/2020,109,13.95,1.5,6.1,0.0,6.84,,,,,124.0,100,0.0,107,0,0,0,0
98,1,29,10/10/2020,67,10.68,0.57,5.8,0.0,4.19,,,,,90.0,56,0.0,82,0,0,0,0
25,4,30,10/9/2020,100,12.94,1.4,6.4,2.0,5.9,,,,,125.0,95,,86,0,0,0,0
99,1,31,10/8/2020,91,9.77,0.57,1.71,0.0,7.08,,,,,109.0,100,0.0,92,0,0,0,0
77,2,46,9/23/2020,110,11.74,0.0,6.43,0.0,5.8,,,,,0.0,107,0.0,104,0,0,0,0
97,1,46,9/23/2020,103,10.28,0.0,5.17,0.0,5.11,,,,,0.0,104,0.0,103,0,0,0,0
0,7,47,9/22/2020,93,14.93,1.43,7.0,3.0,6.22,,,,,112.0,90,,96,0,0,0,0
75,2,48,9/21/2020,101,11.82,0.0,5.51,0.0,6.76,,,,,0.0,106,0.0,91,0,0,0,0
63,2,51,9/18/2020,43,8.06,0.0,4.3,1.84,4.0,,,,,0.0,41,,42,0,0,0,0
92,1,55,9/14/2020,75,14.7,0.71,6.71,0.0,7.43,,,,,120.0,49,0.0,92,0,0,0,0
96,1,55,9/14/2020,92,11.35,0.29,5.32,0.0,5.69,,,,,110.0,92,0.0,92,0,0,0,0
95,1,59,9/10/2020,107,17.42,1.88,7.0,0.0,8.84,,,,,127.0,110,0.0,98,0,0,0,0
43,3,64,9/5/2020,91,17.75,1.88,7.0,0.0,9.29,,,,,122.0,76,0.0,91,0,0,0,0
