Official Reg. No. (ORN),Lactation Number,Days In Milk,Last Calving Date,Concentrates Cons. % Yest,Concentrates Ration Yesterday,Giva {Feed1},Giva {Feed2},Giva {Feed3},Giva {Feed4},Giva {Feed5},Giva {Feed6},Giva {Feed7},Giva {Feed8},% konsumerat igår {Feed1},% konsumerat igår {Feed2},% konsumerat igår {Feed3},% konsumerat igår {Feed4},% konsumerat igår {Feed5},% konsumerat igår {Feed6},% konsumerat igår {Feed7},% konsumerat igår {Feed8}
48,3,8,11/4/2020,103,6.18,0.25,3.06,1.18,3.65,,,,,,93,,96,0,0,0,0
128,4,13,10/30/2020,98,8.36,0.36,4.3,0.9,4.2,,,,,104.0,91,,93,0,0,0,0
24,4,15,10/28/2020,89,13.78,0.63,4.6,0.0,8.85,,,,,33.0,101,0.0,84,0,0,0,0
28,4,15,10/28/2020,86,12.7,0.63,5.53,0.59,6.84,,,,,91.0,81,,85,0,0,0,0
100,1,21,10/22/2020,98,9.76,0.89,5.44,0.29,3.71,,,,,58.0,99,,98,0,0,0,0
103,1,23,10/20/2020,99,10.18,1.3,5.44,0.29,3.71,,,,,105.0,92,,100,0,0,0,0
42,3,24,10/19/2020,93,10.6,1.31,6.24,0.29,3.35,,,,,119.0,71,,115,0,0,0,0
9,4,25,10/18/2020,91,14.98,1.19,7.0,0.0,6.79,,,,,103.0,83,0.0,97,0,0,0,0
27,4,25,10/18/2020,96,15.34,1.5,7.0,0.0,6.84,,,,,101.0,89,0.0,101,0,0,0,0
98,1,33,10/10/2020,84,10.56,0.57,5.8,0.0,4.19,,,,,105.0,63,0.0,110,0,0,0,0
25,4,34,10/9/2020,98,16.51,1.4,7.0,2.0,8.85,,,,,99.0,100,,89,0,0,0,0
99,1,35,10/8/2020,109,8.51,0.57,0.57,0.0,7.08,,,,,119.0,159,0.0,108,0,0,0,0
77,2,50,9/23/2020,85,13.71,0.0,7.0,0.0,7.2,,,,,0.0,77,0.0,87,0,0,0,0
97,1,50,9/23/2020,84,10.28,0.0,5.17,1.0,5.11,,,,,0.0,79,,90,0,0,0,0
0,7,51,9/22/2020,95,13.93,0.71,7.0,3.0,6.22,,,,,82.0,102,,89,0,0,0,0
75,2,52,9/21/2020,102,12.27,0.0,5.51,0.0,6.76,,,,,0.0,91,0.0,111,0,0,0,0
63,2,55,9/18/2020,67,8.3,0.0,4.3,1.84,4.0,,,,,0.0,67,,67,0,0,0,0
92,1,59,9/14/2020,64,15.14,0.71,7.0,0.0,7.43,,,,,78.0,44,0.0,82,0,0,0,0
96,1,59,9/14/2020,69,11.3,0.29,5.32,0.0,5.69,,,,,68.0,52,0.0,85,0,0,0,0
95,1,63,9/10/2020,95,17.72,1.88,7.0,0.0,8.84,,,,,93.0,96,0.0,96,0,0,0,0
43,3,68,9/5/2020,94,18.17,1.88,7.0,0.0,9.29,,,,,99.0,84,0.0,101,0,0,0,0
6,5,69,9/4/2020,77,17.06,1.35,7.0,0.0,8.71,,,,,76.0,74,0.0,80,0,0,0,0
44,3,69,9/4/2020,79,16.79,1.56,7.0,0.0,8.23,,,,,114.0,47,0.0,99,0,0,0,0
47,3,72,9/1/2020,97,19.23,2.23,7.0,0.0,10.0,,,,,99.0,93,0.0,99,0,0,0,0
74,2,72,9/1/2020,88,18.87,2.19,7.0,0.0,9.68,,,,,102.0,65,0.0,102,0,0,0,0
60,2,76,8/28/2020,96,18.48,2.19,7.0,0.0,9.29,,,,,116.0,70,0.0,110,0,0,0,0
93,1,81,8/23/2020,90,16.79,1.43,7.0,0.0,8.69,,,,,107.0,66,0.0,103,0,0,0,0
64,2,87,8/17/2020,96,12.46,1.14,5.03,0.53,6.58,,,,,95.0,92,,95,0,0,0,0
36,3,88,8/16/2020,86,19.07,3.84,7.0,0.0,8.23,,,,,102.0,65,0.0,96,0,0,0,0
69,2,97,8/7/2020,85,18.34,1.94,7.0,0.0,9.4,,,,,124.0,52,0.0,102,0,0,0,0
91,1,97,8/7/2020,94,15.68,1.71,6.19,0.0,7.78,,,,,109.0,75,0.0,107,0,0,0,0
94,1,98,8/6/2020,90,16.29,1.43,7.0,0.0,8.11,,,,,98.0,85,0.0,90,0,0,0,0
66,2,108,7/27/2020,96,17.43,1.88,7.0,0.0,8.8,,,,,101.0,84,0.0,101,0,0,0,0
1,8,111,7/24/2020,96,16.69,1.83,5.8,0.0,9.36,,,,,113.0,71,0.0,105,0,0,0,0
13,4,111,7/24/2020,83,15.03,1.56,7.0,0.0,6.75,,,,,87.0,72,0.0,89,0,0,0,0
15,4,115,7/20/2020,70,15.95,2.19,7.0,0.0,6.76,,,,,72.0,70,0.0,70,0,0,0,0
20,4,116,7/19/2020,92,16.54,2.41,7.0,0.0,7.13,,,,,113.0,72,0.0,106,0,0,0,0
