Main;;;;;;;Main;;;;;AMD, Avvikande mjölk, Status;;Medelflöden (kg/min);;;;Blod (ppm);;;;Konduktivitet (mS/cm);;;;Diverse;;;Toppflöden (kg/min);;;;Mjölkmängder (kg);;;
Starttid;Djurnr;Grupp;MS/MP;Åtgärd;Mjölkningstid (mm:ss);Mjölkmängd (kg);Mjölkningsnummer;OCC(*1000 celler/ml);Avspark;Ofullständig;Spenar hittas ej;Juver;Spene;VF;HF;VB;HB;VF;HF;VB;HB;VF;HF;VB;HB;Användare;Mjölkdestination;Orsak till mjölkavskiljning;VF;HF;VB;HB;VF;HF;VB;HB
2020-11-11 00:02;65;VMS 1;VMS 1;Mjölkning;04:57;14,55;1;62;;;;0;;1,20;1,14;1,62;1,44;0;0;0;0;4,49;4,59;4,48;4,59;;Mjölktank;;1,50;1,50;2,16;1,86;3,04;3,15;4,22;4,14
2020-11-11 00:07;87;VMS 1;VMS2;Mjölkning;13:20;6,60;1;262;VF;;;0;;1,80;1,02;1,20;1,50;0;435;356;426;4,14;3,75;4,21;4,18;;Mjölktank;;2,46;1,44;1,68;2,04;1,70;1,59;1,31;2,00
2020-11-11 00:08;85;VMS 1;VMS 1;Mjölkning;04:03;7,43;1;117;;;;1;;1,26;1,20;1,32;1,20;0;0;0;0;4,09;4,06;4,35;4,32;;Mjölktank;;1,74;1,80;1,86;1,56;1,43;1,27;2,44;2,29
2020-11-11 00:13;57;VMS 1;VMS 1;Mjölkning;07:06;6,98;1;285;VB;;VB;0;;1,08;1,08;0,18;0,42;0;0;0;0;4,16;4,26;3,82;4,32;;Mjölktank;;1,92;1,56;0,48;0,78;2,68;3,74;0,17;0,39
2020-11-11 00:21;94;VMS 1;VMS 1;Mjölkning;04:47;11,57;1;60;;;;0;;1,20;1,02;1,08;1,20;426;0;0;0;4,69;4,73;4,61;4,52;;Mjölktank;;1,74;1,38;1,50;1,68;3,10;2,70;2,87;2,90
2020-11-11 00:21;35;VMS 1;VMS2;Mjölkning;07:39;15,20;1;351;;;;0;;1,02;0,72;0,90;0,90;0;0;0;0;4,74;5,23;4,94;4,78;;Mjölktank;;1,26;1,08;1,32;1,32;3,47;2,73;4,19;4,81
2020-11-11 00:27;66;VMS 1;VMS 1;Mjölkning;06:08;12,54;1;108;;;;1;VF;0,30;0,90;1,38;1,32;0;0;0;0;6,37;4,93;4,81;4,66;;Mjölktank;;0,54;1,20;1,80;1,74;0,49;3,60;4,72;3,73
2020-11-11 00:30;88;VMS 1;VMS2;Mjölkning;06:12;12,72;1;220;;;;0;;0,78;0,72;0,90;0,96;0;0;0;0;4,41;4,42;4,41;4,38;;Mjölktank;;1,20;1,02;1,26;1,32;2,73;2,74;3,76;3,49
2020-11-11 00:34;123;VMS 1;VMS 1;Mjölkning;08:28;15,50;1;125;;;;0;;0,72;0,90;1,38;1,20;0;0;0;0;4,94;5,20;5,00;5,15;;Mjölktank;;0,96;1,20;1,98;1,56;2,67;3,12;4,34;5,37
2020-11-11 00:38;38;VMS 1;VMS2;Mjölkning;06:57;12,66;1;165;;;;0;;0,90;;1,08;1,02;0;;0;0;4,34;;4,41;4,38;;Mjölktank;;1,32;;1,50;1,56;2,22;;5,52;4,92
2020-11-11 00:43;2;VMS 1;VMS 1;Mjölkning;09:18;19,28;1;114;;;;0;;0,78;0,90;1,08;1,08;0;0;0;0;5,08;5,07;5,09;4,60;;Mjölktank;;1,14;1,26;1,56;1,50;3,52;4,08;7,02;4,66
2020-11-11 00:46;61;VMS 1;VMS2;Mjölkning;10:34;8,55;1;37;HB;VB;VB;0;;0,90;0,78;0,00;0,78;0;0;0;0;4,68;4,62;0,00;4,65;;Mjölktank;;1,44;1,20;0,00;1,08;2,39;2,74;0,00;3,42
2020-11-11 00:53;5;VMS 1;VMS 1;Mjölkning;08:35;16,48;1;351;;;;0;;0,78;0,84;0,72;0,72;0;0;0;0;4,81;5,00;4,95;5,07;;Mjölktank;;1,32;1,14;1,08;1,20;3,97;4,45;4,64;3,42
2020-11-11 00:58;71;VMS 1;VMS2;Mjölkning;06:41;12,97;1;11;;;;0;;0,78;0,84;1,14;0,96;0;0;0;0;4,74;4,76;4,81;4,78;;Mjölktank;;1,14;1,26;1,56;1,44;2,38;2,66;3,45;4,48
2020-11-11 01:03;0;VMS 1;VMS 1;Mjölkning;08:27;9,32;1;365;;;HB;0;;0,72;0,66;0,84;0,00;0;0;0;0;4,54;4,73;4,75;0,00;;Mjölktank;;1,08;1,08;1,26;0,00;3,06;2,62;3,64;0,00
2020-11-11 01:06;77;VMS 1;VMS2;Mjölkning;11:29;2,67;1;;;VF,VB;HB;0;;1,02;0,90;0,66;0,00;0;0;0;0;5,01;4,62;4,36;0,00;;Mjölktank;;1,56;1,38;1,14;0,00;1,14;1,25;0,28;0,00
2020-11-11 01:12;86;VMS 1;VMS 1;Mjölkning;05:56;11,08;1;205;;;;0;;0,72;0,78;0,84;0,96;325;0;0;0;3,94;4,06;4,01;3,80;;Mjölktank;;1,08;1,08;1,14;1,50;2,68;3,11;2,61;2,68
2020-11-11 01:18;100;VMS 1;VMS 1;Mjölkning;04:48;5,91;1;37;;;;0;;;0,72;0,78;0,66;;0;0;0;;4,39;4,55;4,54;;Mjölktank;;;1,02;1,14;1,02;;1,52;2,36;2,03
2020-11-11 01:20;14;VMS 1;VMS2;Mjölkning;05:58;14,83;1;17;;;;0;;1,08;;1,32;1,38;0;;0;0;4,47;;5,01;4,52;;Divert 1;;1,50;;1,80;1,86;4,21;;4,79;5,83
2020-11-11 01:24;89;VMS 1;VMS 1;Mjölkning;10:47;9,86;1;34;;;;0;;0,84;0,90;0,84;0,84;0;0;0;0;4,14;4,46;4,41;4,34;;Mjölktank;;1,50;1,26;1,14;1,38;2,28;2,17;2,75;2,66
2020-11-11 01:27;59;VMS 1;VMS2;Mjölkning;05:46;10,48;1;25;;;;0;;1,14;1,02;1,32;0,96;0;0;0;0;4,27;4,22;4,20;4,25;;Mjölktank;;1,50;1,38;1,74;1,62;2,43;1,80;3,51;2,74
2020-11-11 01:35;79;VMS 1;VMS2;Mjölkning;08:51;4,78;1;80;;;;0;VB;0,60;0,66;0,96;0,66;0;0;0;0;4,07;3,92;4,54;3,89;;Mjölktank;;1,14;1,20;1,62;1,20;0,58;0,69;2,73;0,78
2020-11-11 01:36;52;VMS 1;VMS 1;Mjölkning;04:52;11,90;1;191;;;;0;;1,44;1,74;1,62;1,68;0;0;0;0;4,28;4,19;4,28;4,47;;Mjölktank;;2,04;2,40;2,28;2,58;2,73;2,68;3,50;2,99
2020-11-11 01:42;95;VMS 1;VMS 1;Mjölkning;05:08;9,36;1;251;;;;0;;1,02;1,08;1,02;0,84;0;0;0;0;4,41;4,26;4,41;4,47;;Mjölktank;;1,50;1,56;1,50;1,26;2,14;2,17;2,49;2,56
2020-11-11 01:44;21;VMS 1;VMS2;Mjölkning;05:34;9,56;1;451;;;;0;;1,08;1,02;1,08;0,48;0;0;0;0;4,54;4,29;4,33;4,52;;Mjölktank;;1,68;1,62;1,56;0,84;2,62;2,54;3,25;1,15
2020-11-11 01:48;23;VMS 1;VMS 1;Mjölkning;06:57;10,46;1;34;;;;0;;0,84;0,78;0,66;0,72;0;0;0;0;4,55;4,60;4,54;4,33;;Mjölktank;;1,38;1,14;0,96;1,20;2,00;2,53;2,97;2,96
2020-11-11 01:54;96;VMS 1;VMS2;Mjölkning;12:46;5,63;1;148;HB;HB;;0;;0,48;0,60;0,66;0,54;0;0;0;0;3,94;3,89;3,86;3,53;;Mjölktank;;0,78;1,02;1,02;1,14;1,22;0,91;2,92;0,58
2020-11-11 02:15;22;VMS 1;VMS2;Mjölkning;12:31;10,99;1;68;VF;;VB;0;;0,60;1,14;0,00;1,32;0;0;0;332;4,40;4,49;0,00;4,54;;Mjölktank;;1,14;2,04;0,00;1,80;1,35;3,88;0,00;5,76
2020-11-11 02:17;128;VMS 1;VMS 1;Mjölkning;05:11;6,47;1;111;;;;1;;0,90;;0,90;0,54;320;;0;0;4,35;;5,21;4,87;;Mjölktank;;1,32;;1,32;1,02;2,90;;2,00;1,57
2020-11-11 02:22;30;VMS 1;VMS 1;Mjölkning;07:41;17,48;1;108;;;;0;;0,90;0,90;0,84;0,90;0;0;0;0;4,75;4,87;4,74;4,94;;Mjölktank;;1,14;1,38;1,26;1,26;4,57;4,59;3,72;4,60
2020-11-11 02:28;25;VMS 1;VMS2;Mjölkning;09:51;18,62;1;142;;;;0;HB;1,32;;0,96;1,32;0;;0;0;4,27;;4,13;5,14;;Mjölktank;;1,68;;1,38;1,74;4,56;;7,08;6,98
2020-11-11 02:31;75;VMS 1;VMS 1;Mjölkning;05:22;9,75;1;28;;;;0;;0,48;0,72;0,96;0,96;0;0;0;0;3,82;4,13;4,07;4,13;;Mjölktank;;0,90;1,14;1,32;1,32;1,59;1,94;2,94;3,28
2020-11-11 02:37;92;VMS 1;VMS 1;Mjölkning;04:25;8,25;1;17;;;;0;;0,84;0,96;1,26;0,96;0;0;0;0;4,83;4,93;4,81;4,80;;Mjölktank;;1,14;1,32;1,62;1,32;1,64;1,68;2,59;2,34
2020-11-11 02:39;27;VMS 1;VMS2;Mjölkning;08:25;15,47;1;531;;;;0;;0,78;;0,90;0,84;0;;0;0;4,81;;4,94;4,93;;Mjölktank;;1,14;;1,44;1,26;4,45;;5,69;5,33
2020-11-11 02:46;9;VMS 1;VMS 1;Mjölkning;05:37;11,08;1;14;;;;0;;1,14;0,96;0,84;1,02;0;0;0;0;4,42;4,53;4,47;4,67;;Mjölktank;;1,56;1,32;1,32;1,44;2,46;2,26;3,11;3,25
2020-11-11 02:50;48;VMS 1;VMS2;Mjölkning;10:20;7,56;1;1171;;;VB;0;;1,02;0,96;0,00;0,90;0;0;0;0;4,34;4,36;0,00;4,32;;Mjölktank;;1,38;1,32;0,00;1,26;3,18;2,61;0,00;1,77
2020-11-11 03:02;70;VMS 1;VMS2;Mjölkning;10:43;12,44;1;186;;;;0;;0,84;0,60;0,54;;0;0;0;;4,61;4,23;4,33;;;Mjölktank;;1,14;1,08;1,02;;3,74;4,53;4,17;
