Main;;;;;;;Main;;;;;AMD, Avvikande mjölk, Status;;Medelflöden (kg/min);;;;Blod (ppm);;;;Konduktivitet (mS/cm);;;;Diverse;;;Toppflöden (kg/min);;;;Mjölkmängder (kg);;;
Starttid;Djurnr;Grupp;MS/MP;Åtgärd;Mjölkningstid (mm:ss);Mjölkmängd (kg);Mjölkningsnummer;OCC(*1000 celler/ml);Avspark;Ofullständig;Spenar hittas ej;Juver;Spene;VF;HF;VB;HB;VF;HF;VB;HB;VF;HF;VB;HB;Användare;Mjölkdestination;Orsak till mjölkavskiljning;VF;HF;VB;HB;VF;HF;VB;HB
2020-11-13 00:04;58;VMS 1;VMS 1;Mjölkning;06:45;13,14;1;265;;;;0;;1,62;1,32;0,30;1,50;0;0;0;0;4,80;4,69;4,92;4,55;;Mjölktank;;2,16;1,92;0,54;2,22;4,18;3,16;0,60;5,20
2020-11-13 00:10;82;VMS 1;VMS2;Mjölkning;06:53;11,24;1;134;HB;;;0;;0,60;0,60;0,78;0,84;0;0;445;0;4,49;4,83;4,64;4,52;;Mjölktank;;0,96;0,90;1,44;1,20;2,23;1,97;3,76;3,28
2020-11-13 00:11;29;VMS 1;VMS 1;Mjölkning;06:44;9,74;1;168;;;;0;;1,20;1,02;;0,84;0;0;;0;4,39;4,49;;4,42;;Mjölktank;;1,68;1,62;;1,50;3,78;2,97;;2,99
2020-11-13 00:18;87;VMS 1;VMS 1;Mjölkning;11:36;1,46;1;;;;;0;;0,30;0,42;0,72;0,30;0;0;0;0;2,88;2,81;4,04;3,42;;Mjölktank;;0,78;1,32;1,32;0,84;0,21;0,39;0,64;0,22
2020-11-13 00:25;27;VMS 1;VMS2;Mjölkning;06:28;9,12;1;94;;;;0;;0,66;;0,84;0,78;0;;0;0;4,70;;4,78;4,72;;Mjölktank;;0,96;;1,20;1,14;2,66;;3,41;3,05
2020-11-13 00:30;19;VMS 1;VMS 1;Mjölkning;09:23;14,47;1;417;;;;0;;0,84;1,08;0,84;0,78;0;0;0;0;4,53;4,96;4,59;4,28;;Mjölktank;;1,20;1,56;1,14;1,38;2,76;3,29;3,77;4,65
2020-11-13 00:34;48;VMS 1;VMS2;Mjölkning;06:15;8,17;1;37;;;;0;;0,72;0,84;;0,78;0;0;;0;4,23;4,30;;4,25;;Mjölktank;;1,02;1,26;;1,14;3,00;2,68;;2,49
2020-11-13 00:41;20;VMS 1;VMS 1;Mjölkning;06:43;13,81;1;294;;;;0;;;1,26;1,02;0,96;;0;0;0;;4,62;4,92;4,76;;Mjölktank;;;1,68;1,44;1,38;;4,59;4,42;4,80
2020-11-13 00:41;52;VMS 1;VMS2;Mjölkning;04:40;9,20;1;48;;;;0;;1,32;1,62;1,50;1,14;0;0;0;0;4,36;4,23;4,24;4,39;;Mjölktank;;1,74;2,22;2,22;1,92;2,28;2,23;2,63;2,06
2020-11-13 00:46;28;VMS 1;VMS2;Mjölkning;13:19;12,48;1;91;;;;0;;0,42;0,48;0,36;0,36;0;0;0;0;4,03;4,10;4,04;3,92;;Mjölktank;;0,66;0,84;0,78;0,72;2,80;3,01;3,18;3,49
