Official Reg. No. (ORN),Lactation Number,Days In Milk,Last Calving Date,Concentrates Cons. % Yest,Concentrates Ration Yesterday,Giva {Feed1},Giva {Feed2},Giva {Feed3},Giva {Feed4},Giva {Feed5},Giva {Feed6},Giva {Feed7},Giva {Feed8},% konsumerat igår {Feed1},% konsumerat igår {Feed2},% konsumerat igår {Feed3},% konsumerat igår {Feed4},% konsumerat igår {Feed5},% konsumerat igår {Feed6},% konsumerat igår {Feed7},% konsumerat igår {Feed8}
128,4,6,10/30/2020,102,5.14,0.57,2.2,1.6,2.8,,,,,105.0,88,,96.0,0,0,0,0
24,4,8,10/28/2020,100,8.75,1.0,2.5,0.75,6.28,,,,,110.0,91,,85.0,0,0,0,0
28,4,8,10/28/2020,101,8.72,1.0,3.47,1.41,5.03,,,,,121.0,91,,88.0,0,0,0,0
100,1,14,10/22/2020,70,7.77,1.42,3.47,1.29,3.22,,,,,56.0,62,,78.0,0,0,0,0
103,1,16,10/20/2020,97,8.71,2.08,3.49,1.29,3.26,,,,,99.0,92,,97.0,0,0,0,0
42,3,17,10/19/2020,96,9.35,2.1,4.12,1.29,3.22,,,,,88.0,99,,95.0,0,0,0,0
9,4,18,10/18/2020,94,12.86,1.91,6.03,0.57,5.71,,,,,92.0,93,,83.0,0,0,0,0
27,4,18,10/18/2020,100,12.51,2.39,5.2,0.75,5.4,,,,,104.0,97,,93.0,0,0,0,0
98,1,26,10/10/2020,69,9.31,0.91,5.29,0.57,3.56,,,,,133.0,38,,89.0,0,0,0,0
25,4,27,10/9/2020,101,10.67,2.24,5.5,2.0,3.69,,,,,106.0,101,,79.0,0,0,0,0
99,1,28,10/8/2020,94,8.79,0.91,2.57,0.57,5.63,,,,,109.0,105,,81.0,0,0,0,0
77,2,43,9/23/2020,116,10.27,0.0,6.01,0.0,4.75,,,,,0.0,113,0.0,107.0,0,0,0,0
97,1,43,9/23/2020,86,9.38,0.0,5.17,0.0,4.66,,,,,0.0,77,0.0,89.0,0,0,0,0
0,7,44,9/22/2020,95,14.11,2.29,7.0,2.41,5.3,,,,,124.0,82,,91.0,0,0,0,0
