Main;;;;;;;Main;;;;;AMD, Avvikande mjölk, Status;;Medelflöden (kg/min);;;;Blod (ppm);;;;Konduktivitet (mS/cm);;;;Diverse;;;Toppflöden (kg/min);;;;Mjölkmängder (kg);;;
Starttid;Djurnr;Grupp;MS/MP;Åtgärd;Mjölkningstid (mm:ss);Mjölkmängd (kg);Mjölkningsnummer;OCC(*1000 celler/ml);Avspark;Ofullständig;Spenar hittas ej;Juver;Spene;VF;HF;VB;HB;VF;HF;VB;HB;VF;HF;VB;HB;Användare;Mjölkdestination;Orsak till mjölkavskiljning;VF;HF;VB;HB;VF;HF;VB;HB
2020-11-04 00:00;123;VMS 1;VMS2;Mjölkning;06:10;13,03;1;157;;;;0;;0,78;0,84;1,08;1,26;0;0;0;0;4,98;5,04;5,24;5,17;;Mjölktank;;1,02;1,26;1,50;1,80;2,27;2,64;4,19;3,93
2020-11-04 00:07;62;VMS 1;VMS 1;Mjölkning;05:56;8,66;1;211;;;;0;;;0,66;1,20;1,08;;0;0;0;;4,18;4,35;4,06;;Mjölktank;;;1,08;1,98;1,86;;2,19;3,18;3,29
2020-11-04 00:12;63;VMS 1;VMS2;Mjölkning;05:03;5,06;1;48;;;;0;;0,30;0,78;0,60;0,84;0;0;0;0;4,32;4,84;4,64;4,77;;Mjölktank;;0,42;1,44;1,02;1,50;0,35;1,49;1,22;2,00
2020-11-04 00:16;56;VMS 1;VMS 1;Mjölkning;04:23;8,68;1;277;;;;0;HB;1,08;1,38;0,96;1,20;0;0;0;0;4,76;4,52;4,89;5,47;;Mjölktank;;1,44;1,74;1,26;1,98;1,45;2,34;2,40;2,49
2020-11-04 00:18;42;VMS 1;VMS2;Mjölkning;04:52;6,07;1;54;;;;0;;0,90;0,60;0,60;0,66;350;426;349;424;3,92;4,10;4,23;4,03;;Mjölktank;;1,26;0,90;1,02;1,02;1,57;1,41;1,56;1,53
2020-11-04 00:22;35;VMS 1;VMS 1;Mjölkning;06:39;14,17;1;454;;;;0;;1,08;0,78;0,90;0,96;0;0;0;0;4,96;5,39;4,82;4,79;;Mjölktank;;1,38;1,14;1,68;1,32;3,21;2,56;3,98;4,42
2020-11-04 00:24;21;VMS 1;VMS2;Mjölkning;05:37;11,63;1;42;;;;0;;1,08;0,96;1,32;0,48;0;0;0;0;4,52;4,50;4,37;4,76;;Mjölktank;;1,62;1,44;1,86;0,84;3,24;2,84;3,95;1,60
2020-11-04 00:29;5;VMS 1;VMS 1;Mjölkning;06:55;12,37;1;1042;;;;0;;0,60;0,90;0,72;0,84;0;0;0;0;4,83;4,72;4,62;5,20;;Mjölktank;;1,02;1,26;1,14;1,26;2,63;3,34;3,33;3,07
2020-11-04 00:32;41;VMS 1;VMS2;Mjölkning;08:11;14,27;1;37;;;;1;VF;0,60;0,54;0,78;0,96;0;0;0;0;5,53;4,64;5,11;4,83;;Mjölktank;;0,78;0,90;1,20;1,32;1,93;2,42;4,04;5,88
2020-11-04 00:37;3;VMS 1;VMS 1;Mjölkning;06:45;11,13;1;1618;;;;1;VB;;1,26;1,02;1,02;;0;0;0;;4,45;5,36;4,19;;Divert 2;;;1,86;1,50;1,44;;4,01;2,97;4,15
2020-11-04 00:42;95;VMS 1;VMS2;Mjölkning;05:55;7,32;1;60;;;;0;;0,72;0,66;0,60;0,60;0;0;0;0;3,98;4,04;3,97;3,96;;Mjölktank;;1,14;1,08;1,02;1,14;1,60;1,71;1,87;2,14
2020-11-04 00:45;9;VMS 1;VMS 1;Mjölkning;05:00;11,86;1;;;;;0;;1,08;1,02;1,08;1,02;0;0;0;0;4,56;4,72;4,62;4,73;;Mjölktank;;1,44;1,50;1,62;1,32;2,69;2,58;3,23;3,36
